G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,303,8:30p ET,Atlanta Hawks,1,0,118,109,1,0,W 1,
3,306,8:30p ET,Memphis Grizzlies,1,0,111,99,2,1,W 1,
4,309,8:30p ET,Los Angeles Lakers,1,0,123,104,3,1,W 2,
8,316,8:30p ET,Washington Wizards,1,0,105,95,5,3,W 2,
11,322,8:30p ET,Philadelphia 76ers,1,0,97,94,7,4,W 2,
12,324,9:30p ET,Houston Rockets,1,0,123,120,8,4,W 3,
13,326,8:30p ET,Utah Jazz,1,0,103,93,9,4,W 4,
15,329,8:30p ET,Denver Nuggets,0,0,96,110,9,6,L 2,
16,331,8:30p ET,Golden State Warriors,1,0,103,99,10,6,W 1,
18,334,8:30p ET,Minnesota Timberwolves,0,0,106,112,10,8,L 2,
19,337,8:30p ET,Charlotte Bobcats,1,0,89,82,11,8,W 1,
24,348,8:30p ET,Milwaukee Bucks,1,0,106,93,14,10,W 1,
25,352,8:30p ET,Memphis Grizzlies,1,0,105,91,15,10,W 2,
26,354,8:30p ET,Toronto Raptors,0,1,108,109,15,11,L 1,
29,360,8:30p ET,San Antonio Spurs,0,0,107,116,16,13,L 1,
33,3,8:30p ET,Los Angeles Clippers,0,0,112,119,19,14,L 1,
34,5,7:30p ET,New York Knicks,0,0,80,92,19,15,L 2,
35,7,8:30p ET,Los Angeles Lakers,1,0,110,97,20,15,W 1,
38,11,8:30p ET,New Orleans Pelicans,1,0,110,107,22,16,W 2,
39,13,8:30p ET,Orlando Magic,1,0,107,88,23,16,W 3,
42,18,8:30p ET,Portland Trail Blazers,0,0,111,127,24,18,L 1,
46,26,7:30p ET,Detroit Pistons,1,0,116,106,26,20,W 1,
47,29,8:30p ET,Houston Rockets,0,0,115,117,26,21,L 1,
48,31,8:30p ET,Sacramento Kings,1,0,107,103,27,21,W 1,
49,34,8:30p ET,Cleveland Cavaliers,1,0,124,107,28,21,W 2,
51,38,8:30p ET,Utah Jazz,1,0,103,81,30,21,W 4,
55,49,8:30p ET,Miami Heat,0,0,106,117,32,23,L 1,
59,57,8:00p ET,New Orleans Pelicans,1,0,108,89,36,23,W 4,
60,59,8:30p ET,Chicago Bulls,0,0,91,100,36,24,L 1,
63,66,8:30p ET,Portland Trail Blazers,1,0,103,98,37,26,W 1,
64,68,7:30p ET,Indiana Pacers,1,0,105,94,38,26,W 2,
68,76,8:30p ET,Boston Celtics,1,0,94,89,41,27,W 3,
69,78,8:30p ET,Minnesota Timberwolves,0,1,122,123,41,28,L 1,
70,80,8:30p ET,Denver Nuggets,1,0,122,106,42,28,W 1,
71,82,7:30p ET,Brooklyn Nets,0,1,104,107,42,29,L 1,
72,84,8:00p ET,Oklahoma City Thunder,1,1,128,119,43,29,W 1,
73,86,8:30p ET,Los Angeles Clippers,0,0,103,109,43,30,L 1,
74,88,8:30p ET,Sacramento Kings,1,0,103,100,44,30,W 1,
75,91,8:30p ET,Golden State Warriors,0,1,120,122,44,31,L 1,
80,100,8:00p ET,San Antonio Spurs,0,0,100,109,48,32,L 1,
81,102,8:30p ET,Phoenix Suns,1,0,101,98,49,32,W 1,
