GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
2,288,10:30 PM,Philadelphia Flyers,0,0,2,4,0,2,0,L 2,25,6,0,2,0,30,6,0,2,0,18453,2:31,
5,296,10:00 PM,Vancouver Canucks,2,2,4,3,2,3,0,W 2,31,17,1,3,1,25,11,2,6,0,18230,2:51,
6,299,10:30 PM,Columbus Blue Jackets,2,1,3,2,3,3,0,W 3,30,2,0,1,0,21,2,1,1,0,18230,2:23,
7,301,10:30 PM,Nashville Predators,2,1,3,2,4,3,0,W 4,45,11,1,3,0,26,13,0,3,1,18230,2:49,
10,306,10:30 PM,Anaheim Ducks,0,0,0,4,4,6,0,L 3,30,44,0,1,0,21,48,2,4,0,18230,2:39,
11,308,10:30 PM,Pittsburgh Penguins,2,1,3,2,5,6,0,W 1,27,6,0,3,0,23,6,0,3,0,18230,2:38,
12,310,10:00 PM,Calgary Flames,2,0,5,0,6,6,0,W 2,39,6,0,3,0,24,6,0,3,0,18230,2:30,
18,322,10:30 PM,Edmonton Oilers,2,0,4,2,8,9,1,W 1,25,7,0,2,1,30,9,0,1,0,18230,2:29,
19,324,4:00 PM,New Jersey Devils,2,0,4,2,9,9,1,W 2,28,4,0,1,0,23,2,0,2,0,18230,2:25,
21,328,10:30 PM,New York Islanders,2,0,4,2,11,9,1,W 4,28,4,0,2,0,24,4,0,2,0,18230,2:26,
22,331,10:30 PM,Chicago Blackhawks,2,1,2,1,12,9,1,W 5,29,6,0,3,0,19,6,0,3,0,18435,2:34,
23,335,10:30 PM,San Jose Sharks,0,0,1,4,12,10,1,L 1,27,2,1,2,0,24,4,0,1,0,18230,2:27,
25,339,3:00 PM,Montreal Canadiens,1,2,4,5,13,10,2,L 1,31,10,2,4,0,30,8,2,5,0,18230,2:49,
26,343,10:30 PM,Carolina Hurricanes,0,0,1,3,13,11,2,L 2,22,0,0,3,0,18,6,0,0,1,18230,2:20,
27,345,4:00 PM,Ottawa Senators,2,0,4,1,14,11,2,W 1,19,18,3,4,0,20,17,0,4,0,18230,2:30,
37,366,10:30 PM,San Jose Sharks,2,0,3,2,18,15,4,W 1,27,11,1,5,0,20,15,1,3,0,18230,2:44,
39,5,10:30 PM,Detroit Red Wings,0,0,0,4,19,16,4,L 1,34,4,0,0,0,22,0,0,2,0,18230,2:26,
40,7,4:00 PM,Minnesota Wild,2,1,4,3,20,16,4,W 1,36,6,1,3,0,24,4,1,3,0,18230,2:36,
41,9,10:30 PM,Dallas Stars,0,0,4,6,20,17,4,L 1,22,2,2,3,1,26,4,0,1,0,18230,2:35,
42,12,10:30 PM,St. Louis Blues,2,0,5,1,21,17,4,W 1,28,16,1,5,0,22,20,0,3,0,18230,2:33,
43,14,10:00 PM,Winnipeg Jets,2,1,3,2,22,17,4,W 2,38,6,0,4,0,28,8,2,4,0,18230,2:41,
44,16,4:00 PM,Tampa Bay Lightning,0,0,1,2,22,18,4,L 1,32,9,0,3,0,29,11,0,2,0,18230,2:30,
45,18,10:30 PM,San Jose Sharks,0,0,2,3,22,19,4,L 2,24,12,0,4,0,27,12,1,4,0,18230,2:36,
51,32,10:30 PM,Colorado Avalanche,2,0,5,0,26,21,4,W 4,40,13,1,3,0,22,21,0,4,0,18230,2:29,
56,47,10:30 PM,Arizona Coyotes,0,0,3,5,28,24,4,L 1,44,8,1,3,0,22,8,1,3,1,18230,2:44,
57,49,10:00 PM,Florida Panthers,0,0,2,3,28,25,4,L 2,35,4,0,3,0,25,6,0,2,0,18230,2:28,
60,54,10:30 PM,Boston Bruins,0,0,1,4,29,27,4,L 1,28,4,1,3,0,25,8,1,1,0,18230,2:36,
61,56,4:00 PM,Anaheim Ducks,2,0,4,1,30,27,4,W 1,33,20,0,4,0,33,20,0,4,0,18230,2:56,
64,61,10:30 PM,Toronto Maple Leafs,2,2,3,2,31,27,6,W 1,35,2,1,3,0,31,6,0,1,0,18230,2:51,
65,63,10:00 PM,Vancouver Canucks,0,0,3,4,31,28,6,L 1,44,6,2,7,1,21,14,0,2,0,18230,2:35,
66,68,10:30 PM,Nashville Predators,2,2,3,2,32,28,6,W 1,34,11,3,3,0,23,11,0,2,0,18230,2:48,
67,70,10:30 PM,Washington Capitals,2,0,4,2,33,28,6,W 2,22,6,2,6,0,19,12,1,3,0,18230,2:34,
68,72,10:00 PM,St. Louis Blues,0,0,1,3,33,29,6,L 1,39,8,0,3,0,26,6,1,4,0,18230,2:37,
69,73,10:30 PM,Arizona Coyotes,1,2,2,3,33,29,7,L 2,46,6,1,3,0,32,6,0,3,0,18230,3:02,
70,75,10:30 PM,Buffalo Sabres,2,0,2,0,34,29,7,W 1,36,9,0,2,0,26,9,0,2,0,18230,2:26,
73,82,10:30 PM,Winnipeg Jets,2,0,5,2,35,31,7,W 1,36,11,3,4,1,21,13,1,4,0,18230,2:31,
74,84,10:30 PM,New York Rangers,0,0,0,3,35,32,7,L 1,30,8,0,3,0,20,8,1,2,0,18230,2:28,
78,92,10:30 PM,Arizona Coyotes,0,0,1,2,37,34,7,L 1,35,2,1,6,0,15,12,1,1,0,18230,2:36,
