G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
2,305,7:00p ET,Philadelphia 76ers,0,0,102,109,0,2,L 2,
5,312,7:00p ET,Brooklyn Nets,1,1,112,108,2,3,W 2,
9,320,7:00p ET,Cleveland Cavaliers,0,1,96,103,2,7,L 4,
10,323,7:00p ET,Minnesota Timberwolves,1,0,104,100,3,7,W 1,
13,327,7:00p ET,New York Knicks,1,0,98,89,5,8,W 1,
14,330,7:00p ET,Los Angeles Lakers,1,0,116,111,6,8,W 2,
17,334,7:00p ET,Atlanta Hawks,1,0,108,101,8,9,W 1,
18,336,7:00p ET,Orlando Magic,1,0,98,80,9,9,W 2,
19,340,7:00p ET,Milwaukee Bucks,0,1,105,109,9,10,L 1,
20,343,7:00p ET,Denver Nuggets,0,0,74,75,9,11,L 2,
22,348,7:00p ET,Los Angeles Clippers,0,0,97,113,9,13,L 4,
27,362,7:00p ET,Detroit Pistons,1,0,106,82,13,14,W 1,
29,1,6:00p ET,Dallas Mavericks,0,0,78,87,14,15,L 1,
30,3,7:00p ET,Toronto Raptors,0,0,88,101,14,16,L 2,
31,5,6:00p ET,Golden State Warriors,0,0,96,112,14,17,L 3,
35,11,7:00p ET,Houston Rockets,0,0,107,114,16,19,L 2,
37,15,7:00p ET,Miami Heat,1,0,114,97,18,19,W 2,
38,17,7:00p ET,Chicago Bulls,1,0,96,93,19,19,W 3,
39,18,7:00p ET,Detroit Pistons,0,0,98,104,19,20,L 1,
40,20,2:00p ET,Philadelphia 76ers,1,0,107,99,20,20,W 1,
41,22,7:00p ET,Boston Celtics,0,1,111,113,20,21,L 1,
46,32,7:00p ET,Oklahoma City Thunder,1,0,96,81,23,23,W 1,
47,34,7:00p ET,Portland Trail Blazers,1,0,100,90,24,23,W 2,
48,36,7:00p ET,San Antonio Spurs,0,2,118,125,24,24,L 1,
49,38,7:00p ET,Cleveland Cavaliers,0,0,113,115,24,25,L 2,
50,40,6:00p ET,Sacramento Kings,1,0,93,84,25,25,W 1,
53,49,7:00p ET,Toronto Raptors,0,0,93,103,25,28,L 3,
55,53,7:00p ET,New Orleans Pelicans,1,0,94,93,27,28,W 2,
57,56,7:00p ET,Orlando Magic,1,0,115,106,29,28,W 4,
60,62,7:00p ET,Memphis Grizzlies,0,0,104,110,31,29,L 1,
61,64,7:00p ET,Utah Jazz,1,0,104,91,32,29,W 1,
64,71,7:00p ET,Charlotte Bobcats,0,0,85,98,33,31,L 2,
66,74,7:00p ET,Brooklyn Nets,1,0,101,94,35,31,W 2,
71,85,7:00p ET,Phoenix Suns,0,0,93,99,36,35,L 2,
72,87,7:00p ET,Indiana Pacers,1,0,91,78,37,35,W 1,
73,88,8:00p ET,Atlanta Hawks,1,0,101,97,38,35,W 2,
75,92,7:00p ET,Boston Celtics,1,0,118,92,39,36,W 1,
77,95,7:00p ET,Chicago Bulls,0,0,78,96,40,37,L 1,
78,99,7:00p ET,Charlotte Bobcats,0,1,88,94,40,38,L 2,
80,102,7:00p ET,Milwaukee Bucks,1,0,104,91,42,38,W 2,
81,104,7:00p ET,Miami Heat,1,0,114,93,43,38,W 3,
