G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
3,305,7:00p ET,Miami Heat,0,0,96,114,0,3,L 3,
4,307,7:00p ET,Houston Rockets,0,0,93,104,0,4,L 4,
5,309,7:00p ET,Orlando Magic,0,0,89,91,0,5,L 5,
6,311,7:00p ET,Chicago Bulls,0,0,115,118,0,6,L 6,
11,323,7:00p ET,Boston Celtics,0,0,90,101,0,11,L 11,
12,325,7:00p ET,Phoenix Suns,0,0,96,122,0,12,L 12,
14,328,7:00p ET,Portland Trail Blazers,0,0,104,114,0,14,L 14,
15,330,7:00p ET,Brooklyn Nets,0,0,91,99,0,15,L 15,
16,333,7:00p ET,Dallas Mavericks,0,0,103,110,0,16,L 16,
17,335,7:00p ET,San Antonio Spurs,0,0,103,109,0,17,L 17,
19,339,7:00p ET,Oklahoma City Thunder,0,0,91,103,1,18,L 1,
23,347,7:30p ET,Memphis Grizzlies,0,1,115,120,2,21,L 3,
24,349,7:00p ET,Boston Celtics,0,0,87,105,2,22,L 4,
25,353,7:00p ET,Charlotte Hornets,0,0,91,109,2,23,L 5,
33,5,7:00p ET,Cleveland Cavaliers,1,0,95,92,5,28,W 1,
34,7,7:00p ET,Milwaukee Bucks,0,0,77,97,5,29,L 1,
36,10,7:30p ET,Indiana Pacers,1,0,93,92,7,29,W 2,
37,13,7:00p ET,Atlanta Hawks,0,0,87,105,7,30,L 1,
39,16,7:00p ET,New Orleans Pelicans,1,0,96,81,8,31,W 1,
42,21,7:00p ET,New York Knicks,0,0,91,98,8,34,L 3,
43,23,7:00p ET,Toronto Raptors,0,0,86,91,8,35,L 4,
46,28,7:00p ET,Detroit Pistons,1,0,89,69,9,37,W 1,
47,30,7:00p ET,Minnesota Timberwolves,1,0,103,94,10,37,W 2,
50,34,7:00p ET,Denver Nuggets,1,0,105,98,11,39,W 1,
52,38,7:30p ET,Charlotte Hornets,1,0,89,81,12,40,W 1,
53,40,7:00p ET,Golden State Warriors,0,0,84,89,12,41,L 1,
54,51,7:00p ET,Indiana Pacers,0,0,95,106,12,42,L 2,
58,58,7:00p ET,Washington Wizards,1,0,89,81,13,45,W 1,
60,61,7:00p ET,Toronto Raptors,0,0,103,114,13,47,L 2,
62,65,7:00p ET,Utah Jazz,0,0,83,89,13,49,L 4,
63,66,7:30p ET,Atlanta Hawks,1,0,92,84,14,49,W 1,
64,70,7:00p ET,Chicago Bulls,0,1,95,104,14,50,L 1,
65,72,7:00p ET,Sacramento Kings,1,0,114,107,15,50,W 1,
66,73,7:30p ET,Brooklyn Nets,0,0,87,94,15,51,L 1,
68,77,7:00p ET,Detroit Pistons,1,0,94,83,16,52,W 1,
69,79,7:00p ET,New York Knicks,1,0,97,81,17,52,W 2,
73,86,7:00p ET,Los Angeles Clippers,0,0,98,119,18,55,L 1,
75,89,7:00p ET,Los Angeles Lakers,0,1,111,113,18,57,L 3,
79,98,7:00p ET,Washington Wizards,0,0,90,119,18,61,L 7,
81,103,7:00p ET,Milwaukee Bucks,0,0,97,107,18,63,L 9,
82,105,8:00p ET,Miami Heat,0,0,101,105,18,64,L 10,
