G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,302,9:00p ET,Detroit Pistons,1,0,89,79,1,0,W 1,
3,307,9:00p ET,Sacramento Kings,0,0,105,110,1,2,L 2,
5,311,10:30p ET,Cleveland Cavaliers,0,0,101,110,1,4,L 4,
7,316,9:00p ET,Portland Trail Blazers,0,0,113,130,1,6,L 6,
11,323,9:00p ET,Oklahoma City Thunder,1,0,107,100,4,7,W 2,
12,325,9:00p ET,New Orleans Pelicans,1,0,117,97,5,7,W 3,
14,329,9:00p ET,Chicago Bulls,1,0,114,109,7,7,W 5,
16,332,9:00p ET,Phoenix Suns,1,0,122,97,8,8,W 1,
18,336,9:00p ET,Portland Trail Blazers,0,0,103,105,9,9,L 1,
22,344,10:30p ET,Miami Heat,1,0,102,82,10,12,W 1,
24,348,8:00p ET,San Antonio Spurs,0,0,91,99,10,14,L 2,
25,351,10:30p ET,Houston Rockets,0,1,111,115,10,15,L 3,
26,353,9:00p ET,Los Angeles Clippers,1,0,109,106,11,15,W 1,
27,354,9:00p ET,Indiana Pacers,1,0,76,73,12,15,W 2,
30,360,9:00p ET,Minnesota Timberwolves,1,0,106,102,13,17,W 1,
31,362,9:00p ET,Toronto Raptors,0,0,102,116,13,18,L 1,
32,364,9:00p ET,Los Angeles Lakers,0,0,103,111,13,19,L 2,
34,3,9:00p ET,Memphis Grizzlies,1,0,114,85,14,20,W 1,
36,7,9:00p ET,Orlando Magic,1,0,93,90,16,20,W 3,
38,14,9:00p ET,Dallas Mavericks,1,0,114,107,18,20,W 5,
40,17,9:00p ET,Minnesota Timberwolves,0,0,105,113,18,22,L 2,
42,20,9:00p ET,San Antonio Spurs,0,0,99,109,18,24,L 4,
43,23,9:00p ET,Boston Celtics,0,0,99,100,18,25,L 5,
44,25,8:00p ET,Washington Wizards,0,1,115,117,18,26,L 6,
48,31,9:00p ET,Charlotte Hornets,0,0,86,104,19,29,L 2,
52,40,9:00p ET,Oklahoma City Thunder,0,0,114,124,19,33,L 6,
56,54,9:00p ET,Brooklyn Nets,0,0,82,110,20,36,L 3,
57,56,9:00p ET,Phoenix Suns,0,0,96,110,20,37,L 4,
58,58,9:00p ET,Utah Jazz,0,0,82,104,20,38,L 5,
59,60,8:00p ET,New Orleans Pelicans,0,0,92,99,20,39,L 6,
60,62,9:00p ET,Milwaukee Bucks,1,0,106,95,21,39,W 1,
63,66,9:00p ET,Houston Rockets,0,0,100,114,22,41,L 2,
64,68,9:00p ET,New York Knicks,1,0,106,78,23,41,W 1,
65,70,9:00p ET,Atlanta Hawks,1,0,115,102,24,41,W 2,
66,72,9:00p ET,Golden State Warriors,1,0,114,103,25,41,W 3,
72,84,9:00p ET,Philadelphia 76ers,0,0,85,99,27,45,L 1,
73,86,9:00p ET,Utah Jazz,1,0,107,91,28,45,W 1,
77,94,9:00p ET,Los Angeles Clippers,0,0,92,107,28,49,L 4,
78,98,9:00p ET,Los Angeles Lakers,1,0,119,101,29,49,W 1,
79,100,9:00p ET,Dallas Mavericks,0,2,143,144,29,50,L 1,
80,102,5:00p ET,Sacramento Kings,1,0,122,111,30,50,W 1,
