G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
2,303,8:30p ET,Utah Jazz,1,0,120,102,1,1,W 1,
4,307,8:30p ET,Boston Celtics,1,0,118,113,3,1,W 3,
7,313,7:30p ET,Miami Heat,0,0,96,105,4,3,L 1,
8,315,8:30p ET,Sacramento Kings,1,0,106,98,5,3,W 1,
9,317,8:30p ET,Philadelphia 76ers,1,0,123,70,6,3,W 2,
10,319,8:30p ET,Minnesota Timberwolves,1,0,131,117,7,3,W 3,
13,325,8:30p ET,Los Angeles Lakers,1,0,140,106,10,3,W 6,
15,328,8:30p ET,Indiana Pacers,0,0,100,111,10,5,L 2,
16,330,7:30p ET,New York Knicks,1,1,109,102,11,5,W 1,
21,339,8:30p ET,Phoenix Suns,0,0,106,118,15,6,L 1,
22,341,7:30p ET,Milwaukee Bucks,1,0,125,102,16,6,W 1,
24,344,8:00p ET,New Orleans Pelicans,1,0,112,107,17,7,W 1,
25,347,2:00p ET,Golden State Warriors,0,0,98,105,17,8,L 1,
28,354,8:30p ET,San Antonio Spurs,1,0,99,93,20,8,W 3,
29,356,8:30p ET,Atlanta Hawks,0,0,102,105,20,9,L 1,
31,360,8:30p ET,Los Angeles Lakers,1,0,102,98,21,10,W 1,
32,362,7:30p ET,Oklahoma City Thunder,1,0,112,107,22,10,W 2,
33,364,8:30p ET,Washington Wizards,1,0,114,87,23,10,W 3,
37,7,8:30p ET,Detroit Pistons,0,0,95,108,26,11,L 1,
41,16,8:30p ET,Denver Nuggets,1,0,97,89,28,13,W 1,
44,23,8:00p ET,Chicago Bulls,0,0,98,102,30,14,L 1,
46,27,8:30p ET,Memphis Grizzlies,0,0,90,109,30,16,L 3,
50,33,8:30p ET,Minnesota Timberwolves,1,0,100,94,33,17,W 3,
53,38,8:30p ET,Portland Trail Blazers,1,1,111,101,35,18,W 2,
54,40,8:30p ET,Los Angeles Clippers,0,0,98,115,35,19,L 1,
55,42,8:30p ET,Utah Jazz,1,0,87,82,36,19,W 1,
57,51,8:30p ET,Houston Rockets,1,0,111,100,37,20,W 1,
58,53,7:30p ET,Charlotte Hornets,1,0,92,81,38,20,W 2,
59,55,8:30p ET,Toronto Raptors,1,0,99,92,39,20,W 3,
61,59,8:30p ET,Brooklyn Nets,0,0,94,104,39,22,L 2,
62,61,8:30p ET,New Orleans Pelicans,1,0,102,93,40,22,W 1,
66,69,8:30p ET,Cleveland Cavaliers,0,0,94,127,41,25,L 1,
67,72,8:30p ET,Los Angeles Clippers,1,0,129,99,42,25,W 1,
68,75,8:30p ET,Oklahoma City Thunder,1,0,119,115,43,25,W 2,
69,77,8:00p ET,Orlando Magic,1,0,107,102,44,25,W 3,
70,79,8:30p ET,Memphis Grizzlies,0,0,101,112,44,26,L 1,
72,83,8:00p ET,San Antonio Spurs,1,0,101,94,45,27,W 1,
76,92,8:30p ET,Houston Rockets,0,0,101,108,46,30,L 1,
77,94,8:30p ET,Golden State Warriors,0,0,110,123,46,31,L 2,
78,98,9:30p ET,Phoenix Suns,1,0,107,104,47,31,W 1,
82,105,8:00p ET,Portland Trail Blazers,1,0,114,98,50,32,W 1,
