GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
3,283,7:00 PM,Columbus Blue Jackets,2,0,5,2,3,0,0,W 3,29,12,1,2,0,39,6,1,5,0,18006,2:33,
4,286,7:00 PM,Winnipeg Jets,0,0,1,4,3,1,0,L 1,41,12,0,5,0,29,12,2,5,1,18006,2:23,
6,291,1:00 PM,New Jersey Devils,1,1,1,2,3,2,1,L 3,27,11,0,2,0,24,9,0,3,0,18006,2:23,
7,292,7:00 PM,San Jose Sharks,2,0,4,0,4,2,1,W 1,28,4,1,1,0,22,2,0,2,0,18006,2:19,
8,295,7:00 PM,Arizona Coyotes,2,0,4,1,5,2,1,W 2,27,6,1,3,0,35,6,0,3,0,18006,2:38,
10,298,7:00 PM,Calgary Flames,2,0,4,1,6,2,2,W 1,26,6,0,2,0,23,6,0,2,0,18006,2:18,
11,303,7:00 PM,Toronto Maple Leafs,2,0,3,1,7,2,2,W 2,26,0,0,3,0,25,6,0,0,0,18006,2:30,
12,307,7:00 PM,Washington Capitals,2,0,5,2,8,2,2,W 3,22,4,0,1,0,34,2,0,2,0,18006,2:26,
15,314,7:00 PM,Carolina Hurricanes,2,0,3,0,11,2,2,W 6,23,12,0,2,0,33,4,0,6,0,18006,2:27,
16,316,7:00 PM,St. Louis Blues,2,0,6,3,12,2,2,W 7,22,8,1,2,0,34,6,1,3,0,18006,2:26,
18,319,7:00 PM,Toronto Maple Leafs,2,0,4,3,14,2,2,W 9,30,6,0,2,0,26,2,0,3,0,18006,2:38,
21,327,7:00 PM,Nashville Predators,2,0,3,0,16,3,2,W 2,19,12,1,4,0,31,20,0,5,0,18006,2:29,
22,329,7:00 PM,Montreal Canadiens,0,0,1,5,16,4,2,L 1,34,8,1,5,0,25,10,1,4,0,18006,2:28,
24,332,1:30 PM,Philadelphia Flyers,0,0,0,3,16,6,2,L 3,24,9,0,2,0,34,19,0,2,0,18006,2:19,
25,334,7:00 PM,Carolina Hurricanes,2,0,4,3,17,6,2,W 1,22,8,2,4,0,36,10,0,3,0,18006,2:26,
27,337,7:00 PM,Colorado Avalanche,0,0,1,2,17,7,3,L 2,25,5,0,1,0,18,7,0,0,0,18006,2:19,
28,340,7:00 PM,Ottawa Senators,2,0,4,1,18,7,3,W 1,31,4,2,2,0,24,2,0,2,0,18006,2:30,
32,349,7:00 PM,Edmonton Oilers,2,0,4,2,19,9,4,W 1,21,12,1,5,0,20,8,1,6,0,18006,2:21,
35,354,7:00 PM,Washington Capitals,0,0,3,7,19,12,4,L 3,36,10,1,5,0,30,14,2,3,1,18006,2:31,
36,356,7:00 PM,Anaheim Ducks,2,1,3,2,20,12,4,W 1,22,18,1,5,0,19,20,0,4,0,18006,2:38,
40,5,7:00 PM,Dallas Stars,2,0,6,2,22,14,4,W 1,29,6,0,3,1,23,6,0,3,0,18006,2:24,
41,9,1:00 PM,Washington Capitals,1,1,3,4,22,14,5,L 1,26,6,0,3,0,31,6,1,3,0,18006,2:35,
42,11,7:00 PM,Boston Bruins,2,0,2,1,23,14,5,W 1,30,2,0,0,0,33,0,0,1,0,18006,2:21,
46,19,7:00 PM,Vancouver Canucks,2,1,3,2,25,16,5,W 1,49,2,0,1,0,20,2,0,1,0,18006,2:31,
49,25,7:30 PM,Buffalo Sabres,2,0,6,3,27,17,5,W 1,33,2,1,4,0,26,8,0,1,0,18006,2:30,
51,35,7:00 PM,Minnesota Wild,2,0,4,2,28,18,5,W 1,30,6,0,3,0,18,6,1,3,0,18006,2:25,
53,39,7:00 PM,New Jersey Devils,2,0,2,1,30,18,5,W 3,37,10,0,5,0,28,10,0,0,1,18006,2:29,
55,43,7:00 PM,Los Angeles Kings,1,1,4,5,31,18,6,L 1,28,4,1,1,0,34,2,1,2,0,18006,2:34,
56,45,7:30 PM,Philadelphia Flyers,2,0,3,1,32,18,6,W 1,30,22,1,4,0,22,22,1,5,0,18006,2:36,
57,48,8:00 PM,Chicago Blackhawks,0,0,3,5,32,19,6,L 1,34,8,2,2,0,20,4,3,4,0,18006,2:27,
59,52,7:00 PM,Detroit Red Wings,2,1,1,0,34,19,6,W 2,30,10,0,4,0,22,10,0,4,0,18006,2:36,
63,60,7:00 PM,Columbus Blue Jackets,2,0,2,1,37,20,6,W 3,23,7,0,1,1,27,7,0,1,0,18006,2:26,
66,66,5:00 PM,New York Islanders,0,0,4,6,38,22,6,L 1,26,6,1,3,0,32,6,1,3,0,18006,2:28,
69,73,12:30 PM,Pittsburgh Penguins,0,0,3,5,39,23,7,L 2,27,13,1,4,0,33,15,1,3,0,18006,2:25,
73,81,7:00 PM,Florida Panthers,2,0,4,2,41,24,8,W 1,32,6,1,2,0,27,8,1,1,0,18006,2:36,
74,83,8:00 PM,Boston Bruins,2,0,5,2,42,24,8,W 2,24,9,2,6,0,41,17,0,2,0,18006,2:41,
76,87,7:30 PM,Pittsburgh Penguins,1,1,2,3,43,24,9,L 1,27,4,0,2,0,32,4,0,2,0,18006,2:42,
78,93,7:00 PM,Buffalo Sabres,0,0,3,4,43,26,9,L 3,36,4,0,3,0,24,6,0,2,0,18006,2:31,
80,96,7:30 PM,Tampa Bay Lightning,2,0,3,2,45,26,9,W 2,28,27,1,6,0,41,27,1,6,0,18006,2:30,
81,98,7:00 PM,New York Islanders,0,0,1,4,45,27,9,L 1,37,8,0,4,0,23,10,1,3,0,18006,2:20,
82,100,12:30 PM,Detroit Red Wings,2,0,3,2,46,27,9,W 1,20,8,0,2,0,33,4,1,4,0,18006,2:31,
