G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,SHG_Opp,Notes
1,282,7:00 PM,Montreal Canadiens,1,2,1,2,0,0,1,L 1,30,19,0,0,24,19,0,0,
3,287,7:00 PM,San Jose Sharks,1,2,5,6,1,0,2,L 1,34,6,2,0,23,8,1,0,
4,289,7:00 PM,New Jersey Devils,2,0,6,2,2,0,2,W 1,33,6,1,0,28,10,0,0,
5,291,7:00 PM,Florida Panthers,2,2,2,1,3,0,2,W 2,28,10,0,0,21,4,1,0,
9,302,7:30 PM,Detroit Red Wings,0,0,2,4,4,3,2,L 2,27,8,1,0,22,12,1,0,
11,306,7:00 PM,Arizona Coyotes,0,0,5,6,4,5,2,L 4,37,21,2,0,30,15,2,0,
12,308,7:00 PM,Calgary Flames,1,1,3,4,4,5,3,L 5,34,7,1,0,23,13,0,0,
14,312,8:00 PM,Carolina Hurricanes,2,1,4,3,6,5,3,W 2,39,4,1,0,27,6,1,0,
15,315,7:00 PM,Columbus Blue Jackets,2,0,4,2,7,5,3,W 3,32,8,1,0,26,10,0,0,
16,318,7:00 PM,New Jersey Devils,0,0,0,1,7,6,3,L 1,30,8,0,0,28,10,0,0,
20,326,7:00 PM,Buffalo Sabres,0,0,1,2,9,8,3,L 1,44,7,1,0,26,7,0,0,
22,332,5:00 PM,New York Islanders,2,0,5,2,10,8,4,W 1,27,9,1,0,28,9,0,0,
24,336,7:00 PM,Vancouver Canucks,0,0,3,4,10,10,4,L 2,25,10,0,0,32,4,3,0,
28,345,7:00 PM,Columbus Blue Jackets,1,1,2,3,13,10,5,L 1,41,8,1,0,23,12,1,0,
29,347,7:00 PM,Tampa Bay Lightning,2,0,4,2,14,10,5,W 1,28,15,0,0,28,15,0,0,
33,356,7:00 PM,Ottawa Senators,2,0,2,1,17,10,6,W 3,23,16,1,0,39,18,0,0,
37,1,1:00 PM,Chicago Blackhawks,2,0,3,2,19,11,7,W 1,35,14,1,0,35,10,1,0,
38,4,3:00 PM,Florida Panthers,2,0,4,3,20,11,7,W 2,26,12,1,0,32,6,0,0,
41,10,7:00 PM,Detroit Red Wings,2,0,3,1,22,11,8,W 1,17,4,1,0,27,4,0,0,
42,12,7:00 PM,Colorado Avalanche,2,0,2,1,23,11,8,W 2,38,6,1,0,32,8,1,0,
43,14,8:00 PM,Philadelphia Flyers,2,0,1,0,24,11,8,W 3,26,6,0,0,21,4,0,0,
46,20,7:00 PM,Edmonton Oilers,1,2,4,5,24,13,9,L 3,24,12,1,0,31,4,1,0,
48,28,8:00 PM,Pittsburgh Penguins,2,0,4,0,25,14,9,W 1,36,22,1,0,27,32,0,0,
50,32,1:00 PM,St. Louis Blues,0,0,3,4,25,15,10,L 2,36,8,1,0,40,21,1,0,
51,34,7:00 PM,Los Angeles Kings,2,0,4,0,26,15,10,W 1,27,4,1,0,27,8,0,0,
53,37,7:00 PM,Anaheim Ducks,2,2,3,2,28,15,10,W 3,34,4,0,0,25,2,1,0,
54,39,3:00 PM,Philadelphia Flyers,0,0,1,3,28,16,10,L 1,14,9,1,0,25,17,1,0,
59,50,7:00 PM,Winnipeg Jets,2,0,5,1,32,17,10,W 3,33,6,3,1,20,10,0,0,
60,52,12:30 PM,New York Islanders,2,2,3,2,33,17,10,W 4,27,7,0,0,32,5,0,0,
62,56,8:00 PM,Pittsburgh Penguins,0,0,3,4,33,19,10,L 2,24,18,1,0,26,18,1,1,
64,60,7:00 PM,Toronto Maple Leafs,2,0,4,0,34,20,10,W 1,32,12,1,0,32,8,0,0,
66,64,7:00 PM,Minnesota Wild,0,0,1,2,35,21,10,L 1,25,4,1,0,30,2,0,0,
67,66,7:00 PM,Buffalo Sabres,2,0,6,1,36,21,10,W 1,45,11,2,0,17,11,0,0,
68,70,8:00 PM,New York Rangers,0,0,1,3,36,22,10,L 1,29,8,1,0,31,8,0,0,
69,72,7:00 PM,Dallas Stars,0,0,2,4,36,23,10,L 2,20,12,0,0,31,8,3,0,
70,74,7:30 PM,Boston Bruins,2,0,2,0,37,23,10,W 1,38,8,1,0,32,2,0,0,
74,85,7:00 PM,New Jersey Devils,2,1,3,2,40,24,10,W 1,24,8,0,0,31,8,0,1,
75,87,12:30 PM,Nashville Predators,0,0,3,4,40,25,10,L 1,28,10,0,1,27,10,0,0,
77,90,7:00 PM,Carolina Hurricanes,2,0,4,2,42,25,10,W 2,20,4,0,0,25,0,0,0,
81,98,8:00 PM,Boston Bruins,2,0,3,0,45,25,11,W 2,33,0,0,0,27,6,0,0,
82,101,12:30 PM,New York Rangers,0,0,2,4,45,26,11,L 1,24,25,1,0,34,9,1,0,
