G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
3,307,7:00p ET,Toronto Raptors,0,0,103,113,0,3,L 3,
4,309,7:00p ET,Atlanta Hawks,1,0,95,92,1,3,W 1,
6,312,7:00p ET,Houston Rockets,0,0,106,114,1,5,L 2,
7,314,7:00p ET,Boston Celtics,1,0,118,93,2,5,W 1,
8,316,7:00p ET,Cleveland Cavaliers,0,0,94,105,2,6,L 1,
11,322,7:00p ET,New York Knicks,1,0,119,112,3,8,W 1,
12,324,7:00p ET,Miami Heat,0,0,111,114,3,9,L 1,
13,326,7:00p ET,Phoenix Suns,1,0,106,101,4,9,W 1,
15,331,7:00p ET,San Antonio Spurs,0,0,100,112,5,10,L 1,
16,333,7:00p ET,Sacramento Kings,1,1,101,95,6,10,W 1,
20,341,7:00p ET,Orlando Magic,0,0,116,124,7,13,L 1,
21,343,7:00p ET,Denver Nuggets,1,0,92,85,8,13,W 1,
22,345,7:00p ET,Milwaukee Bucks,1,0,110,105,9,13,W 2,
24,349,7:00p ET,Charlotte Hornets,1,0,109,106,10,14,W 1,
25,351,7:00p ET,Detroit Pistons,1,0,122,108,11,14,W 2,
26,353,3:30p ET,Los Angeles Clippers,1,0,117,110,12,14,W 3,
30,361,7:00p ET,Milwaukee Bucks,1,0,107,102,14,16,W 1,
31,363,7:00p ET,Indiana Pacers,1,0,111,105,15,16,W 2,
32,365,7:00p ET,Brooklyn Nets,1,0,118,95,16,16,W 3,
35,6,7:00p ET,Minnesota Timberwolves,1,0,112,105,17,18,W 1,
37,10,7:00p ET,Chicago Bulls,1,0,101,99,19,18,W 3,
39,14,8:00p ET,Philadelphia 76ers,1,0,109,93,20,19,W 1,
40,16,2:00p ET,Portland Trail Blazers,1,0,120,101,21,19,W 2,
41,18,7:00p ET,Memphis Grizzlies,1,0,104,101,22,19,W 3,
45,24,7:00p ET,Boston Celtics,1,0,123,108,25,20,W 2,
48,31,7:00p ET,New York Knicks,1,0,117,101,28,20,W 5,
49,33,7:00p ET,Los Angeles Lakers,1,0,116,108,29,20,W 6,
50,35,7:00p ET,New Orleans Pelicans,1,0,105,91,30,20,W 7,
51,37,7:00p ET,Cleveland Cavaliers,0,1,135,140,30,21,L 1,
53,41,8:00p ET,Indiana Pacers,1,0,112,107,32,21,W 2,
54,44,8:00p ET,Oklahoma City Thunder,1,0,120,98,33,21,W 3,
57,57,5:00p ET,Utah Jazz,0,0,92,102,34,23,L 2,
58,59,7:00p ET,Golden State Warriors,1,0,112,108,35,23,W 1,
60,62,7:00p ET,Toronto Raptors,0,0,106,114,36,24,L 1,
61,64,5:00p ET,Orlando Magic,1,0,115,114,37,24,W 1,
67,74,7:00p ET,Dallas Mavericks,0,0,107,112,41,26,L 2,
68,76,7:00p ET,Chicago Bulls,1,0,112,107,42,26,W 1,
71,81,8:00p ET,Atlanta Hawks,1,0,104,100,43,28,W 1,
72,83,7:00p ET,Brooklyn Nets,1,0,129,108,44,28,W 2,
78,94,7:00p ET,Charlotte Hornets,1,0,118,111,47,31,W 1,
80,98,7:00p ET,Miami Heat,0,0,103,106,48,32,L 1,
