G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,301,7:30p ET,Indiana Pacers,1,0,106,99,1,0,W 1,
3,305,6:00p ET,Milwaukee Bucks,1,0,106,87,3,0,W 3,
8,314,7:30p ET,New York Knicks,0,0,109,111,5,3,L 3,
10,317,7:30p ET,New Orleans Pelicans,1,0,100,81,7,3,W 2,
16,329,7:30p ET,Cleveland Cavaliers,1,0,103,99,10,6,W 3,
18,333,6:00p ET,Phoenix Suns,0,0,102,107,11,7,L 1,
20,337,7:30p ET,Denver Nuggets,0,0,105,106,12,8,L 1,
21,339,5:00p ET,Golden State Warriors,0,0,109,112,12,9,L 2,
22,341,7:30p ET,Los Angeles Lakers,1,0,102,93,13,9,W 1,
23,343,7:30p ET,San Antonio Spurs,1,0,97,94,14,9,W 2,
24,345,7:30p ET,Milwaukee Bucks,1,0,90,83,15,9,W 3,
25,347,6:00p ET,Philadelphia 76ers,1,0,96,76,16,9,W 4,
29,354,6:00p ET,Sacramento Kings,0,0,94,104,17,12,L 1,
30,356,7:30p ET,Dallas Mavericks,1,0,103,99,18,12,W 1,
33,364,7:30p ET,Washington Wizards,1,0,94,91,20,13,W 1,
34,1,7:30p ET,Charlotte Hornets,1,0,104,94,21,13,W 2,
35,3,3:30p ET,Chicago Bulls,0,0,113,115,21,14,L 1,
41,18,7:30p ET,Brooklyn Nets,1,0,112,100,26,15,W 5,
42,20,7:30p ET,Boston Celtics,1,0,115,109,27,15,W 6,
43,22,8:00p ET,Miami Heat,1,0,101,81,28,15,W 7,
44,24,6:00p ET,Los Angeles Clippers,1,0,112,94,29,15,W 8,
45,26,7:30p ET,Washington Wizards,1,0,106,89,30,15,W 9,
46,28,8:00p ET,New York Knicks,1,0,103,93,31,15,W 10,
47,30,6:30p ET,Detroit Pistons,1,0,111,107,32,15,W 11,
54,52,6:00p ET,Memphis Grizzlies,1,0,98,85,36,18,W 1,
56,55,7:30p ET,Minnesota Timberwolves,1,0,114,105,38,18,W 3,
57,57,7:30p ET,Cleveland Cavaliers,1,0,99,97,39,18,W 4,
59,62,7:30p ET,Utah Jazz,1,0,104,94,40,19,W 1,
60,64,7:30p ET,Portland Trail Blazers,1,0,117,115,41,19,W 2,
61,66,6:30p ET,Houston Rockets,0,0,107,113,41,20,L 1,
62,68,7:30p ET,Brooklyn Nets,1,0,104,99,42,20,W 1,
63,70,7:30p ET,Atlanta Hawks,1,0,104,96,43,20,W 2,
64,72,7:00p ET,Miami Heat,1,1,112,104,44,20,W 3,
65,74,7:30p ET,Chicago Bulls,0,0,107,109,44,21,L 1,
68,78,7:30p ET,Boston Celtics,1,0,105,91,47,21,W 3,
69,80,4:30p ET,Orlando Magic,1,0,105,100,48,21,W 4,
73,88,7:30p ET,Oklahoma City Thunder,0,0,100,119,49,24,L 1,
74,90,7:30p ET,Atlanta Hawks,1,0,105,97,50,24,W 1,
77,96,7:30p ET,Charlotte Hornets,1,0,96,90,52,25,W 1,
79,99,7:30p ET,Indiana Pacers,1,0,111,98,53,26,W 1,
81,103,7:30p ET,Philadelphia 76ers,1,0,122,98,55,26,W 3,
