G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
2,303,7:00p ET,Utah Jazz,0,0,71,99,0,2,L 2,
3,306,7:00p ET,Cleveland Cavaliers,0,0,100,107,0,3,L 3,
6,311,7:00p ET,Orlando Magic,0,0,97,105,0,6,L 6,
7,313,7:00p ET,Chicago Bulls,0,0,88,111,0,7,L 7,
8,315,7:00p ET,Toronto Raptors,0,0,103,119,0,8,L 8,
11,320,7:00p ET,Dallas Mavericks,0,0,86,92,0,11,L 11,
12,322,7:00p ET,Indiana Pacers,0,0,85,112,0,12,L 12,
19,335,7:00p ET,Los Angeles Lakers,1,0,103,91,1,18,W 1,
21,339,1:00p ET,Denver Nuggets,0,0,105,108,1,20,L 2,
22,341,7:00p ET,San Antonio Spurs,0,0,68,119,1,21,L 3,
24,345,7:00p ET,Detroit Pistons,0,0,95,107,1,23,L 5,
28,352,7:00p ET,New York Knicks,0,0,97,107,1,27,L 9,
30,356,7:00p ET,Memphis Grizzlies,0,0,90,104,1,29,L 11,
37,4,7:00p ET,Minnesota Timberwolves,1,0,109,99,4,33,W 1,
38,7,7:00p ET,Atlanta Hawks,0,0,98,126,4,34,L 1,
39,9,7:30p ET,Toronto Raptors,0,0,95,108,4,35,L 2,
40,10,6:00p ET,Cleveland Cavaliers,0,0,85,95,4,36,L 3,
41,14,7:00p ET,Chicago Bulls,0,1,111,115,4,37,L 4,
42,16,7:30p ET,Portland Trail Blazers,1,0,114,89,5,37,W 1,
45,24,7:00p ET,Boston Celtics,0,0,92,112,6,39,L 1,
46,26,7:00p ET,Phoenix Suns,1,0,113,103,7,39,W 1,
48,30,5:00p ET,Golden State Warriors,0,0,105,108,7,41,L 2,
49,34,7:00p ET,Atlanta Hawks,0,0,86,124,7,42,L 3,
51,37,7:30p ET,Brooklyn Nets,1,0,103,98,8,43,W 1,
52,39,7:00p ET,Los Angeles Clippers,0,1,92,98,8,44,L 1,
53,41,7:00p ET,Sacramento Kings,0,0,110,114,8,45,L 2,
56,54,7:00p ET,Orlando Magic,0,0,115,124,8,48,L 5,
58,57,7:00p ET,Washington Wizards,0,0,94,103,8,50,L 7,
61,62,7:00p ET,Charlotte Hornets,0,0,99,119,8,53,L 10,
62,64,7:00p ET,Miami Heat,0,0,102,112,8,54,L 11,
64,69,7:00p ET,Houston Rockets,0,0,104,118,8,56,L 13,
65,71,7:00p ET,Brooklyn Nets,1,0,95,89,9,56,W 1,
66,72,7:00p ET,Detroit Pistons,0,0,111,125,9,57,L 1,
68,77,7:00p ET,Washington Wizards,0,0,94,99,9,59,L 3,
69,78,7:00p ET,Oklahoma City Thunder,0,0,97,111,9,60,L 4,
70,80,6:00p ET,Boston Celtics,0,0,105,120,9,61,L 5,
75,89,7:00p ET,Charlotte Hornets,0,0,85,100,9,66,L 10,
77,93,7:30p ET,Indiana Pacers,0,0,102,115,9,68,L 12,
78,96,7:00p ET,New Orleans Pelicans,1,0,107,93,10,68,W 1,
79,99,7:00p ET,New York Knicks,0,0,102,109,10,69,L 1,
80,101,5:00p ET,Milwaukee Bucks,0,1,108,109,10,70,L 2,
