G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,301,10:30p ET,Houston Rockets,0,0,90,108,0,1,L 1,
3,304,10:30p ET,Los Angeles Clippers,0,0,111,118,0,3,L 3,
5,308,10:30p ET,Phoenix Suns,0,0,106,112,0,5,L 5,
6,313,9:30p ET,Charlotte Hornets,1,0,107,92,1,5,W 1,
9,318,10:00p ET,San Antonio Spurs,0,0,80,93,1,8,L 3,
10,320,9:30p ET,Golden State Warriors,0,0,115,136,1,9,L 4,
14,327,9:30p ET,Denver Nuggets,0,1,94,101,3,11,L 2,
15,330,10:30p ET,Memphis Grizzlies,0,0,93,99,3,12,L 3,
16,332,10:30p ET,Minnesota Timberwolves,0,0,119,120,3,13,L 4,
17,334,9:30p ET,Toronto Raptors,1,1,129,122,4,13,W 1,
21,341,9:30p ET,New Orleans Pelicans,0,0,87,104,5,16,L 3,
22,343,10:30p ET,Sacramento Kings,1,0,98,95,6,16,W 1,
26,353,10:30p ET,Oklahoma City Thunder,0,0,103,104,8,18,L 2,
28,357,10:30p ET,Golden State Warriors,1,0,115,105,9,19,W 1,
31,362,9:30p ET,Phoenix Suns,0,0,107,116,9,22,L 3,
33,2,10:30p ET,Memphis Grizzlies,0,0,106,109,10,23,L 1,
34,4,9:30p ET,Indiana Pacers,1,0,88,87,11,23,W 1,
37,9,10:30p ET,Orlando Magic,1,0,101,84,12,25,W 1,
38,11,9:30p ET,Portland Trail Blazers,0,0,94,106,12,26,L 1,
39,13,10:30p ET,Miami Heat,0,0,75,78,12,27,L 2,
40,15,10:30p ET,Cleveland Cavaliers,0,0,102,109,12,28,L 3,
45,25,9:30p ET,Houston Rockets,0,0,87,99,12,33,L 8,
46,27,10:30p ET,Washington Wizards,0,0,92,98,12,34,L 9,
47,29,10:30p ET,Chicago Bulls,1,2,123,118,13,34,W 1,
52,41,10:30p ET,Denver Nuggets,0,0,96,106,13,39,L 5,
54,51,10:30p ET,Brooklyn Nets,0,0,105,114,13,41,L 7,
55,53,9:30p ET,Boston Celtics,1,1,118,111,14,41,W 1,
57,58,10:30p ET,Milwaukee Bucks,1,0,101,93,16,41,W 3,
58,60,6:30p ET,Oklahoma City Thunder,0,0,101,108,16,42,L 1,
62,67,9:30p ET,Dallas Mavericks,0,0,93,100,16,46,L 5,
63,69,10:30p ET,Detroit Pistons,1,0,93,85,17,46,W 1,
64,71,10:30p ET,New York Knicks,0,0,94,101,17,47,L 1,
65,74,9:30p ET,Atlanta Hawks,0,0,86,91,17,48,L 2,
67,78,10:30p ET,Utah Jazz,0,0,73,80,17,50,L 4,
68,81,9:30p ET,Philadelphia 76ers,1,0,101,87,18,50,W 1,
74,91,10:30p ET,New Orleans Pelicans,0,0,92,113,20,54,L 1,
75,93,10:30p ET,Portland Trail Blazers,0,0,77,107,20,55,L 2,
76,95,9:30p ET,Los Angeles Clippers,0,0,78,106,20,56,L 3,
79,100,10:30p ET,Minnesota Timberwolves,1,0,106,98,21,58,W 1,
80,102,9:30p ET,Dallas Mavericks,0,0,106,120,21,59,L 1,
82,105,10:30p ET,Sacramento Kings,0,0,99,122,21,61,L 3,
