G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,302,7:30p ET,Atlanta Hawks,1,0,109,102,1,0,W 1,
4,308,7:30p ET,Oklahoma City Thunder,1,0,100,88,3,1,W 1,
6,311,7:30p ET,Washington Wizards,1,0,103,84,5,1,W 3,
7,313,7:00p ET,Philadelphia 76ers,1,0,120,88,6,1,W 4,
8,315,7:30p ET,Orlando Magic,1,0,104,100,7,1,W 5,
9,317,8:00p ET,Chicago Bulls,0,0,93,100,7,2,L 1,
10,319,7:30p ET,Utah Jazz,1,0,111,93,8,2,W 1,
11,323,7:30p ET,Memphis Grizzlies,1,0,96,92,9,2,W 2,
12,325,7:30p ET,Milwaukee Bucks,1,0,124,82,10,2,W 3,
14,328,7:30p ET,Phoenix Suns,1,0,104,100,12,2,W 5,
16,332,7:30p ET,Dallas Mavericks,0,0,102,106,13,3,L 1,
20,339,7:30p ET,Cleveland Cavaliers,0,0,91,105,15,5,L 1,
21,342,7:30p ET,Denver Nuggets,1,1,112,107,16,5,W 1,
23,346,7:30p ET,Indiana Pacers,1,0,106,94,17,6,W 1,
25,349,7:30p ET,Orlando Magic,1,0,95,82,19,6,W 3,
26,351,8:00p ET,Brooklyn Nets,1,0,105,89,20,6,W 4,
28,355,3:30p ET,New York Knicks,1,0,118,108,22,6,W 6,
35,8,7:30p ET,Charlotte Hornets,0,0,95,103,24,11,L 4,
36,10,7:30p ET,Boston Celtics,1,0,109,96,25,11,W 1,
37,12,7:30p ET,Detroit Pistons,0,0,111,114,25,12,L 1,
38,14,7:30p ET,Philadelphia 76ers,1,0,100,84,26,12,W 1,
39,16,7:30p ET,Atlanta Hawks,0,0,89,110,26,13,L 1,
40,18,3:30p ET,New Orleans Pelicans,0,0,93,95,26,14,L 2,
44,25,7:00p ET,Detroit Pistons,1,0,114,110,29,15,W 2,
46,28,7:30p ET,Sacramento Kings,1,0,119,102,31,15,W 4,
49,33,7:30p ET,Milwaukee Bucks,0,0,75,82,33,16,L 1,
50,35,7:30p ET,Brooklyn Nets,0,0,93,109,33,17,L 2,
51,37,7:00p ET,Los Angeles Clippers,1,0,123,107,34,17,W 1,
52,39,7:00p ET,San Antonio Spurs,1,0,87,82,35,17,W 2,
53,42,7:30p ET,Washington Wizards,1,0,95,93,36,17,W 3,
58,58,7:30p ET,Golden State Warriors,0,0,89,113,37,21,L 4,
61,63,7:30p ET,Cleveland Cavaliers,0,0,112,120,38,23,L 1,
65,72,7:30p ET,Miami Heat,1,0,102,92,39,26,W 1,
66,74,7:00p ET,Portland Trail Blazers,0,0,97,113,39,27,L 1,
68,77,7:30p ET,Minnesota Timberwolves,1,0,105,100,41,27,W 2,
70,81,4:00p ET,New York Knicks,1,0,106,89,42,28,W 1,
72,84,7:00p ET,Chicago Bulls,0,0,103,116,42,30,L 2,
73,86,7:30p ET,Los Angeles Lakers,1,0,94,83,43,30,W 1,
74,89,7:30p ET,Houston Rockets,1,0,99,96,44,30,W 2,
77,94,7:30p ET,Boston Celtics,0,1,116,117,45,32,L 2,
82,105,7:00p ET,Charlotte Hornets,1,0,92,87,49,33,W 1,
