G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,300,10:30p ET,Houston Rockets,1,0,120,114,1,0,W 1,
6,309,10:30p ET,Golden State Warriors,1,0,117,97,3,3,W 2,
7,311,9:30p ET,Phoenix Suns,1,0,119,108,4,3,W 3,
8,313,10:30p ET,Dallas Mavericks,0,0,97,109,4,4,L 1,
12,320,10:30p ET,Brooklyn Nets,1,0,125,118,7,5,W 1,
13,323,10:30p ET,San Antonio Spurs,0,0,107,116,7,6,L 1,
14,325,9:30p ET,Chicago Bulls,0,0,110,118,7,7,L 2,
15,327,10:30p ET,Oklahoma City Thunder,1,0,111,109,8,7,W 1,
17,330,10:30p ET,Golden State Warriors,0,0,85,109,8,9,L 2,
18,332,9:30p ET,Atlanta Hawks,1,0,109,94,9,9,W 1,
23,340,10:30p ET,Utah Jazz,0,0,101,107,10,13,L 3,
25,344,10:30p ET,Phoenix Suns,0,0,115,119,10,15,L 5,
26,346,9:30p ET,New York Knicks,0,0,112,118,10,16,L 6,
34,360,10:30p ET,Los Angeles Clippers,1,0,111,102,12,22,W 1,
35,362,10:30p ET,Utah Jazz,0,0,100,102,12,23,L 1,
36,364,10:30p ET,Dallas Mavericks,0,0,89,101,12,24,L 2,
37,1,9:30p ET,Toronto Raptors,0,0,114,123,12,25,L 3,
38,3,10:30p ET,Memphis Grizzlies,1,0,116,102,13,25,W 1,
40,6,10:30p ET,Miami Heat,1,0,127,100,14,26,W 1,
41,8,9:30p ET,Orlando Magic,1,0,111,95,15,26,W 2,
42,10,10:30p ET,Portland Trail Blazers,0,0,87,108,15,27,L 1,
45,15,9:30p ET,Detroit Pistons,0,0,97,102,15,30,L 4,
46,17,10:30p ET,Denver Nuggets,0,0,121,127,15,31,L 5,
47,20,10:30p ET,Indiana Pacers,1,0,108,95,16,31,W 1,
51,31,10:30p ET,Denver Nuggets,1,0,120,116,17,34,W 1,
57,45,10:30p ET,Sacramento Kings,0,0,96,97,19,38,L 1,
60,57,3:30p ET,San Antonio Spurs,0,0,98,119,19,41,L 4,
61,59,10:30p ET,Charlotte Hornets,0,0,104,109,19,42,L 5,
62,62,10:30p ET,Boston Celtics,0,0,95,115,19,43,L 6,
63,64,9:30p ET,New Orleans Pelicans,0,0,97,105,19,44,L 7,
66,71,9:30p ET,Philadelphia 76ers,0,0,116,118,20,46,L 1,
69,76,10:30p ET,Milwaukee Bucks,0,0,103,107,20,49,L 4,
70,78,9:30p ET,Cleveland Cavaliers,0,0,120,125,20,50,L 5,
71,80,10:30p ET,Los Angeles Clippers,0,0,109,133,20,51,L 6,
72,83,10:30p ET,Minnesota Timberwolves,1,1,130,119,21,51,W 1,
73,85,9:30p ET,Portland Trail Blazers,0,0,81,97,21,52,L 1,
74,87,10:30p ET,Washington Wizards,0,0,108,119,21,53,L 2,
77,92,3:30p ET,Memphis Grizzlies,1,0,108,103,22,55,W 1,
79,97,10:30p ET,Sacramento Kings,1,0,98,94,24,55,W 3,
80,99,9:30p ET,Minnesota Timberwolves,1,0,110,109,25,55,W 4,
81,101,10:30p ET,New Orleans Pelicans,1,0,108,96,26,55,W 5,
