G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
2,303,9:00p ET,Portland Trail Blazers,0,1,113,115,1,1,L 1,
8,315,9:00p ET,Golden State Warriors,0,0,101,125,3,5,L 2,
9,317,9:00p ET,Detroit Pistons,0,0,95,106,3,6,L 3,
11,321,9:00p ET,Phoenix Suns,1,0,120,104,4,7,W 1,
12,323,9:00p ET,Toronto Raptors,0,1,111,113,4,8,L 1,
13,325,9:00p ET,Utah Jazz,1,0,105,91,5,8,W 1,
14,327,9:00p ET,Chicago Bulls,1,0,110,107,6,8,W 2,
16,330,9:00p ET,Oklahoma City Thunder,0,1,129,132,6,10,L 2,
18,335,9:00p ET,Miami Heat,0,0,98,106,7,11,L 1,
19,337,10:30p ET,Houston Rockets,0,0,110,128,7,12,L 2,
26,350,9:00p ET,Portland Trail Blazers,1,0,132,120,10,16,W 1,
27,352,9:00p ET,New York Knicks,1,0,127,114,11,16,W 2,
28,354,9:00p ET,Dallas Mavericks,1,0,117,107,12,16,W 3,
30,358,9:00p ET,Atlanta Hawks,0,0,108,109,12,18,L 2,
32,363,9:00p ET,Minnesota Timberwolves,1,0,105,103,14,18,W 2,
33,365,9:00p ET,Philadelphia 76ers,0,0,122,124,14,19,L 1,
35,3,9:00p ET,Sacramento Kings,0,0,113,120,14,21,L 3,
36,5,9:00p ET,San Antonio Spurs,0,0,99,127,14,22,L 4,
38,12,3:00p ET,Indiana Pacers,1,0,140,112,15,23,W 1,at London England
39,16,5:00p ET,Orlando Magic,1,0,125,112,16,23,W 2,
42,21,9:00p ET,Los Angeles Clippers,1,0,123,98,18,24,W 1,
44,24,9:00p ET,Utah Jazz,1,0,103,93,19,25,W 1,
45,26,9:00p ET,Phoenix Suns,1,0,127,120,20,25,W 2,
48,32,9:00p ET,Memphis Grizzlies,0,0,99,119,21,27,L 2,
49,34,9:00p ET,Milwaukee Bucks,1,0,121,117,22,27,W 1,
51,37,9:00p ET,Dallas Mavericks,1,0,110,87,23,28,W 1,
55,44,9:00p ET,Golden State Warriors,1,0,132,110,25,30,W 1,
56,46,9:00p ET,Minnesota Timberwolves,0,0,99,112,25,31,L 1,
58,55,9:00p ET,Brooklyn Nets,1,0,129,109,26,32,W 1,
59,57,5:00p ET,Memphis Grizzlies,0,0,98,105,26,33,L 1,
62,63,9:00p ET,Charlotte Hornets,0,0,102,112,28,34,L 1,
63,65,9:00p ET,Sacramento Kings,1,0,108,96,29,34,W 1,
64,67,9:00p ET,Washington Wizards,0,0,113,123,29,35,L 1,
65,69,9:00p ET,Boston Celtics,1,0,119,99,30,35,W 1,
67,72,10:30p ET,Los Angeles Lakers,1,0,129,101,32,35,W 3,
68,75,9:00p ET,Los Angeles Clippers,1,0,129,114,33,35,W 4,
69,77,9:30p ET,Houston Rockets,0,0,105,109,33,36,L 1,
71,81,9:00p ET,Cleveland Cavaliers,1,0,126,113,34,37,W 1,
73,85,8:00p ET,New Orleans Pelicans,0,0,90,115,35,38,L 1,
79,97,9:00p ET,New Orleans Pelicans,1,0,122,106,38,41,W 1,
80,99,5:00p ET,Oklahoma City Thunder,0,0,105,106,38,42,L 1,
