G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
2,302,8:30p ET,Houston Rockets,0,0,98,106,0,2,L 2,
5,309,8:30p ET,Portland Trail Blazers,0,0,95,105,0,5,L 5,
6,311,7:00p ET,Milwaukee Bucks,1,1,86,75,1,5,W 1,
11,323,8:30p ET,Memphis Grizzlies,0,0,64,80,2,9,L 4,
14,328,8:30p ET,Los Angeles Clippers,0,0,104,124,2,12,L 7,
16,332,7:00p ET,New Orleans Pelicans,1,0,91,81,3,13,W 1,
17,335,8:30p ET,San Antonio Spurs,0,0,87,94,3,14,L 1,
19,338,8:30p ET,Chicago Bulls,1,0,107,82,4,15,W 1,
20,340,8:30p ET,Charlotte Hornets,0,0,101,109,4,16,L 1,
21,342,8:30p ET,Sacramento Kings,0,0,89,120,4,17,L 2,
22,344,8:30p ET,Indiana Pacers,1,0,111,103,5,17,W 1,
24,347,8:30p ET,Denver Nuggets,1,0,112,92,6,18,W 1,
25,349,8:30p ET,Detroit Pistons,0,0,85,95,6,19,L 1,
27,353,4:00p ET,Sacramento Kings,1,0,99,79,7,20,W 1,
32,362,8:30p ET,Houston Rockets,0,0,107,123,9,23,L 2,
35,3,8:30p ET,Washington Wizards,1,0,113,105,11,24,W 1,
36,5,8:30p ET,Phoenix Suns,0,0,95,102,11,25,L 1,
37,7,8:30p ET,Atlanta Hawks,0,0,82,97,11,26,L 2,
40,15,2:00p ET,Minnesota Timberwolves,1,0,98,87,13,27,W 2,
43,20,8:30p ET,Utah Jazz,0,1,107,112,14,29,L 2,
44,22,3:30p ET,Los Angeles Lakers,1,0,122,73,15,29,W 1,
45,25,8:30p ET,New York Knicks,1,0,103,95,16,29,W 2,
48,30,8:30p ET,Cleveland Cavaliers,1,0,104,97,18,30,W 2,
49,32,8:30p ET,Philadelphia 76ers,1,0,113,95,19,30,W 3,
52,38,8:30p ET,Portland Trail Blazers,0,0,113,114,20,32,L 2,
53,40,8:30p ET,Utah Jazz,1,1,112,105,21,32,W 1,
54,42,9:00p ET,Orlando Magic,1,0,112,80,22,32,W 2,
55,44,8:30p ET,Boston Celtics,0,0,98,111,22,33,L 1,
58,56,8:30p ET,New Orleans Pelicans,1,0,96,83,23,35,W 1,
59,58,8:30p ET,Miami Heat,1,0,96,89,24,35,W 2,
61,62,8:30p ET,Memphis Grizzlies,1,0,104,100,25,36,W 1,
62,64,8:30p ET,Oklahoma City Thunder,1,0,104,89,26,36,W 2,
63,66,8:30p ET,Los Angeles Lakers,1,0,122,111,27,36,W 3,
64,69,9:00p ET,Brooklyn Nets,1,0,105,96,28,36,W 4,
65,70,9:00p ET,Phoenix Suns,0,0,98,100,28,37,L 1,
70,80,8:30p ET,Golden State Warriors,0,0,87,112,30,40,L 1,
71,82,8:30p ET,Los Angeles Clippers,1,0,97,95,31,40,W 1,
72,84,8:30p ET,Toronto Raptors,0,0,86,94,31,41,L 1,
73,86,8:30p ET,Oklahoma City Thunder,0,0,91,92,31,42,L 2,
79,97,8:30p ET,San Antonio Spurs,0,0,89,102,32,47,L 3,
81,101,8:30p ET,Denver Nuggets,0,0,91,109,32,49,L 5,
