G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,SHG_Opp,Notes
2,282,7:00 PM,New Jersey Devils,0,0,4,6,0,2,0,L 2,39,6,2,0,26,10,0,0,
3,284,7:00 PM,Montreal Canadiens,1,2,3,4,0,2,1,L 3,32,6,1,0,38,12,0,0,
4,287,7:00 PM,Anaheim Ducks,1,2,3,4,0,2,2,L 4,42,4,2,0,28,8,0,0,
8,298,7:00 PM,Detroit Red Wings,2,0,4,2,3,3,2,W 2,17,8,1,0,37,12,0,0,
9,301,7:00 PM,Los Angeles Kings,2,1,3,2,4,3,2,W 3,43,4,0,0,40,14,0,1,
12,308,7:00 PM,Edmonton Oilers,2,0,4,1,5,5,2,W 1,25,13,0,0,36,5,0,0,
13,310,7:00 PM,Florida Panthers,2,0,4,1,6,5,2,W 2,30,12,0,0,35,8,1,0,
14,312,7:00 PM,Colorado Avalanche,2,0,4,3,7,5,2,W 3,27,13,3,0,39,16,0,0,
15,318,7:00 PM,Columbus Blue Jackets,0,0,3,4,7,6,2,L 1,27,8,2,0,38,6,3,0,
18,324,7:00 PM,Minnesota Wild,0,0,2,3,7,9,2,L 4,39,14,1,0,29,10,1,0,
19,326,7:00 PM,Columbus Blue Jackets,2,0,4,2,8,9,2,W 1,37,13,1,0,22,15,1,0,
22,332,1:00 PM,New York Rangers,0,0,0,3,8,11,3,L 3,26,10,0,0,24,12,1,1,
28,345,7:00 PM,New Jersey Devils,2,0,4,1,10,13,5,W 1,36,4,1,1,18,8,1,0,
29,347,1:00 PM,Carolina Hurricanes,2,0,5,1,11,13,5,W 2,23,8,1,0,26,4,1,0,
30,350,7:00 PM,Tampa Bay Lightning,0,0,1,3,11,14,5,L 1,24,8,1,0,23,6,0,0,
31,352,7:00 PM,Florida Panthers,1,2,1,2,11,14,6,L 2,26,6,0,0,32,4,0,0,
40,6,7:00 PM,Ottawa Senators,2,2,2,1,15,18,7,W 1,34,11,1,0,42,13,0,0,
41,8,7:00 PM,Washington Capitals,2,1,3,2,16,18,7,W 2,33,4,1,0,28,6,1,0,
42,10,1:00 PM,Boston Bruins,0,0,1,3,16,19,7,L 1,25,13,1,0,18,25,1,1,
43,12,7:00 PM,Tampa Bay Lightning,2,0,7,3,17,19,7,W 1,25,11,3,0,24,13,2,0,
45,15,7:00 PM,Vancouver Canucks,0,0,0,4,17,21,7,L 2,30,23,0,0,22,11,2,0,
48,20,7:30 PM,Pittsburgh Penguins,2,1,3,2,19,22,7,W 1,40,59,1,0,35,32,0,1,
49,27,7:00 PM,Arizona Coyotes,2,2,4,3,20,22,7,W 2,42,2,1,0,27,4,0,0,
50,29,7:00 PM,Winnipeg Jets,2,0,5,2,21,22,7,W 3,32,14,1,0,38,8,1,0,
51,31,7:00 PM,Toronto Maple Leafs,2,0,1,0,22,22,7,W 4,18,2,0,0,30,4,0,0,
52,36,7:00 PM,New York Islanders,1,2,2,3,22,22,8,L 1,18,7,0,0,30,7,0,0,
57,48,7:00 PM,Columbus Blue Jackets,0,0,2,5,24,23,10,L 1,44,2,0,0,25,4,1,0,
58,50,8:00 PM,Buffalo Sabres,1,2,2,3,24,23,11,L 2,38,8,1,0,32,10,0,0,
59,52,1:00 PM,Nashville Predators,2,2,3,2,25,23,11,W 1,33,14,0,0,22,4,0,0,
60,53,12:30 PM,Washington Capitals,2,0,3,2,26,23,11,W 2,28,15,2,0,23,13,0,0,
63,59,8:00 PM,New York Rangers,2,0,4,2,27,25,11,W 1,34,6,0,1,36,6,0,0,
64,62,7:00 PM,Calgary Flames,1,1,2,3,27,25,12,L 1,37,4,0,0,26,4,0,0,
65,64,7:00 PM,St. Louis Blues,2,0,3,1,28,25,12,W 1,31,2,0,0,29,4,0,0,
68,69,7:00 PM,Dallas Stars,0,0,1,2,28,27,13,L 3,26,6,0,0,39,6,0,0,
70,73,1:00 PM,Detroit Red Wings,2,0,7,2,29,27,14,W 1,36,16,3,0,33,8,1,0,
75,84,8:00 PM,Chicago Blackhawks,2,0,4,1,30,29,16,W 1,33,9,1,0,35,7,1,0,
76,87,1:00 PM,San Jose Sharks,1,2,2,3,30,29,17,L 1,18,18,1,0,44,16,1,0,
79,95,12:30 PM,Pittsburgh Penguins,2,0,4,1,32,29,18,W 1,20,16,3,0,47,10,1,0,
80,97,7:00 PM,New York Islanders,2,0,5,4,33,29,18,W 2,27,15,1,0,40,11,1,0,
81,99,7:00 PM,Carolina Hurricanes,0,0,1,3,33,30,18,L 1,28,35,0,0,27,19,1,0,
82,101,12:30 PM,Ottawa Senators,0,0,1,3,33,31,18,L 2,35,8,0,0,22,4,1,0,
