GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
4,294,7:00 PM,New Jersey Devils,2,0,2,1,3,1,0,W 2,36,6,0,4,0,29,8,1,3,0,17565,2:37,
5,296,7:00 PM,Montreal Canadiens,0,0,2,4,3,2,0,L 1,21,14,1,6,0,29,16,0,5,1,17565,2:36,
6,299,7:00 PM,Minnesota Wild,0,0,0,5,3,3,0,L 2,27,15,0,3,0,33,13,1,4,0,17565,2:32,
11,310,7:00 PM,New York Rangers,0,0,2,5,6,5,0,L 1,37,6,0,3,0,24,6,1,3,2,17565,2:24,
12,312,7:00 PM,Buffalo Sabres,2,0,4,0,7,5,0,W 1,42,11,3,8,0,32,21,0,3,0,17565,2:34,
14,315,7:00 PM,Columbus Blue Jackets,2,0,5,2,8,6,0,W 1,32,4,0,2,0,17,4,0,3,0,17565,2:26,
18,324,7:00 PM,Winnipeg Jets,2,0,4,1,11,7,0,W 1,38,10,1,4,0,12,10,0,4,0,17565,2:21,
19,327,7:00 PM,St. Louis Blues,0,0,2,4,11,8,0,L 1,41,4,1,3,1,28,6,0,2,0,17565,2:32,
21,330,7:30 PM,Calgary Flames,0,0,1,2,11,10,0,L 3,36,13,0,4,0,29,19,0,1,0,17565,2:42,
22,332,1:00 PM,Tampa Bay Lightning,2,0,4,1,12,10,0,W 1,30,11,1,1,0,31,9,0,2,0,17565,2:29,
24,336,7:00 PM,Carolina Hurricanes,2,2,2,1,13,10,1,W 1,35,4,0,4,0,30,8,1,2,0,17565,2:48,
26,340,7:00 PM,Florida Panthers,2,1,4,3,15,10,1,W 3,36,6,0,3,0,30,6,0,3,0,17565,2:29,
28,343,7:00 PM,Colorado Avalanche,0,0,2,4,15,11,2,L 2,31,6,0,2,0,22,6,0,2,1,17565,2:21,
29,345,7:00 PM,Toronto Maple Leafs,0,0,1,4,15,12,2,L 3,33,4,0,1,0,20,2,0,2,0,17565,2:25,
32,350,7:00 PM,Anaheim Ducks,0,0,3,4,16,13,3,L 2,34,4,1,4,0,27,8,0,3,0,17565,2:36,
33,353,1:00 PM,Los Angeles Kings,2,0,1,0,17,13,3,W 1,30,13,0,4,0,18,13,0,4,0,17565,2:32,
34,355,7:00 PM,New York Islanders,0,0,2,4,17,14,3,L 1,50,10,0,3,0,29,10,1,3,0,17565,2:27,
39,366,1:00 PM,Buffalo Sabres,2,0,3,1,20,15,4,W 2,28,10,1,3,0,27,18,0,4,0,17565,2:28,
41,5,7:00 PM,Edmonton Oilers,0,0,3,4,20,17,4,L 2,36,7,1,3,0,25,11,0,1,0,17565,2:40,
46,14,1:00 PM,Philadelphia Flyers,2,0,6,3,23,18,5,W 1,39,10,2,6,1,24,15,2,4,0,17565,2:33,
47,16,1:00 PM,New York Islanders,0,0,0,4,23,19,5,L 1,32,8,0,2,0,27,4,0,4,1,17565,2:18,
49,20,7:00 PM,Chicago Blackhawks,0,0,0,1,23,20,6,L 3,30,6,0,2,0,22,4,0,3,0,17565,2:20,
51,24,7:00 PM,Detroit Red Wings,2,1,4,3,24,21,6,W 1,49,4,1,2,0,26,6,0,1,0,17565,2:45,
52,26,7:00 PM,Pittsburgh Penguins,2,0,4,3,25,21,6,W 2,37,21,1,5,1,22,31,1,5,0,17565,2:44,
55,35,7:00 PM,Toronto Maple Leafs,0,0,5,6,26,23,6,L 2,41,11,2,5,0,26,17,1,2,0,17565,2:53,
56,40,7:00 PM,San Jose Sharks,2,0,6,3,27,23,6,W 1,33,4,2,3,0,26,4,0,2,0,17565,2:31,
57,42,1:00 PM,Vancouver Canucks,2,0,4,3,28,23,6,W 2,30,6,1,2,0,32,4,1,3,0,17565,2:29,
58,43,7:30 PM,Montreal Canadiens,2,0,4,0,29,23,6,W 3,36,20,1,7,1,25,24,0,6,0,17565,2:36,
63,59,7:00 PM,Arizona Coyotes,2,0,4,1,33,24,6,W 3,25,23,0,2,1,23,8,1,4,0,17565,2:25,
64,61,7:00 PM,New York Rangers,0,0,1,2,33,25,6,L 1,33,8,0,2,0,21,4,0,4,0,17565,2:30,
65,63,7:00 PM,New Jersey Devils,2,0,3,2,34,25,6,W 1,40,2,1,5,0,17,10,0,1,0,17565,2:41,
67,67,8:00 PM,Detroit Red Wings,2,0,6,1,35,26,6,W 1,29,8,0,2,0,27,8,0,3,0,17565,2:29,
68,70,1:00 PM,Philadelphia Flyers,2,0,2,1,36,26,6,W 2,27,9,1,3,0,27,11,0,2,0,17565,2:39,
73,80,7:00 PM,Ottawa Senators,0,0,2,3,38,29,6,L 3,36,12,2,5,0,22,10,1,5,0,17565,2:37,
74,82,7:00 PM,Tampa Bay Lightning,0,0,3,6,38,30,6,L 4,31,12,1,4,1,29,12,2,5,0,17565,2:48,
76,87,7:00 PM,Nashville Predators,2,0,4,1,40,30,6,W 2,31,21,0,3,0,25,45,0,3,0,17565,3:05,
77,89,7:30 PM,Dallas Stars,2,0,2,0,41,30,6,W 3,24,6,1,3,0,27,6,0,3,0,17565,2:29,
78,91,1:00 PM,Florida Panthers,2,0,5,2,42,30,6,W 4,29,8,1,4,0,26,8,1,4,0,17565,2:30,
80,94,7:00 PM,Tampa Bay Lightning,2,0,4,0,44,30,6,W 6,38,17,1,1,0,28,4,0,1,0,17565,2:25,
81,96,7:00 PM,Ottawa Senators,1,2,1,2,44,30,7,L 1,29,8,1,1,0,26,6,0,2,0,17565,2:38,
82,98,3:00 PM,Washington Capitals,0,0,1,3,44,31,7,L 2,22,10,0,2,0,32,8,0,4,0,17565,2:34,
