GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
2,289,7:00 PM,Boston Bruins,2,0,4,1,1,0,1,W 1,24,18,0,4,0,25,18,1,4,0,19466,2:23,
6,299,7:30 PM,Tampa Bay Lightning,0,0,3,7,1,2,3,L 4,43,6,1,4,0,24,8,2,4,0,19449,2:42,
7,301,7:30 PM,Florida Panthers,2,0,3,2,2,2,3,W 1,28,6,0,2,0,31,6,1,3,0,18979,2:26,
10,306,7:30 PM,Edmonton Oilers,2,1,3,2,3,4,3,W 1,31,6,0,1,0,46,4,0,2,0,19687,2:34,
12,310,7:00 PM,Vancouver Canucks,2,0,6,3,5,4,3,W 3,42,75,1,5,0,29,96,0,4,0,19480,2:48,
13,313,7:30 PM,Los Angeles Kings,0,0,0,7,5,5,3,L 1,19,8,0,1,0,43,2,0,4,0,18976,2:27,
14,316,7:00 PM,Philadelphia Flyers,2,0,6,3,6,5,3,W 1,23,4,2,5,1,33,10,1,2,1,19189,2:25,
16,320,7:30 PM,Nashville Predators,2,0,6,2,7,6,3,W 1,32,7,0,1,0,34,17,0,1,0,19342,2:30,
17,322,7:30 PM,Florida Panthers,2,0,6,1,8,6,3,W 2,30,8,0,4,0,27,8,0,4,0,18931,2:33,
19,327,7:00 PM,Carolina Hurricanes,0,0,1,2,8,8,3,L 2,26,2,0,3,0,29,6,1,1,1,18893,2:20,
21,331,7:00 PM,Washington Capitals,2,0,4,2,9,8,4,W 1,37,13,1,5,0,35,15,0,4,0,19051,2:38,
25,342,7:30 PM,Minnesota Wild,0,0,2,3,10,10,5,L 3,37,7,0,2,0,20,9,0,1,0,18944,2:35,
27,346,7:00 PM,Colorado Avalanche,0,0,1,3,11,11,5,L 1,52,13,1,6,0,29,17,2,4,1,18875,2:33,
28,348,7:30 PM,San Jose Sharks,1,2,2,3,11,11,6,L 2,31,14,1,3,0,42,6,1,6,0,19380,2:48,
29,350,7:30 PM,Arizona Coyotes,1,2,2,3,11,11,7,L 3,46,8,1,4,0,30,8,1,4,0,18903,2:43,
30,352,7:00 PM,Pittsburgh Penguins,2,1,2,1,12,11,7,W 1,49,8,0,4,0,34,8,1,4,0,19553,2:35,
31,354,7:30 PM,Anaheim Ducks,0,0,2,3,12,12,7,L 1,35,8,0,3,0,28,6,2,5,0,18861,2:44,
36,1,3:00 PM,Detroit Red Wings,2,1,5,4,17,12,7,W 5,28,9,0,2,0,37,9,0,3,0,40148,2:57,
39,7,7:00 PM,Montreal Canadiens,0,0,3,5,18,13,8,L 1,36,40,2,4,0,31,36,2,6,0,19796,2:39,
42,17,7:30 PM,Buffalo Sabres,2,0,4,3,21,13,8,W 3,32,2,1,1,0,27,2,0,1,0,19122,2:29,
43,19,7:30 PM,New York Rangers,0,0,2,5,21,14,8,L 1,25,10,0,2,1,41,6,0,4,1,19088,2:31,
44,21,7:00 PM,Ottawa Senators,1,2,2,3,21,14,9,L 2,33,8,1,4,0,27,8,1,4,0,19544,2:55,
45,23,7:30 PM,Calgary Flames,2,0,4,0,22,14,9,W 1,28,16,1,4,1,26,16,0,5,0,19043,2:32,
52,38,7:30 PM,Dallas Stars,2,0,3,1,25,17,10,W 1,34,8,1,5,0,40,10,1,4,0,19233,2:35,
53,40,7:30 PM,St. Louis Blues,1,1,1,2,25,17,11,L 1,32,2,0,1,0,40,2,0,1,0,18920,2:32,
54,42,7:00 PM,Buffalo Sabres,0,0,1,3,25,18,11,L 2,44,9,1,3,0,23,11,1,1,0,19427,2:32,
55,45,7:30 PM,New York Islanders,2,0,7,1,26,18,11,W 1,41,13,1,3,0,34,11,0,4,0,18956,2:30,
57,49,7:00 PM,Ottawa Senators,0,0,3,6,26,20,11,L 2,37,10,1,4,0,42,10,1,4,0,19527,2:37,
59,52,7:30 PM,Winnipeg Jets,2,1,5,4,28,20,11,W 2,37,17,2,5,0,20,17,1,4,0,19583,2:55,
60,54,7:30 PM,New York Rangers,1,2,1,2,28,20,12,L 1,33,4,0,3,0,38,6,0,2,0,19175,2:41,
61,56,7:00 PM,Montreal Canadiens,1,1,2,3,28,20,13,L 2,34,8,0,2,0,28,4,1,4,0,19843,2:31,
65,66,7:30 PM,Detroit Red Wings,2,0,3,2,29,22,14,W 1,28,4,1,4,0,24,8,0,2,0,19060,2:35,
66,68,7:30 PM,Philadelphia Flyers,2,0,4,2,30,22,14,W 2,33,6,2,2,0,38,4,1,3,0,18894,2:36,
70,77,7:00 PM,Chicago Blackhawks,1,1,1,2,32,23,15,L 1,26,0,0,1,0,39,2,0,0,0,19505,2:36,
71,79,7:30 PM,Boston Bruins,2,0,4,2,33,23,15,W 1,30,6,1,3,0,34,10,0,1,0,19347,2:38,
73,82,7:30 PM,New Jersey Devils,2,0,4,2,35,23,15,W 3,30,17,1,2,0,32,13,1,4,0,19142,2:40,
75,87,7:30 PM,Florida Panthers,2,0,3,2,36,24,15,W 1,25,18,0,4,1,27,18,1,4,0,19278,2:33,
79,94,7:30 PM,Washington Capitals,0,0,1,4,39,25,15,L 1,28,8,1,4,0,38,10,1,3,0,19415,2:26,
80,96,7:30 PM,Tampa Bay Lightning,0,0,1,4,39,26,15,L 2,27,21,0,3,0,30,13,1,2,0,19380,2:47,
81,98,7:00 PM,Pittsburgh Penguins,2,0,5,3,40,26,15,W 1,30,4,1,3,0,18,6,1,2,0,19561,2:32,
82,99,6:00 PM,Columbus Blue Jackets,0,0,2,3,40,27,15,L 1,32,4,0,4,0,32,8,0,2,1,19369,2:33,
