G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,SHG_Opp,Notes
10,301,7:30 PM,Montreal Canadiens,0,0,0,2,3,7,0,L 1,27,14,0,0,27,12,1,0,
12,304,7:00 PM,Buffalo Sabres,2,0,2,0,5,7,0,W 2,46,7,1,0,29,11,0,0,
13,306,7:00 PM,Carolina Hurricanes,2,0,5,1,6,7,0,W 3,38,10,1,0,28,12,1,0,
14,308,7:30 PM,Anaheim Ducks,0,0,1,2,6,8,0,L 1,33,2,0,0,25,6,0,0,
15,310,7:30 PM,Pittsburgh Penguins,2,0,5,1,7,8,0,W 1,25,21,0,0,29,19,1,0,
17,314,7:00 PM,Florida Panthers,2,0,4,3,9,8,0,W 3,29,8,1,0,27,8,1,0,
18,316,7:00 PM,New Jersey Devils,0,0,2,3,9,9,0,L 1,35,8,0,0,28,12,0,0,
20,321,7:00 PM,Los Angeles Kings,0,0,0,1,10,10,0,L 1,37,2,0,0,30,8,0,0,
21,323,7:30 PM,Boston Bruins,0,0,1,2,10,11,0,L 2,44,11,1,0,22,11,0,1,
27,334,2:00 PM,Vancouver Canucks,2,0,5,2,14,13,0,W 1,24,16,2,0,37,16,1,0,
28,336,7:00 PM,Winnipeg Jets,0,0,2,5,14,14,0,L 1,37,9,0,0,30,9,0,0,
30,341,7:30 PM,New Jersey Devils,1,1,3,4,15,14,1,L 1,24,6,1,0,24,8,1,0,
31,342,7:00 PM,Washington Capitals,0,0,1,4,15,15,1,L 2,31,6,0,0,36,6,0,0,
32,344,7:30 PM,Nashville Predators,0,0,1,4,15,16,1,L 3,29,4,0,0,26,4,0,0,
33,346,7:00 PM,Columbus Blue Jackets,0,0,2,4,15,17,1,L 4,34,8,0,0,27,12,0,0,
34,349,7:00 PM,Calgary Flames,2,2,4,3,16,17,1,W 1,32,17,0,0,21,15,1,0,
35,352,8:00 PM,Pittsburgh Penguins,1,2,3,4,16,17,2,L 1,32,8,1,0,32,12,1,0,
36,354,7:00 PM,New York Islanders,0,0,3,5,16,18,2,L 2,24,10,2,0,20,16,1,2,
37,356,7:30 PM,Minnesota Wild,2,0,4,1,17,18,2,W 1,36,6,1,0,25,6,0,0,
38,357,7:00 PM,Toronto Maple Leafs,2,2,2,1,18,18,2,W 2,43,8,0,0,26,6,0,0,
44,6,7:00 PM,Columbus Blue Jackets,1,2,3,4,21,20,3,L 1,43,19,2,0,39,14,0,0,
46,10,7:00 PM,Dallas Stars,2,0,3,2,23,20,3,W 2,34,4,1,0,26,4,0,0,
47,12,7:00 PM,Philadelphia Flyers,2,0,4,1,24,20,3,W 3,35,36,1,0,38,42,1,0,
48,14,7:00 PM,Tampa Bay Lightning,0,0,1,2,24,21,3,L 1,34,4,0,0,25,4,1,0,
49,16,7:00 PM,Detroit Red Wings,2,0,1,0,25,21,3,W 1,48,4,0,0,38,4,0,0,
51,19,7:30 PM,Washington Capitals,2,0,4,1,27,21,3,W 3,26,10,1,1,25,12,1,0,
52,21,7:00 PM,New York Islanders,0,0,3,5,27,22,3,L 1,33,8,1,0,37,10,1,0,
53,23,7:00 PM,St. Louis Blues,0,0,1,2,27,23,3,L 2,35,6,0,0,25,8,1,0,
56,31,7:00 PM,New York Islanders,2,0,4,1,30,23,3,W 3,37,12,0,0,39,10,0,0,
57,35,7:00 PM,Colorado Avalanche,2,0,5,1,31,23,3,W 4,43,6,0,0,28,6,1,0,
58,37,7:00 PM,Edmonton Oilers,0,0,1,2,31,24,3,L 1,36,2,0,0,31,0,0,0,
60,58,7:00 PM,Chicago Blackhawks,2,0,2,1,33,24,3,W 2,24,6,0,0,32,2,0,0,
62,61,7:00 PM,Boston Bruins,0,0,3,6,33,26,3,L 2,42,4,1,0,33,12,0,1,
63,64,7:00 PM,Toronto Maple Leafs,1,1,2,3,33,26,4,L 3,37,6,0,2,29,4,0,0,
65,68,12:30 PM,Detroit Red Wings,2,0,3,0,35,26,4,W 2,31,6,0,0,30,6,0,0,
69,75,4:00 PM,San Jose Sharks,0,0,0,1,36,29,4,L 1,41,2,0,0,29,6,0,1,
73,83,7:00 PM,Phoenix Coyotes,2,1,4,3,40,29,4,W 4,36,10,0,0,21,4,1,0,
74,85,8:00 PM,Philadelphia Flyers,2,0,3,1,41,29,4,W 5,29,10,0,0,31,10,0,0,
79,95,7:00 PM,Ottawa Senators,0,0,2,3,43,31,5,L 2,43,16,0,0,34,8,0,0,
80,98,7:00 PM,Carolina Hurricanes,2,0,4,1,44,31,5,W 1,36,0,2,0,28,6,0,0,
81,100,7:00 PM,Buffalo Sabres,2,0,2,1,45,31,5,W 2,30,6,0,0,24,10,0,0,
