G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,303,7:30p ET,Milwaukee Bucks,1,0,90,83,1,0,W 1,
3,307,7:30p ET,Minnesota Timberwolves,0,0,100,109,1,2,L 2,
4,309,7:30p ET,Charlotte Bobcats,0,0,97,102,1,3,L 3,
6,314,12:00p ET,San Antonio Spurs,0,0,89,120,2,4,L 1,
8,318,8:00p ET,Houston Rockets,0,0,106,109,3,5,L 1,
9,320,7:30p ET,Atlanta Hawks,0,0,90,110,3,6,L 2,
11,324,7:00p ET,Indiana Pacers,0,1,96,103,3,8,L 4,
16,335,7:30p ET,New Orleans Pelicans,0,0,99,103,3,13,L 9,
18,340,7:30p ET,Orlando Magic,1,0,121,83,5,13,W 2,
19,342,12:00p ET,Boston Celtics,0,0,73,114,5,14,L 1,
21,345,8:00p ET,Chicago Bulls,1,0,83,78,6,15,W 1,
23,348,7:30p ET,Atlanta Hawks,1,0,111,106,7,16,W 1,
24,350,7:30p ET,Washington Wizards,0,0,101,102,7,17,L 1,
26,355,12:00p ET,Memphis Grizzlies,0,0,87,95,8,18,L 1,
28,359,2:30p ET,Oklahoma City Thunder,0,0,94,123,9,19,L 1,
29,361,7:30p ET,Toronto Raptors,0,0,83,95,9,20,L 2,
34,7,7:30p ET,Detroit Pistons,1,0,89,85,12,22,W 2,
35,9,8:00p ET,Miami Heat,1,0,102,92,13,22,W 3,
37,13,7:30p ET,Phoenix Suns,1,1,98,96,15,22,W 5,
40,17,7:00p ET,Los Angeles Clippers,0,0,95,109,15,25,L 3,
41,20,2:30p ET,Brooklyn Nets,0,0,80,103,15,26,L 4,
42,22,7:30p ET,Philadelphia 76ers,0,0,106,110,15,27,L 5,
43,24,7:30p ET,Charlotte Bobcats,1,0,125,96,16,27,W 1,
44,26,3:30p ET,Los Angeles Lakers,1,0,110,103,17,27,W 2,
45,28,7:30p ET,Boston Celtics,1,0,114,88,18,27,W 3,
46,30,8:00p ET,Cleveland Cavaliers,1,0,117,86,19,27,W 4,
47,32,8:30p ET,Miami Heat,0,0,91,106,19,28,L 1,
49,36,8:00p ET,Portland Trail Blazers,0,0,90,94,19,30,L 3,
50,38,7:30p ET,Denver Nuggets,1,0,117,90,20,30,W 1,
52,43,7:30p ET,Sacramento Kings,0,1,101,106,20,32,L 2,
57,55,7:30p ET,Dallas Mavericks,0,0,108,110,21,36,L 3,
59,59,8:00p ET,Golden State Warriors,0,0,103,126,21,38,L 5,
63,66,7:30p ET,Utah Jazz,1,0,108,81,23,40,W 2,
65,69,7:30p ET,Philadelphia 76ers,1,0,123,110,25,40,W 4,
67,74,12:00p ET,Milwaukee Bucks,1,0,115,94,27,40,W 6,
68,78,8:00p ET,Indiana Pacers,1,0,92,86,28,40,W 7,
70,82,7:30p ET,Cleveland Cavaliers,0,0,100,106,29,41,L 1,
76,92,7:00p ET,Brooklyn Nets,1,0,110,81,33,43,W 3,
77,94,7:30p ET,Washington Wizards,0,0,89,90,33,44,L 1,
80,103,7:30p ET,Chicago Bulls,1,0,100,89,35,45,W 2,
82,106,8:00p ET,Toronto Raptors,1,0,95,92,37,45,W 4,
