GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
1,281,8:30 PM,Pittsburgh Penguins,2,0,3,0,1,0,0,W 1,24,6,2,5,0,37,10,0,3,0,18532,2:41,
3,286,8:30 PM,Edmonton Oilers,2,0,4,2,2,1,0,W 1,52,4,0,4,0,28,10,0,1,0,16265,2:30,
8,297,8:00 PM,Florida Panthers,0,0,2,6,6,2,0,L 1,35,11,1,4,0,30,15,0,2,0,18532,2:34,
9,300,8:30 PM,Anaheim Ducks,2,0,4,3,7,2,0,W 1,34,13,1,3,1,20,11,1,4,0,17798,2:32,
10,302,8:30 PM,Vancouver Canucks,2,1,4,3,8,2,0,W 2,29,6,0,3,0,32,8,1,2,0,17664,2:32,
11,304,3:00 PM,San Jose Sharks,2,0,5,3,9,2,0,W 3,25,8,1,5,1,29,8,2,4,1,18178,2:33,
16,314,8:30 PM,Toronto Maple Leafs,0,0,2,3,12,4,0,L 1,38,2,0,1,0,30,2,1,1,0,18266,2:31,
17,316,8:30 PM,Winnipeg Jets,2,0,6,3,13,4,0,W 1,34,6,2,4,0,38,8,0,4,0,18010,2:29,
18,318,8:00 PM,Minnesota Wild,2,1,3,2,14,4,0,W 2,36,12,1,4,0,24,10,0,4,0,18532,2:40,
21,325,8:00 PM,Buffalo Sabres,2,0,3,0,17,4,0,W 5,32,11,1,5,0,22,15,0,3,0,18532,2:25,
22,328,8:30 PM,Ottawa Senators,0,0,4,7,17,5,0,L 1,37,6,0,2,1,20,4,1,3,1,18532,2:31,
23,331,8:30 PM,Vancouver Canucks,2,2,3,2,18,5,0,W 1,25,14,2,5,0,36,8,1,7,0,18532,2:41,
28,342,8:30 PM,Carolina Hurricanes,2,0,6,5,21,5,2,W 1,20,4,2,3,0,30,4,2,3,0,18287,2:34,
29,345,8:30 PM,Philadelphia Flyers,2,0,3,1,22,5,2,W 2,44,4,0,6,0,20,12,1,2,0,18532,2:35,
31,349,8:30 PM,Columbus Blue Jackets,2,0,5,1,23,6,2,W 1,34,21,0,3,0,35,23,1,2,0,18232,2:31,
32,351,8:30 PM,Calgary Flames,0,0,1,3,23,7,2,L 1,36,11,0,3,1,27,11,0,3,0,18410,2:25,
33,353,7:00 PM,Montreal Canadiens,2,0,6,2,24,7,2,W 1,27,12,3,8,0,23,16,1,6,1,18532,2:35,
35,356,8:30 PM,Chicago Blackhawks,2,0,4,0,26,7,2,W 3,32,6,1,4,0,20,10,0,2,0,18532,2:26,
37,361,6:00 PM,St. Louis Blues,2,0,3,0,27,7,3,W 1,38,18,2,3,0,22,20,0,2,0,18532,2:38,
39,365,8:30 PM,Nashville Predators,2,0,5,1,28,8,3,W 1,32,2,0,1,0,34,2,0,1,0,18532,2:32,
43,7,8:30 PM,Winnipeg Jets,2,2,2,1,29,10,4,W 1,24,8,0,2,0,33,6,0,3,0,18532,2:42,
44,9,8:00 PM,Minnesota Wild,0,0,1,2,29,11,4,L 1,35,4,1,2,0,25,6,0,1,0,18532,2:34,
48,21,8:30 PM,Edmonton Oilers,2,0,3,2,30,13,5,W 1,35,6,0,2,0,25,4,1,3,0,18532,2:35,
49,23,8:00 PM,Colorado Avalanche,0,0,1,3,30,14,5,L 1,43,0,1,5,0,15,10,0,1,2,18532,2:32,
50,25,8:30 PM,Calgary Flames,2,0,2,1,31,14,5,W 1,30,12,0,2,0,24,6,0,5,0,18532,2:25,
53,37,8:00 PM,Chicago Blackhawks,0,0,1,5,33,15,5,L 1,37,12,0,6,0,26,12,1,5,2,18532,2:23,
56,44,8:00 PM,Washington Capitals,2,0,4,3,36,15,5,W 3,35,6,1,4,0,23,6,1,3,0,18532,2:24,
60,51,8:00 PM,Boston Bruins,0,0,3,7,37,17,6,L 3,29,17,0,1,0,42,7,3,6,0,18532,2:58,
62,56,8:30 PM,Winnipeg Jets,0,0,3,6,38,18,6,L 1,30,8,2,4,0,28,12,0,2,0,18532,2:31,
63,58,4:00 PM,New York Rangers,0,0,2,3,38,19,6,L 2,38,6,0,0,0,29,2,1,3,0,18532,2:37,
64,60,8:30 PM,Detroit Red Wings,1,1,2,3,38,19,7,L 3,41,8,0,4,0,33,8,1,4,0,18532,2:40,
66,64,8:30 PM,New Jersey Devils,2,0,4,2,39,20,7,W 1,25,11,0,3,1,20,11,0,3,0,18117,2:31,
69,71,8:30 PM,Chicago Blackhawks,2,0,5,2,41,20,8,W 1,31,10,2,6,0,23,12,0,5,0,18532,2:33,
70,72,9:00 PM,St. Louis Blues,1,1,4,5,41,20,9,L 1,38,10,1,3,0,36,8,0,4,0,18532,2:35,
71,75,8:30 PM,Los Angeles Kings,0,0,2,5,41,21,9,L 2,26,2,1,3,0,22,6,0,1,0,18532,2:27,
72,77,8:30 PM,Tampa Bay Lightning,2,0,4,3,42,21,9,W 1,33,7,0,1,0,20,7,1,1,0,18532,2:30,
73,79,8:00 PM,New York Islanders,2,0,3,0,43,21,9,W 2,36,4,0,3,0,27,8,0,1,0,18532,2:21,
77,89,8:30 PM,Nashville Predators,2,0,5,2,46,22,9,W 2,25,11,0,4,0,30,13,1,3,1,18265,2:36,
78,91,8:30 PM,Arizona Coyotes,2,0,4,1,47,22,9,W 3,33,16,1,3,0,32,16,0,2,0,18532,2:28,
81,98,8:30 PM,Colorado Avalanche,2,0,4,2,49,23,9,W 1,31,8,2,5,0,19,21,0,4,0,18532,2:27,
82,100,8:00 PM,Nashville Predators,2,0,3,2,50,23,9,W 2,24,8,1,4,0,30,8,1,4,0,18532,2:29,
