GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
2,289,7:00 PM,New York Islanders,2,0,2,1,1,0,1,W 1,28,4,0,5,0,22,10,1,2,0,18506,2:25,
3,292,7:00 PM,Colorado Avalanche,2,0,3,0,2,0,1,W 2,40,13,2,5,0,18,27,0,3,0,18506,2:29,
5,296,7:00 PM,New York Rangers,0,0,2,4,3,1,1,L 1,28,6,0,2,0,26,4,1,3,0,18506,2:20,
10,308,7:00 PM,Winnipeg Jets,2,1,4,3,7,2,1,W 4,32,6,1,5,0,27,10,0,2,1,18506,2:39,
11,310,7:00 PM,Florida Panthers,2,0,4,2,8,2,1,W 5,36,4,0,4,0,24,8,1,2,0,18506,2:32,
12,313,7:00 PM,San Jose Sharks,0,0,0,3,8,3,1,L 1,24,4,0,3,0,23,6,0,2,0,18506,2:21,
16,321,7:30 PM,Pittsburgh Penguins,2,0,7,1,10,4,2,W 1,39,12,2,7,1,26,28,0,4,0,18506,2:45,
17,323,7:00 PM,Detroit Red Wings,2,0,1,0,11,4,2,W 2,28,8,0,2,0,25,7,0,4,0,18506,2:27,
18,325,12:30 PM,Columbus Blue Jackets,0,0,2,3,11,5,2,L 1,21,10,1,1,0,23,6,2,3,0,18506,2:29,
19,328,7:00 PM,St. Louis Blues,2,0,4,3,12,5,2,W 1,25,10,1,4,0,21,8,1,5,0,18506,2:33,
20,330,5:00 PM,Buffalo Sabres,2,0,3,1,13,5,2,W 2,32,8,1,4,0,33,6,0,4,0,18506,2:34,
22,336,7:00 PM,New York Islanders,0,0,0,3,13,7,2,L 2,38,4,0,6,0,28,12,0,2,0,18506,2:27,
24,340,7:00 PM,Buffalo Sabres,2,1,3,2,14,7,3,W 1,33,6,1,3,0,33,6,0,3,0,18506,2:38,
25,342,8:00 PM,Boston Bruins,2,1,4,3,15,7,3,W 2,20,8,0,2,0,34,6,1,3,0,18506,2:39,
27,346,5:00 PM,Vancouver Canucks,2,0,3,0,17,7,3,W 4,29,10,1,4,0,20,8,0,5,0,18506,2:31,
30,352,7:00 PM,Montreal Canadiens,0,0,1,2,19,8,3,L 1,21,6,1,4,0,25,20,0,2,0,18506,2:29,
32,358,7:00 PM,Tampa Bay Lightning,2,0,4,0,20,8,4,W 1,27,6,0,2,0,23,4,0,3,0,18506,2:31,
34,364,7:00 PM,New Jersey Devils,1,2,1,2,20,9,5,L 2,44,8,0,4,1,27,8,0,4,0,18506,2:42,
36,1,7:30 PM,Ottawa Senators,2,0,2,1,22,9,5,W 2,28,8,0,2,0,24,4,0,4,0,18506,2:29,
37,3,7:00 PM,Toronto Maple Leafs,2,1,6,5,23,9,5,W 3,29,14,1,2,0,25,6,2,6,0,18506,2:39,
38,5,7:00 PM,Columbus Blue Jackets,2,0,5,0,24,9,5,W 4,27,12,0,4,0,29,10,0,5,0,18506,2:30,
41,11,8:00 PM,Pittsburgh Penguins,2,0,5,2,27,9,5,W 7,30,14,2,4,0,32,10,2,5,0,18506,2:43,
42,13,7:00 PM,Chicago Blackhawks,2,0,6,0,28,9,5,W 8,34,4,0,0,0,24,0,0,2,0,18506,2:23,
43,15,1:00 PM,Philadelphia Flyers,2,0,5,0,29,9,5,W 9,22,8,1,2,0,24,4,0,5,0,18506,2:15,
47,23,7:00 PM,Carolina Hurricanes,2,0,6,1,32,9,6,W 3,25,15,1,2,0,26,9,1,4,0,18506,2:29,
51,32,8:00 PM,Boston Bruins,2,0,5,3,34,11,6,W 1,22,6,1,3,0,33,6,2,3,0,18506,2:32,
53,36,12:00 PM,Los Angeles Kings,2,0,5,0,36,11,6,W 3,20,8,0,2,0,38,4,0,4,0,18506,2:19,
54,38,7:00 PM,Carolina Hurricanes,2,0,5,0,37,11,6,W 4,28,6,2,3,0,23,6,0,3,0,18506,2:24,
55,40,7:00 PM,Detroit Red Wings,2,0,6,3,38,11,6,W 5,31,6,1,1,0,17,4,1,2,0,18506,2:31,
