G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,303,10:30p ET,Oklahoma City Thunder,1,0,93,90,1,0,W 1,
3,306,3:30p ET,Sacramento Kings,0,0,92,98,2,1,L 1,
4,307,10:30p ET,Utah Jazz,1,0,107,101,3,1,W 1,
6,312,3:30p ET,Portland Trail Blazers,1,0,106,102,4,2,W 1,
7,314,10:30p ET,San Antonio Spurs,0,0,85,89,4,3,L 1,
8,319,10:30p ET,Phoenix Suns,1,0,120,107,5,3,W 1,
9,321,10:30p ET,Chicago Bulls,0,0,89,105,5,4,L 1,
17,335,10:30p ET,Minnesota Timberwolves,1,0,127,101,12,5,W 5,
18,337,10:30p ET,Orlando Magic,1,0,114,86,13,5,W 6,
19,340,10:30p ET,New Orleans Pelicans,1,0,120,100,14,5,W 7,
20,342,10:30p ET,Phoenix Suns,1,1,121,120,15,5,W 8,
24,349,10:30p ET,Detroit Pistons,1,0,113,91,17,7,W 1,
25,351,10:30p ET,Indiana Pacers,1,0,102,100,18,7,W 2,
27,354,10:30p ET,Milwaukee Bucks,1,0,106,102,19,8,W 1,
30,359,10:30p ET,Golden State Warriors,1,0,100,86,20,10,W 1,
31,361,3:30p ET,Toronto Raptors,0,0,98,110,20,11,L 1,
32,363,10:30p ET,Utah Jazz,1,0,101,97,21,11,W 1,
33,365,6:00p ET,New York Knicks,1,0,99,78,22,11,W 2,
34,3,10:30p ET,Philadelphia 76ers,1,0,127,91,23,11,W 3,
35,5,10:30p ET,Atlanta Hawks,0,0,98,107,23,12,L 1,
36,7,10:30p ET,Los Angeles Lakers,1,0,114,89,24,12,W 1,
37,10,3:30p ET,Dallas Mavericks,1,0,120,100,25,12,W 2,
38,11,3:30p ET,Miami Heat,0,0,90,104,25,13,L 1,
40,16,10:30p ET,Cleveland Cavaliers,0,0,121,126,26,14,L 1,
42,19,3:30p ET,Boston Celtics,1,0,102,93,28,14,W 2,
43,22,10:30p ET,Brooklyn Nets,1,0,123,84,29,14,W 3,
45,26,10:30p ET,Denver Nuggets,1,0,102,98,31,14,W 5,
54,42,10:30p ET,Houston Rockets,1,0,110,95,35,19,W 2,
55,50,10:30p ET,San Antonio Spurs,1,0,119,115,36,19,W 3,
56,52,10:00p ET,Sacramento Kings,1,0,126,99,37,19,W 4,
57,54,10:30p ET,Memphis Grizzlies,0,0,87,90,37,20,L 1,
62,63,10:30p ET,Portland Trail Blazers,0,1,93,98,40,22,L 1,
64,68,10:30p ET,Minnesota Timberwolves,1,0,89,76,41,23,W 1,
67,74,3:30p ET,Houston Rockets,0,0,98,100,42,25,L 2,
68,76,10:30p ET,Charlotte Hornets,1,0,99,92,43,25,W 1,
70,79,10:30p ET,Washington Wizards,1,0,113,99,45,25,W 3,
71,81,3:30p ET,New Orleans Pelicans,1,0,107,100,46,25,W 4,
75,90,10:30p ET,Golden State Warriors,0,0,106,110,49,26,L 1,
79,97,10:30p ET,Los Angeles Lakers,1,0,105,100,53,26,W 4,
80,101,10:00p ET,Memphis Grizzlies,1,0,94,86,54,26,W 5,
81,103,10:30p ET,Denver Nuggets,1,0,110,103,55,26,W 6,
