G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,SHG_Opp,Notes
2,284,8:30 PM,Buffalo Sabres,2,0,6,2,2,0,0,W 2,47,8,1,1,23,8,0,1,
3,288,8:00 PM,Calgary Flames,1,1,1,2,2,0,1,L 1,50,2,1,0,18,14,0,0,
4,291,8:30 PM,Nashville Predators,2,1,2,1,3,0,1,W 1,37,8,0,1,20,10,1,0,
5,294,8:30 PM,Philadelphia Flyers,2,0,4,0,4,0,1,W 2,43,4,2,0,32,8,0,0,
8,299,7:00 PM,Ottawa Senators,2,0,2,1,5,2,1,W 1,45,10,1,0,33,16,0,1,
9,301,8:30 PM,Anaheim Ducks,0,0,0,1,5,3,1,L 1,38,4,0,0,25,8,0,1,
12,306,9:00 PM,Winnipeg Jets,0,0,0,1,6,5,1,L 2,33,4,0,0,27,4,0,0,
14,311,8:30 PM,Washington Capitals,0,0,2,3,7,6,1,L 1,40,2,1,0,24,6,0,0,
15,313,7:00 PM,San Jose Sharks,2,0,5,2,8,6,1,W 1,37,18,0,0,34,20,1,0,
16,315,8:30 PM,Tampa Bay Lightning,2,2,3,2,9,6,1,W 2,39,10,0,0,27,16,0,1,
18,320,7:00 PM,Dallas Stars,2,0,6,2,10,7,1,W 1,47,7,1,0,24,13,0,0,
25,337,8:00 PM,St. Louis Blues,2,0,4,1,16,8,1,W 4,33,24,0,0,41,20,0,0,
26,339,8:30 PM,Montreal Canadiens,2,0,4,3,17,8,1,W 5,36,8,1,0,41,10,1,0,
31,348,8:00 PM,Calgary Flames,2,0,2,1,21,9,1,W 1,28,6,1,0,24,4,0,0,
32,350,8:30 PM,Minnesota Wild,2,0,5,3,22,9,1,W 2,39,6,1,0,29,6,0,0,
34,355,7:00 PM,Toronto Maple Leafs,2,0,4,0,23,9,2,W 1,34,4,1,0,31,4,0,0,
35,357,8:30 PM,Winnipeg Jets,0,0,1,5,23,10,2,L 1,39,9,0,0,26,9,1,0,
37,363,8:30 PM,Nashville Predators,2,2,5,4,25,10,2,W 2,42,10,1,0,40,12,1,0,
39,4,8:00 PM,Dallas Stars,2,1,5,4,26,11,2,W 1,38,0,1,0,34,4,0,0,
40,6,8:30 PM,Colorado Avalanche,0,0,0,2,26,12,2,L 1,54,6,0,0,24,6,0,0,
43,11,8:00 PM,Minnesota Wild,2,0,4,1,28,13,2,W 1,35,4,0,0,37,4,0,0,
44,16,8:30 PM,Winnipeg Jets,0,0,2,4,28,14,2,L 1,33,20,0,0,35,28,1,0,
45,18,6:00 PM,Dallas Stars,0,0,3,6,28,15,2,L 2,41,9,1,0,34,11,1,1,
46,20,8:30 PM,Arizona Coyotes,2,0,6,1,29,15,2,W 1,51,4,1,0,36,10,0,0,
54,40,8:30 PM,Arizona Coyotes,1,2,2,3,33,18,3,L 1,38,4,0,0,29,8,1,0,
55,42,8:00 PM,Vancouver Canucks,1,1,4,5,33,18,4,L 2,41,2,2,0,36,6,0,0,
56,44,8:30 PM,New Jersey Devils,2,0,3,1,34,18,4,W 1,35,4,1,0,26,8,0,0,
57,46,12:30 PM,Pittsburgh Penguins,2,2,2,1,35,18,4,W 2,32,6,0,0,37,6,0,0,
58,49,7:30 PM,Detroit Red Wings,1,2,2,3,35,18,5,L 1,34,2,0,0,28,8,0,0,
59,51,8:30 PM,Colorado Avalanche,0,0,1,4,35,19,5,L 2,28,8,0,0,30,6,2,0,
60,53,3:30 PM,Boston Bruins,0,0,2,6,35,20,5,L 3,28,15,1,0,30,15,2,0,
61,55,8:30 PM,Florida Panthers,2,2,3,2,36,20,5,W 1,38,8,1,0,36,10,0,0,
64,61,8:30 PM,Carolina Hurricanes,2,0,5,2,38,21,5,W 1,26,6,0,1,29,0,0,0,
65,65,8:30 PM,Edmonton Oilers,2,2,2,1,39,21,5,W 2,39,2,0,0,47,6,0,0,
66,67,7:30 PM,New York Rangers,1,1,0,1,39,21,6,L 1,29,2,0,0,36,6,0,0,
69,76,8:30 PM,New York Islanders,2,0,4,1,42,21,6,W 3,30,17,0,0,39,2,0,0,
74,86,8:30 PM,Columbus Blue Jackets,0,0,2,5,44,24,6,L 2,33,2,0,0,27,10,0,1,
76,89,8:30 PM,Los Angeles Kings,2,0,4,1,46,24,6,W 2,40,2,1,0,32,4,0,0,
77,92,8:30 PM,Vancouver Canucks,2,0,3,1,47,24,6,W 3,38,4,0,0,36,6,0,0,
79,95,7:30 PM,St. Louis Blues,0,0,1,2,48,25,6,L 1,39,6,0,0,33,4,1,0,
80,97,8:30 PM,Minnesota Wild,0,0,1,2,48,26,6,L 2,33,0,0,0,30,2,0,0,
