G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
2,303,9:00p ET,Minnesota Timberwolves,0,0,78,95,1,1,L 1,
5,309,9:00p ET,Utah Jazz,0,0,84,96,2,3,L 1,
7,313,9:00p ET,Portland Trail Blazers,1,0,108,104,3,4,W 1,
8,315,9:00p ET,Milwaukee Bucks,1,0,103,102,4,4,W 2,
9,317,9:00p ET,Houston Rockets,1,0,107,98,5,4,W 3,
13,324,9:00p ET,Phoenix Suns,0,0,107,114,6,7,L 2,
14,326,8:00p ET,Golden State Warriors,0,0,105,118,6,8,L 3,
15,328,9:00p ET,Los Angeles Clippers,0,0,94,111,6,9,L 4,
16,331,9:00p ET,San Antonio Spurs,0,0,80,91,6,10,L 5,
22,342,9:00p ET,Orlando Magic,0,0,74,85,8,14,L 1,
23,345,9:00p ET,Minnesota Timberwolves,1,1,111,108,9,14,W 1,
24,348,9:00p ET,Houston Rockets,1,0,114,108,10,14,W 2,
27,354,8:00p ET,New Orleans Pelicans,0,0,125,130,11,16,L 2,
28,356,9:00p ET,Los Angeles Lakers,0,0,107,111,11,17,L 3,
32,363,9:00p ET,Cleveland Cavaliers,0,0,87,93,12,20,L 3,
35,3,9:00p ET,Portland Trail Blazers,0,0,106,112,12,23,L 6,
38,10,8:00p ET,Charlotte Hornets,1,0,95,92,14,24,W 1,
39,13,9:00p ET,Golden State Warriors,1,0,112,110,15,24,W 2,
40,15,9:00p ET,Miami Heat,0,0,95,98,15,25,L 1,
41,17,8:00p ET,Indiana Pacers,1,0,129,126,16,25,W 1,
42,19,9:00p ET,Oklahoma City Thunder,0,0,104,110,16,26,L 1,
43,21,9:00p ET,Memphis Grizzlies,0,0,101,102,16,27,L 2,
44,23,9:30p ET,Detroit Pistons,1,0,104,101,17,27,W 1,
45,25,9:00p ET,Atlanta Hawks,0,0,105,119,17,28,L 1,
49,32,9:00p ET,Toronto Raptors,1,0,112,93,19,30,W 1,
51,36,9:00p ET,Chicago Bulls,1,0,115,110,20,31,W 1,
56,52,5:00p ET,Boston Celtics,0,0,101,121,22,34,L 2,
57,54,9:00p ET,Sacramento Kings,0,0,110,114,22,35,L 3,
60,60,9:00p ET,Memphis Grizzlies,0,0,96,103,23,37,L 2,
61,62,9:00p ET,Los Angeles Lakers,1,0,117,107,24,37,W 1,
62,64,9:00p ET,Brooklyn Nets,0,1,120,121,24,38,L 1,
63,66,5:00p ET,Dallas Mavericks,1,1,116,114,25,38,W 1,
64,68,9:00p ET,New York Knicks,1,0,110,94,26,38,W 2,
65,70,9:00p ET,Phoenix Suns,1,0,116,98,27,38,W 3,
66,72,9:30p ET,Washington Wizards,1,0,116,100,28,38,W 4,
72,83,9:00p ET,Philadelphia 76ers,1,0,104,103,30,42,W 1,
75,88,9:00p ET,Dallas Mavericks,0,0,88,97,31,44,L 2,
78,93,9:00p ET,Sacramento Kings,0,0,106,115,32,46,L 2,
79,96,9:00p ET,Oklahoma City Thunder,0,0,102,124,32,47,L 3,
80,99,9:00p ET,San Antonio Spurs,1,0,102,98,33,47,W 1,
81,101,5:00p ET,Utah Jazz,0,0,84,100,33,48,L 1,
