G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,SHG_Opp,Notes
3,280,10:30 PM,New York Rangers,0,0,1,3,1,2,0,L 2,29,15,0,0,28,11,0,1,
4,282,10:30 PM,Ottawa Senators,2,1,4,3,2,2,0,W 1,32,10,2,0,25,14,1,0,
9,292,10:30 PM,Dallas Stars,2,0,5,2,6,3,0,W 2,34,17,1,0,29,13,0,0,
10,294,10:30 PM,Calgary Flames,0,0,2,3,6,4,0,L 1,29,12,1,1,25,6,3,0,
11,297,10:30 PM,Phoenix Coyotes,2,0,7,4,7,4,0,W 1,38,8,1,1,28,10,1,0,
12,300,9:00 PM,Edmonton Oilers,2,2,2,1,8,4,0,W 2,48,20,0,0,18,18,1,0,
14,303,10:30 PM,San Jose Sharks,2,1,4,3,9,5,0,W 1,23,13,2,0,20,13,1,0,
15,306,10:30 PM,Nashville Predators,0,0,3,4,9,6,0,L 1,38,13,1,0,17,23,2,0,
16,311,10:30 PM,Buffalo Sabres,2,0,2,0,10,6,0,W 1,28,13,2,0,19,15,0,0,
17,313,10:00 PM,Vancouver Canucks,2,0,5,1,11,6,0,W 2,32,9,0,0,26,13,0,0,
22,323,10:30 PM,Tampa Bay Lightning,2,0,5,2,15,6,1,W 4,31,8,1,1,21,10,1,0,
23,325,10:30 PM,New Jersey Devils,1,1,1,2,15,6,2,L 1,35,11,0,0,15,15,0,0,
24,327,10:30 PM,Colorado Avalanche,1,1,0,1,15,6,3,L 2,19,6,0,0,33,8,0,0,
27,334,10:00 PM,Calgary Flames,0,0,1,2,16,7,4,L 2,22,14,0,0,20,23,0,1,
28,336,10:30 PM,St. Louis Blues,2,0,3,2,17,7,4,W 1,23,8,0,0,27,6,0,0,
30,341,10:30 PM,New York Islanders,2,0,3,0,19,7,4,W 3,24,14,0,0,16,16,0,0,
35,351,10:30 PM,Edmonton Oilers,2,0,3,0,23,8,4,W 1,40,4,0,0,24,4,0,0,
36,353,10:30 PM,San Jose Sharks,2,0,4,1,24,8,4,W 2,32,21,0,0,32,4,0,0,
37,355,4:00 PM,Colorado Avalanche,2,2,3,2,25,8,4,W 3,39,8,0,0,25,4,2,0,
38,357,10:30 PM,Dallas Stars,0,0,2,5,25,9,4,L 1,32,13,0,0,23,9,1,0,
43,4,10:00 PM,Vancouver Canucks,2,0,3,1,26,13,4,W 1,49,8,0,0,28,6,1,0,
44,7,10:30 PM,Minnesota Wild,1,2,1,2,26,13,5,L 1,40,4,0,0,17,4,0,0,
45,9,10:30 PM,Boston Bruins,2,0,4,2,27,13,5,W 1,35,11,1,0,22,17,0,0,
46,11,10:30 PM,Detroit Red Wings,0,0,1,3,27,14,5,L 1,45,10,1,0,26,10,0,0,
47,13,10:30 PM,Vancouver Canucks,2,0,1,0,28,14,5,W 1,20,40,0,0,28,69,0,0,
53,25,9:30 PM,Anaheim Ducks,0,0,0,3,29,18,6,L 5,36,13,0,0,21,15,0,0,NHL Stadium Series
56,30,10:30 PM,Pittsburgh Penguins,0,0,1,4,30,20,6,L 2,31,6,1,0,22,8,2,0,
57,32,4:00 PM,Philadelphia Flyers,0,0,0,2,30,21,6,L 3,35,4,0,0,13,6,1,0,
58,34,10:30 PM,Chicago Blackhawks,0,0,3,5,30,22,6,L 4,34,10,1,0,30,10,1,0,
59,37,10:30 PM,Columbus Blue Jackets,2,1,2,1,31,22,6,W 1,20,8,0,0,25,12,1,0,
62,60,4:00 PM,Carolina Hurricanes,2,0,3,1,34,22,6,W 4,31,8,1,0,25,14,0,0,
63,62,10:30 PM,Montreal Canadiens,2,0,2,1,35,22,6,W 5,22,11,1,0,18,13,0,0,
67,72,10:30 PM,Toronto Maple Leafs,0,0,2,3,38,23,6,L 1,41,6,1,0,29,8,1,1,
68,74,10:30 PM,Anaheim Ducks,0,0,1,2,38,24,6,L 2,38,8,1,0,20,8,0,0,
69,76,10:30 PM,Phoenix Coyotes,0,0,3,4,38,25,6,L 3,39,8,1,0,27,8,1,0,
70,79,10:30 PM,Washington Capitals,2,2,2,1,39,25,6,W 1,28,11,0,0,22,11,0,0,
71,81,4:00 PM,Florida Panthers,2,0,4,0,40,25,6,W 2,29,4,1,0,24,6,0,0,
75,88,10:00 PM,Winnipeg Jets,2,0,4,2,44,25,6,W 6,29,6,0,0,26,4,1,0,
76,90,10:00 PM,Minnesota Wild,0,0,2,3,44,26,6,L 1,20,4,0,0,20,6,1,0,
77,92,10:30 PM,Phoenix Coyotes,2,0,4,0,45,26,6,W 1,32,4,2,0,17,8,0,0,
82,102,10:30 PM,Anaheim Ducks,1,2,3,4,46,28,8,L 1,30,8,0,0,24,8,0,0,
