G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
2,304,8:00p ET,New York Knicks,1,0,82,81,1,1,W 1,
5,312,8:00p ET,Utah Jazz,1,0,97,73,2,3,W 1,
6,315,8:00p ET,Cleveland Cavaliers,1,0,96,81,3,3,W 2,
8,320,8:00p ET,Indiana Pacers,1,0,110,94,5,3,W 4,
9,322,8:00p ET,Charlotte Bobcats,1,0,86,81,6,3,W 5,
16,336,8:00p ET,New Orleans Pelicans,0,3,128,131,7,9,L 2,
17,339,9:30p ET,Miami Heat,1,0,107,87,8,9,W 1,
18,341,8:00p ET,Detroit Pistons,0,0,75,92,8,10,L 1,
19,344,8:00p ET,Milwaukee Bucks,0,0,74,78,8,11,L 2,
22,348,8:00p ET,Toronto Raptors,0,0,77,99,9,13,L 1,
23,350,8:00p ET,Orlando Magic,0,0,82,83,9,14,L 2,
26,355,8:00p ET,Cleveland Cavaliers,1,0,100,84,10,16,W 1,
28,362,8:00p ET,Dallas Mavericks,0,0,83,105,11,17,L 1,
30,365,8:00p ET,Toronto Raptors,0,0,79,85,12,18,L 1,
31,2,8:00p ET,Boston Celtics,1,0,94,82,13,18,W 1,
32,4,8:00p ET,Atlanta Hawks,1,0,91,84,14,18,W 2,
33,7,8:00p ET,Phoenix Suns,1,0,92,87,15,18,W 3,
35,11,8:00p ET,Charlotte Bobcats,1,0,103,97,17,18,W 5,
36,13,8:00p ET,Washington Wizards,0,0,88,102,17,19,L 1,
39,18,8:00p ET,Philadelphia 76ers,1,0,103,78,19,20,W 1,
40,20,8:00p ET,Los Angeles Lakers,1,1,102,100,20,20,W 2,
42,24,8:00p ET,Los Angeles Clippers,0,0,95,112,21,21,L 1,
44,27,8:00p ET,Minnesota Timberwolves,0,0,86,95,22,22,L 1,
51,42,8:00p ET,Atlanta Hawks,1,0,100,85,26,25,W 2,
52,44,8:00p ET,Brooklyn Nets,1,0,92,76,27,25,W 3,
54,52,8:00p ET,Denver Nuggets,1,0,117,89,29,25,W 5,
57,57,8:00p ET,Golden State Warriors,1,0,103,83,31,26,W 2,
59,61,1:00p ET,New York Knicks,1,0,109,90,33,26,W 4,
62,66,7:00p ET,Memphis Grizzlies,0,0,77,85,34,28,L 1,
63,68,1:00p ET,Miami Heat,1,1,95,88,35,28,W 1,
64,70,8:00p ET,San Antonio Spurs,0,0,96,104,35,29,L 1,
65,72,7:00p ET,Houston Rockets,1,0,111,87,36,29,W 1,
66,74,8:00p ET,Sacramento Kings,1,0,94,87,37,29,W 2,
67,76,8:00p ET,Oklahoma City Thunder,0,0,85,97,37,30,L 1,
70,81,8:00p ET,Philadelphia 76ers,1,0,91,81,39,31,W 1,
71,83,8:00p ET,Indiana Pacers,1,0,89,77,40,31,W 2,
72,87,8:00p ET,Portland Trail Blazers,0,0,74,91,40,32,L 1,
74,90,8:00p ET,Boston Celtics,1,0,94,80,42,32,W 2,
76,94,8:00p ET,Milwaukee Bucks,1,0,102,90,44,32,W 4,
79,101,8:00p ET,Detroit Pistons,1,0,106,98,47,32,W 7,
81,104,8:00p ET,Orlando Magic,1,0,108,95,48,33,W 1,
