G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
2,304,10:30p ET,Golden State Warriors,1,0,126,115,1,1,W 1,
4,308,10:30p ET,Houston Rockets,1,0,137,118,3,1,W 3,
8,315,10:30p ET,Minnesota Timberwolves,1,0,109,107,5,3,W 2,
9,317,10:30p ET,Oklahoma City Thunder,1,0,111,103,6,3,W 3,
10,320,10:30p ET,Brooklyn Nets,1,0,110,103,7,3,W 4,
11,322,10:30p ET,Memphis Grizzlies,0,0,102,106,7,4,L 1,
14,327,3:30p ET,Sacramento Kings,1,0,103,102,9,5,W 1,
15,328,3:30p ET,Chicago Bulls,1,0,121,82,10,5,W 2,
16,331,10:30p ET,New York Knicks,1,0,93,80,11,5,W 3,
18,335,3:30p ET,Indiana Pacers,0,0,100,105,12,6,L 1,
26,350,10:30p ET,San Antonio Spurs,1,0,115,92,17,9,W 2,
27,352,10:30p ET,New Orleans Pelicans,1,0,108,95,18,9,W 3,
28,355,10:30p ET,Denver Nuggets,1,0,112,91,19,9,W 4,
29,356,9:30p ET,Minnesota Timberwolves,1,1,120,116,20,9,W 5,
32,362,10:30p ET,Utah Jazz,1,0,98,90,21,11,W 1,
33,364,10:30p ET,Phoenix Suns,0,0,88,107,21,12,L 1,
34,1,9:30p ET,Charlotte Bobcats,1,0,112,85,22,12,W 1,
37,6,10:30p ET,Orlando Magic,1,0,101,81,24,13,W 1,
38,8,10:30p ET,Boston Celtics,1,0,111,105,25,13,W 2,
39,10,10:30p ET,Los Angeles Lakers,1,0,123,87,26,13,W 3,
40,15,10:30p ET,Dallas Mavericks,1,0,129,127,27,13,W 4,
48,29,10:30p ET,Washington Wizards,1,0,110,103,33,15,W 4,
50,32,10:30p ET,Utah Jazz,1,0,102,87,34,16,W 1,
52,36,10:30p ET,Miami Heat,0,0,112,116,34,18,L 2,
53,38,10:30p ET,Toronto Raptors,1,0,118,105,35,18,W 1,
54,40,9:30p ET,Philadelphia 76ers,1,0,123,78,36,18,W 2,
55,43,10:30p ET,Portland Trail Blazers,1,0,122,117,37,18,W 3,
56,49,10:30p ET,San Antonio Spurs,0,0,103,113,37,19,L 1,
60,57,10:30p ET,Houston Rockets,1,0,101,93,40,20,W 3,
61,60,10:30p ET,New Orleans Pelicans,1,0,108,76,41,20,W 4,
64,67,10:30p ET,Atlanta Hawks,1,0,109,108,44,20,W 7,
65,69,10:30p ET,Phoenix Suns,1,0,112,105,45,20,W 8,
66,71,10:30p ET,Golden State Warriors,1,0,111,98,46,20,W 9,
68,75,9:30p ET,Cleveland Cavaliers,1,0,102,80,48,20,W 11,
70,81,10:30p ET,Detroit Pistons,1,0,112,103,49,21,W 1,
71,83,10:30p ET,Milwaukee Bucks,1,0,106,98,50,21,W 2,
77,93,10:30p ET,Dallas Mavericks,0,0,107,113,54,23,L 1,
78,96,3:30p ET,Los Angeles Lakers,1,0,120,97,55,23,W 1,
79,99,10:30p ET,Oklahoma City Thunder,0,0,101,107,55,24,L 1,
80,102,3:30p ET,Sacramento Kings,1,0,117,101,56,24,W 1,
81,105,10:30p ET,Denver Nuggets,1,0,117,105,57,24,W 2,
