G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,301,8:00p ET,Boston Celtics,1,0,105,99,1,0,W 1,
2,303,8:00p ET,Indiana Pacers,1,0,118,101,2,0,W 2,
5,309,8:00p ET,New York Knicks,0,0,104,117,3,2,L 2,
7,312,8:00p ET,Orlando Magic,1,0,112,80,4,3,W 1,
10,317,8:00p ET,Washington Wizards,1,0,106,95,6,4,W 2,
17,335,8:00p ET,Los Angeles Lakers,0,0,90,96,10,7,L 1,
18,337,8:00p ET,Cleveland Cavaliers,1,0,111,105,11,7,W 1,
20,340,8:00p ET,Portland Trail Blazers,0,0,110,112,11,9,L 2,
22,343,9:30p ET,San Antonio Spurs,1,0,95,91,12,10,W 1,
23,345,8:00p ET,Miami Heat,1,0,105,100,13,10,W 2,
24,348,8:00p ET,Minnesota Timberwolves,0,0,94,99,13,11,L 1,
26,351,8:00p ET,Milwaukee Bucks,0,0,69,95,13,13,L 3,
27,354,8:00p ET,Detroit Pistons,1,0,113,82,14,13,W 1,
28,356,8:00p ET,Washington Wizards,0,0,97,107,14,14,L 1,
31,361,8:00p ET,Indiana Pacers,1,0,90,85,15,16,W 1,
32,363,8:00p ET,Brooklyn Nets,1,0,101,99,16,16,W 2,
34,366,7:00p ET,Milwaukee Bucks,0,0,96,116,16,18,L 2,
35,2,8:00p ET,Charlotte Hornets,1,0,118,111,17,18,W 1,
37,7,8:00p ET,Toronto Raptors,1,1,123,118,19,18,W 3,
38,9,8:00p ET,Oklahoma City Thunder,0,0,94,109,19,19,L 1,
41,14,5:00p ET,New Orleans Pelicans,1,0,107,99,20,21,W 1,
43,17,8:00p ET,Dallas Mavericks,0,0,98,99,21,22,L 1,
45,21,9:00p ET,Sacramento Kings,1,0,102,99,22,23,W 1,
47,25,8:00p ET,Atlanta Hawks,0,0,114,119,23,24,L 1,
48,27,8:00p ET,Miami Heat,0,0,88,100,23,25,L 2,
49,29,7:00p ET,Philadelphia 76ers,1,0,121,108,24,25,W 1,
56,45,8:00p ET,Toronto Raptors,1,0,105,94,27,29,W 1,
57,47,8:00p ET,Boston Celtics,1,0,104,103,28,29,W 2,
58,55,8:00p ET,Phoenix Suns,1,1,128,121,29,29,W 3,
60,59,8:00p ET,Denver Nuggets,0,0,107,125,30,30,L 1,
61,61,8:00p ET,Golden State Warriors,1,0,94,87,31,30,W 1,
62,63,8:30p ET,Los Angeles Clippers,0,0,91,101,31,31,L 1,
65,69,8:00p ET,Houston Rockets,0,0,94,115,31,34,L 4,
68,74,8:00p ET,Memphis Grizzlies,0,0,91,98,32,36,L 1,
70,77,9:00p ET,Utah Jazz,1,0,95,86,33,37,W 1,
72,81,8:00p ET,Detroit Pistons,1,0,117,95,34,38,W 1,
73,83,8:00p ET,Philadelphia 76ers,0,0,107,117,34,39,L 1,
75,89,8:00p ET,Cleveland Cavaliers,1,0,99,93,36,39,W 2,
76,91,5:00p ET,Atlanta Hawks,1,0,106,104,37,39,W 3,
81,100,8:00p ET,Orlando Magic,1,0,122,75,40,41,W 1,
82,102,8:00p ET,Brooklyn Nets,1,0,112,73,41,41,W 2,
