G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
2,304,8:00p ET,Cleveland Cavaliers,0,1,108,114,1,1,L 1,
4,308,8:00p ET,Orlando Magic,1,0,98,90,3,1,W 2,
7,312,8:00p ET,Boston Celtics,0,0,101,106,5,2,L 1,
8,314,8:00p ET,Detroit Pistons,1,0,102,91,6,2,W 1,
10,319,8:00p ET,Indiana Pacers,0,0,90,99,7,3,L 1,
18,336,8:00p ET,Dallas Mavericks,0,2,129,132,11,7,L 1,
20,340,8:00p ET,Golden State Warriors,0,0,102,112,12,8,L 1,
21,344,8:00p ET,Brooklyn Nets,1,0,105,80,13,8,W 1,
22,346,7:00p ET,Portland Trail Blazers,1,0,115,106,14,8,W 2,
25,352,8:00p ET,New York Knicks,1,0,103,97,16,9,W 1,
27,356,8:00p ET,Toronto Raptors,1,0,129,120,18,9,W 3,
29,359,8:00p ET,Los Angeles Lakers,1,0,113,93,20,9,W 5,
30,361,8:00p ET,New Orleans Pelicans,1,0,107,100,21,9,W 6,
32,364,8:00p ET,Brooklyn Nets,0,0,82,96,22,10,L 1,
33,1,8:00p ET,Denver Nuggets,1,0,106,101,23,10,W 1,
34,3,8:00p ET,Boston Celtics,1,1,109,104,24,10,W 2,
35,5,8:00p ET,Houston Rockets,1,0,114,105,25,10,W 3,
36,7,8:00p ET,Utah Jazz,0,0,77,97,25,11,L 1,
38,10,8:00p ET,Milwaukee Bucks,1,0,95,87,26,12,W 1,
39,12,8:00p ET,Orlando Magic,0,0,114,121,26,13,L 1,
40,14,8:00p ET,Washington Wizards,0,0,99,105,26,14,L 2,
42,17,8:00p ET,Atlanta Hawks,0,0,99,107,27,15,L 1,
44,22,8:00p ET,San Antonio Spurs,1,0,104,81,28,16,W 1,
46,25,1:00p ET,Miami Heat,0,0,84,96,29,17,L 1,
53,41,8:00p ET,Sacramento Kings,1,0,104,86,33,20,W 3,
54,43,8:00p ET,Cleveland Cavaliers,1,0,113,98,34,20,W 4,
56,52,8:00p ET,Phoenix Suns,1,0,112,107,35,21,W 1,
57,54,8:00p ET,Milwaukee Bucks,1,0,87,71,36,21,W 2,
58,56,8:00p ET,Charlotte Hornets,0,0,86,98,36,22,L 1,
59,58,8:00p ET,Minnesota Timberwolves,1,0,96,89,37,22,W 1,
60,60,1:00p ET,Los Angeles Clippers,0,0,86,96,37,23,L 1,
61,62,8:00p ET,Washington Wizards,1,0,97,92,38,23,W 1,
62,64,8:00p ET,Oklahoma City Thunder,1,0,108,105,39,23,W 2,
65,68,8:00p ET,Memphis Grizzlies,0,0,91,101,39,26,L 3,
69,77,8:00p ET,Indiana Pacers,1,0,103,86,41,28,W 1,
70,79,8:00p ET,Toronto Raptors,1,0,108,92,42,28,W 2,
72,82,8:00p ET,Charlotte Hornets,1,0,98,86,43,29,W 1,
74,87,8:00p ET,New York Knicks,1,0,111,80,45,29,W 3,
76,93,8:00p ET,Detroit Pistons,1,0,88,82,46,30,W 1,
80,101,8:00p ET,Philadelphia 76ers,1,0,114,107,48,32,W 2,
82,105,8:00p ET,Atlanta Hawks,1,0,91,85,50,32,W 4,
