G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,SHG_Opp,Notes
1,276,7:00 PM,Tampa Bay Lightning,2,0,3,1,1,0,0,W 1,25,20,0,2,33,16,0,0,
2,278,7:00 PM,Detroit Red Wings,2,0,4,1,2,0,0,W 2,37,4,2,0,26,8,0,0,
3,283,7:00 PM,Colorado Avalanche,0,0,0,2,2,1,0,L 1,39,31,0,0,30,19,1,0,
5,287,1:00 PM,Detroit Red Wings,0,0,2,3,3,2,0,L 1,30,2,0,0,27,12,0,0,
9,297,7:00 PM,San Jose Sharks,2,0,2,1,7,2,0,W 4,17,2,0,0,39,2,0,0,
10,299,7:00 PM,New Jersey Devils,0,0,3,4,7,3,0,L 1,28,14,1,0,32,4,4,0,
12,304,7:00 PM,Anaheim Ducks,2,2,3,2,8,4,0,W 1,23,8,1,0,23,4,0,0,
14,309,7:00 PM,Dallas Stars,1,2,2,3,8,5,1,L 2,36,10,0,0,36,12,0,0,
15,311,7:00 PM,Florida Panthers,2,0,4,1,9,5,1,W 1,30,18,0,0,24,12,0,0,
16,313,7:00 PM,Toronto Maple Leafs,2,0,3,1,10,5,1,W 2,34,16,2,0,34,16,0,0,
17,315,1:00 PM,Tampa Bay Lightning,2,0,3,0,11,5,1,W 3,26,8,0,0,28,2,0,0,
18,318,7:00 PM,Columbus Blue Jackets,2,1,3,2,12,5,1,W 4,31,8,0,0,34,2,0,0,
22,325,7:00 PM,St. Louis Blues,1,2,2,3,14,6,2,L 1,31,2,0,0,26,2,0,0,
23,327,1:00 PM,Carolina Hurricanes,2,1,3,2,15,6,2,W 1,38,4,1,0,24,8,1,1,
24,329,7:00 PM,Pittsburgh Penguins,2,1,4,3,16,6,2,W 2,24,2,1,0,31,2,0,0,
26,333,1:00 PM,New York Rangers,2,0,3,2,17,7,2,W 1,28,17,0,0,19,13,0,0,
27,334,7:00 PM,Columbus Blue Jackets,2,0,3,1,18,7,2,W 2,36,11,1,0,14,27,1,0,
29,341,7:00 PM,Pittsburgh Penguins,2,0,3,2,19,8,2,W 1,20,25,0,0,30,15,2,0,
34,351,7:00 PM,Calgary Flames,2,0,2,0,23,9,2,W 1,31,6,2,0,21,6,0,0,
36,355,7:00 PM,Buffalo Sabres,2,0,4,1,24,10,2,W 1,39,17,1,0,35,11,0,0,
38,361,7:00 PM,Ottawa Senators,2,0,5,0,26,10,2,W 3,42,8,1,1,33,6,0,0,
40,365,7:00 PM,New York Islanders,0,0,3,5,26,12,2,L 2,38,28,1,0,31,8,4,0,
41,2,7:00 PM,Nashville Predators,2,1,3,2,27,12,2,W 1,25,2,0,0,35,4,0,0,
42,4,1:00 PM,Winnipeg Jets,2,0,4,1,28,12,2,W 2,29,21,0,0,37,19,0,0,
46,14,7:00 PM,Toronto Maple Leafs,0,0,3,4,29,15,2,L 1,41,15,0,0,26,11,2,0,
49,20,3:00 PM,Los Angeles Kings,2,0,3,2,31,15,3,W 1,23,15,1,1,23,15,1,0,
52,28,7:00 PM,Florida Panthers,2,0,6,2,34,15,3,W 4,41,4,1,0,30,10,1,0,
53,30,7:00 PM,Montreal Canadiens,0,0,1,4,34,16,3,L 1,35,10,0,0,33,8,1,0,
54,32,1:00 PM,Edmonton Oilers,2,0,4,0,35,16,3,W 1,41,15,2,0,22,17,0,0,
55,35,7:00 PM,Vancouver Canucks,2,0,3,1,36,16,3,W 2,32,4,1,0,28,4,0,0,
57,39,3:00 PM,Ottawa Senators,2,0,7,2,37,16,4,W 1,42,11,1,0,28,13,1,0,
59,60,1:00 PM,Washington Capitals,0,0,2,4,37,17,5,L 2,38,12,1,0,31,10,2,0,
61,63,7:00 PM,Florida Panthers,2,0,4,1,39,17,5,W 2,39,16,0,0,24,14,0,0,
62,65,7:00 PM,Washington Capitals,2,0,3,0,40,17,5,W 3,43,0,0,0,16,0,0,0,
66,72,7:00 PM,Phoenix Coyotes,2,0,2,1,44,17,5,W 7,20,10,0,0,22,2,0,0,
67,74,1:00 PM,Carolina Hurricanes,2,0,5,1,45,17,5,W 8,41,8,0,0,30,6,0,0,
68,76,7:30 PM,Minnesota Wild,2,0,4,1,46,17,5,W 9,29,2,0,0,34,0,0,0,
72,83,7:30 PM,Montreal Canadiens,1,2,1,2,49,17,6,L 1,29,17,1,0,22,17,1,0,
73,86,7:00 PM,Chicago Blackhawks,2,0,3,0,50,17,6,W 1,23,4,0,0,28,2,0,0,
78,95,1:00 PM,Philadelphia Flyers,2,0,5,2,53,18,7,W 1,42,11,0,0,26,7,1,0,
81,102,12:30 PM,Buffalo Sabres,2,0,4,1,54,18,9,W 1,30,20,1,0,25,41,0,0,
