G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
2,305,7:30p ET,Milwaukee Bucks,0,0,98,105,0,2,L 2,
5,310,7:30p ET,Utah Jazz,1,0,97,87,1,4,W 1,
8,315,7:30p ET,Orlando Magic,1,0,120,105,4,4,W 4,
9,317,7:30p ET,Charlotte Bobcats,0,0,83,89,4,5,L 1,
10,319,7:30p ET,Portland Trail Blazers,0,0,96,109,4,6,L 2,
14,326,7:30p ET,Indiana Pacers,0,0,82,97,4,10,L 6,
17,331,7:30p ET,Memphis Grizzlies,0,0,93,100,6,11,L 1,
18,333,7:30p ET,Cleveland Cavaliers,1,0,103,86,7,11,W 1,
20,337,7:30p ET,Milwaukee Bucks,1,0,108,100,8,12,W 1,
21,340,7:30p ET,Denver Nuggets,1,0,106,98,9,12,W 2,
24,345,7:30p ET,Los Angeles Clippers,0,0,88,96,10,14,L 2,
25,347,7:30p ET,New York Knicks,1,0,90,86,11,14,W 1,
26,350,7:30p ET,Minnesota Timberwolves,1,0,101,97,12,14,W 2,
27,352,7:30p ET,Detroit Pistons,0,0,106,107,12,15,L 1,
28,355,1:00p ET,Washington Wizards,0,0,99,106,12,16,L 2,
30,362,1:00p ET,Cleveland Cavaliers,1,0,103,100,13,17,W 1,
31,365,1:00p ET,Atlanta Hawks,0,0,91,92,13,18,L 1,
33,3,7:30p ET,New Orleans Pelicans,0,0,92,95,13,20,L 3,
39,13,7:30p ET,Houston Rockets,0,0,92,104,13,26,L 9,
40,15,7:30p ET,Toronto Raptors,1,0,88,83,14,26,W 1,
41,17,7:30p ET,Los Angeles Lakers,0,0,104,107,14,27,L 1,
45,24,7:30p ET,Oklahoma City Thunder,0,0,83,101,15,30,L 1,
46,26,6:30p ET,Brooklyn Nets,0,0,79,85,15,31,L 2,
48,29,7:30p ET,Philadelphia 76ers,0,0,94,95,15,33,L 4,
49,33,1:00p ET,Orlando Magic,1,0,96,89,16,33,W 1,
51,38,7:30p ET,Sacramento Kings,1,0,99,89,18,33,W 3,
52,40,6:00p ET,Dallas Mavericks,0,0,91,102,18,34,L 1,
54,43,7:30p ET,San Antonio Spurs,0,0,92,104,19,35,L 1,
59,57,7:30p ET,Atlanta Hawks,1,0,115,104,20,39,W 1,
60,60,8:00p ET,Indiana Pacers,0,0,97,102,20,40,L 1,
61,64,7:30p ET,Golden State Warriors,0,0,88,108,20,41,L 2,
62,66,7:30p ET,Brooklyn Nets,1,0,91,84,21,41,W 1,
63,68,6:00p ET,Detroit Pistons,1,0,118,111,22,41,W 2,
65,71,7:30p ET,New York Knicks,0,0,92,116,22,43,L 2,
66,73,7:30p ET,Phoenix Suns,0,0,80,87,22,44,L 3,
69,78,7:30p ET,Miami Heat,1,0,101,96,23,46,W 1,
71,85,7:30p ET,Toronto Raptors,0,0,90,99,23,48,L 2,
73,89,7:00p ET,Chicago Bulls,0,0,102,107,23,50,L 4,
76,94,7:30p ET,Philadelphia 76ers,0,0,102,111,23,53,L 7,
79,101,7:30p ET,Charlotte Bobcats,1,0,106,103,24,55,W 1,
82,106,8:00p ET,Washington Wizards,0,0,102,118,25,57,L 2,
