GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
54,44,1:00 PM,New Jersey Devils,1,1,1,2,24,20,10,L 1,32,8,1,4,0,24,10,2,2,0,19775,2:31,
60,56,7:00 PM,Minnesota Wild,2,0,3,2,27,22,11,W 1,31,6,1,1,0,26,2,1,3,0,18631,2:29,
61,58,1:00 PM,Arizona Coyotes,2,0,4,2,28,22,11,W 2,33,13,1,4,0,31,13,0,4,0,19773,2:30,
62,60,7:00 PM,Calgary Flames,2,0,5,3,29,22,11,W 3,29,10,2,3,0,32,8,1,4,0,19065,2:37,
63,63,7:00 PM,Edmonton Oilers,0,0,0,4,29,23,11,L 1,35,18,0,7,0,31,30,0,1,1,18636,2:32,
64,65,7:00 PM,Columbus Blue Jackets,2,0,6,0,30,23,11,W 1,36,20,0,4,0,19,24,0,2,0,19645,2:23,
65,67,7:00 PM,Tampa Bay Lightning,2,0,4,2,31,23,11,W 2,40,4,1,5,0,18,10,0,2,0,17906,2:30,
68,75,7:30 PM,Detroit Red Wings,2,0,4,3,33,23,12,W 1,46,4,0,6,0,37,12,0,2,0,19806,2:43,
70,79,1:00 PM,Pittsburgh Penguins,0,0,1,4,34,24,12,L 1,17,6,0,3,0,35,6,0,3,0,19967,2:39,
75,88,7:00 PM,Winnipeg Jets,2,1,3,2,37,25,13,W 1,32,2,0,2,0,28,6,0,0,0,19100,2:36,
76,90,8:00 PM,Washington Capitals,2,2,2,1,38,25,13,W 2,34,12,1,3,0,30,12,1,3,0,19850,2:50,
77,93,1:00 PM,Ottawa Senators,2,0,3,2,39,25,13,W 3,36,6,3,4,0,35,20,1,1,0,19578,2:23,
80,98,7:00 PM,Toronto Maple Leafs,1,1,3,4,39,27,14,L 3,44,4,0,4,0,26,8,1,2,0,19674,2:42,
81,100,3:00 PM,Pittsburgh Penguins,2,0,3,1,40,27,14,W 1,36,6,0,3,0,19,23,0,1,0,19919,2:35,
