GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
3,285,7:00 PM,Florida Panthers,2,0,1,0,1,1,1,W 1,33,18,0,3,0,31,12,0,6,0,19769,2:29,
4,287,8:00 PM,Chicago Blackhawks,2,0,3,0,2,1,1,W 2,29,10,1,6,0,30,10,0,5,0,19779,2:25,
5,293,7:30 PM,Dallas Stars,0,0,1,2,2,2,1,L 1,35,10,0,4,0,32,12,0,2,0,19077,2:35,
7,297,7:00 PM,New York Rangers,2,2,3,2,4,2,1,W 2,48,6,0,2,0,39,4,1,3,0,19805,2:52,
8,300,7:00 PM,Buffalo Sabres,1,1,3,4,4,2,2,L 1,33,4,0,2,0,40,4,1,2,0,19432,2:37,
9,302,7:00 PM,New Jersey Devils,0,0,1,4,4,3,2,L 2,28,6,0,2,0,33,4,2,5,0,19241,2:32,
15,314,7:00 PM,Colorado Avalanche,0,0,0,4,5,7,3,L 1,25,4,0,1,0,40,2,1,2,0,18587,2:25,
16,316,7:00 PM,Washington Capitals,0,0,2,5,5,8,3,L 2,20,11,1,4,0,32,13,2,3,0,19414,2:34,
18,321,7:00 PM,Los Angeles Kings,1,2,2,3,6,8,4,L 1,38,4,1,5,0,40,10,1,2,0,18846,2:36,
19,323,7:00 PM,San Jose Sharks,1,1,0,1,6,8,5,L 2,34,8,0,2,0,21,4,0,4,0,18229,2:37,
21,327,7:00 PM,Carolina Hurricanes,2,1,3,2,7,9,5,W 1,36,15,2,4,1,33,13,0,5,0,18636,2:33,
23,331,3:30 PM,Nashville Predators,2,1,3,2,8,10,5,W 1,36,9,1,2,0,35,7,0,2,0,19818,2:41,
27,339,7:30 PM,Columbus Blue Jackets,0,0,1,4,11,11,5,L 1,28,11,0,2,0,34,9,1,3,0,18202,2:30,
28,342,7:00 PM,New York Islanders,1,2,3,4,11,11,6,L 2,46,4,0,2,1,26,4,1,1,0,18108,2:43,
31,349,7:00 PM,Carolina Hurricanes,2,1,4,3,13,12,6,W 1,31,25,0,2,0,32,11,1,4,0,18205,2:29,
32,351,7:00 PM,Vancouver Canucks,2,0,2,0,14,12,6,W 2,31,10,0,4,0,36,12,0,3,0,17943,2:33,
34,355,7:00 PM,St. Louis Blues,2,0,4,3,15,12,7,W 1,31,6,1,3,1,29,6,1,2,0,19676,2:31,
38,5,7:30 PM,Montreal Canadiens,2,0,4,3,16,15,7,W 1,31,8,1,3,0,24,6,0,4,0,19163,2:37,
40,9,1:00 PM,New York Islanders,2,0,4,0,18,15,7,W 3,31,11,0,5,0,20,15,0,3,0,19874,2:25,
41,13,8:00 PM,Boston Bruins,2,0,3,2,19,15,7,W 4,21,9,0,3,0,32,11,1,2,0,19704,2:22,
42,16,1:00 PM,New York Rangers,1,2,2,3,19,15,8,L 1,36,10,1,3,0,31,8,1,4,0,19843,2:36,
44,19,7:00 PM,Toronto Maple Leafs,0,0,2,3,20,16,8,L 1,33,13,1,3,0,35,13,0,3,0,19319,2:38,
46,25,7:00 PM,Boston Bruins,0,0,2,3,20,18,8,L 3,36,8,1,4,0,31,10,2,4,0,19738,2:36,
48,33,7:00 PM,Montreal Canadiens,2,0,4,2,22,18,8,W 2,36,25,2,4,0,32,12,1,4,0,19031,2:31,
50,37,1:00 PM,New York Rangers,1,2,2,3,23,18,9,L 1,28,29,1,4,0,28,19,0,2,0,19819,2:35,
52,40,7:00 PM,Anaheim Ducks,0,0,1,4,23,20,9,L 3,29,19,1,7,0,26,23,1,4,0,18717,2:37,
53,42,7:00 PM,Buffalo Sabres,2,0,5,1,24,20,9,W 1,28,25,0,3,0,42,28,0,6,0,19019,2:24,
