G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,SHG_Opp,Notes
1,275,9:30 PM,Anaheim Ducks,2,0,6,1,1,0,0,W 1,29,18,2,0,36,24,0,0,
2,277,9:00 PM,Nashville Predators,2,0,3,1,2,0,0,W 2,36,10,0,0,27,16,0,0,
6,288,9:00 PM,Dallas Stars,2,0,3,2,6,0,0,W 6,26,10,0,0,41,6,1,0,
7,290,9:00 PM,Detroit Red Wings,0,0,2,4,6,1,0,L 1,40,26,2,0,28,17,2,0,
10,298,9:00 PM,Carolina Hurricanes,2,0,4,2,9,1,0,W 3,34,6,1,0,30,6,0,0,
11,300,8:00 PM,Winnipeg Jets,2,0,3,2,10,1,0,W 4,36,12,0,0,25,4,0,0,
13,306,10:00 PM,Montreal Canadiens,2,0,4,1,12,1,0,W 6,31,16,0,0,30,14,1,0,
14,310,9:30 PM,Nashville Predators,0,0,4,6,12,2,0,L 1,31,16,0,0,28,4,2,0,
15,312,9:00 PM,Calgary Flames,2,0,4,2,13,2,0,W 1,27,9,1,0,32,11,0,0,
16,314,8:00 PM,Washington Capitals,2,0,4,1,14,2,0,W 2,37,6,0,0,34,6,0,0,
19,320,9:00 PM,Florida Panthers,0,0,1,4,14,5,0,L 3,33,10,0,0,33,2,1,0,
20,323,9:00 PM,Chicago Blackhawks,2,0,5,1,15,5,0,W 1,23,2,0,0,37,2,0,0,
23,331,9:00 PM,St. Louis Blues,0,0,1,4,17,6,0,L 1,26,4,0,0,35,10,1,1,
25,334,9:00 PM,Minnesota Wild,2,2,3,2,19,6,0,W 2,25,0,0,0,37,0,0,0,
29,344,9:00 PM,Phoenix Coyotes,0,0,1,3,20,9,0,L 2,30,4,0,0,25,4,1,0,
31,348,9:00 PM,Minnesota Wild,1,2,1,2,21,9,1,L 1,27,2,0,0,27,4,0,0,
32,350,9:00 PM,Dallas Stars,2,0,6,2,22,9,1,W 1,48,10,0,0,33,10,0,0,
34,353,9:30 PM,Edmonton Oilers,2,0,4,2,23,10,1,W 1,39,2,1,1,29,17,0,0,
38,363,8:00 PM,Winnipeg Jets,1,1,1,2,23,11,4,L 4,34,4,0,0,37,2,0,0,
39,365,8:00 PM,Columbus Blue Jackets,2,0,5,3,24,11,4,W 1,23,6,3,0,38,6,0,0,
40,2,9:00 PM,Philadelphia Flyers,2,0,2,1,25,11,4,W 2,31,6,0,0,30,4,0,0,
41,4,3:00 PM,San Jose Sharks,2,0,4,3,26,11,4,W 3,21,13,1,0,33,13,1,0,
42,6,9:00 PM,Calgary Flames,0,0,3,4,26,12,4,L 1,25,4,2,0,19,6,1,0,
43,8,9:30 PM,Ottawa Senators,2,1,4,3,27,12,4,W 1,31,6,1,0,32,2,1,0,
44,10,9:00 PM,New York Islanders,1,1,1,2,27,12,5,L 1,31,4,0,0,24,4,0,0,
47,16,9:00 PM,New Jersey Devils,2,2,2,1,30,12,5,W 3,38,4,0,0,34,6,0,0,
49,21,9:00 PM,Toronto Maple Leafs,0,0,2,5,31,13,5,L 1,37,8,0,0,31,8,1,0,
53,30,9:00 PM,Minnesota Wild,2,0,5,4,34,14,5,W 2,32,30,0,0,35,32,1,0,
54,32,3:00 PM,Buffalo Sabres,2,0,7,1,35,14,5,W 3,39,15,2,0,28,17,1,0,
59,57,10:00 PM,Los Angeles Kings,0,0,4,6,37,17,5,L 1,29,6,3,0,28,10,1,0,
60,59,9:00 PM,Phoenix Coyotes,2,0,4,2,38,17,5,W 1,33,10,2,0,42,18,2,0,
61,61,8:00 PM,Tampa Bay Lightning,2,0,6,3,39,17,5,W 2,35,4,1,0,34,8,0,0,
64,67,3:00 PM,St. Louis Blues,0,0,1,2,41,18,5,L 1,27,2,0,0,25,6,0,0,
65,69,9:00 PM,Winnipeg Jets,2,1,3,2,42,18,5,W 1,34,6,0,0,35,16,1,0,
66,71,9:30 PM,Chicago Blackhawks,2,0,3,2,43,18,5,W 2,29,11,1,0,39,13,0,0,
67,73,9:00 PM,Anaheim Ducks,0,0,4,6,43,19,5,L 1,38,24,2,0,33,24,0,0,
71,80,9:00 PM,Boston Bruins,0,0,0,2,44,21,6,L 3,31,7,0,0,28,11,1,0,
73,86,9:00 PM,Vancouver Canucks,2,1,3,2,46,21,6,W 2,28,15,0,0,31,11,1,0,
74,88,3:00 PM,San Jose Sharks,2,0,3,2,47,21,6,W 3,22,10,1,1,49,10,1,0,
76,93,9:00 PM,New York Rangers,2,2,3,2,49,21,6,W 5,37,10,0,0,31,8,0,0,
78,96,8:00 PM,Pittsburgh Penguins,1,2,2,3,50,21,7,L 1,41,4,0,0,32,10,1,0,
