GP,DOY,Time,Opponent,,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
1,289,9:00 PM,Dallas Stars,,2,0,6,5,1,0,0,W 1,33,8,2,3,0,28,6,2,4,0,18007,2:38,
6,302,9:00 PM,Winnipeg Jets,,0,0,0,1,3,3,0,L 2,37,6,0,4,0,21,8,0,3,0,16135,2:24,
8,306,9:00 PM,Nashville Predators,,0,0,1,5,4,4,0,L 1,29,15,0,4,0,36,13,1,5,0,12142,2:26,
10,310,3:00 PM,Minnesota Wild,,2,0,1,0,5,5,0,W 1,32,8,1,4,0,32,10,0,3,0,16256,2:34,
12,313,9:00 PM,Arizona Coyotes,,0,0,2,4,5,7,0,L 2,27,13,1,1,0,25,7,1,4,0,13858,2:27,
13,316,9:00 PM,Winnipeg Jets,,2,1,3,2,6,7,0,W 1,28,17,1,5,0,18,15,1,6,0,16517,2:30,
14,318,7:00 PM,Boston Bruins,,0,0,0,2,6,8,0,L 1,21,4,0,2,0,46,4,0,2,0,15808,2:31,
15,320,9:00 PM,Los Angeles Kings,,2,0,4,1,7,8,0,W 1,30,8,0,4,0,33,10,1,4,0,14805,2:35,
19,328,10:00 PM,Edmonton Oilers,,0,0,3,6,9,10,0,L 1,28,16,0,2,0,41,8,2,6,0,15185,2:27,
20,331,10:00 PM,Vancouver Canucks,,1,2,2,3,9,10,1,L 2,35,11,0,4,0,31,13,1,3,0,15511,2:39,
21,334,9:00 PM,Nashville Predators,,0,0,3,5,9,11,1,L 3,40,7,0,1,0,33,7,0,2,0,12082,2:29,
22,336,9:00 PM,Columbus Blue Jackets,,0,0,2,3,9,12,1,L 4,20,15,1,3,0,37,13,0,4,0,12141,2:25,
23,338,9:00 PM,Dallas Stars,,0,0,0,3,9,13,1,L 5,23,8,0,4,0,33,8,1,4,0,16725,2:20,
28,349,10:00 PM,Philadelphia Flyers,,0,0,3,4,11,16,1,L 1,29,11,0,3,0,25,11,0,3,0,14456,2:33,
29,351,9:00 PM,Florida Panthers,,0,0,1,3,11,17,1,L 2,31,6,0,6,0,23,14,0,2,1,14679,2:27,
32,357,9:00 PM,Toronto Maple Leafs,,0,0,0,6,11,20,1,L 5,38,20,0,6,0,31,22,2,5,0,15502,2:33,
