G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
2,304,4:30p ET,Utah Jazz,1,0,88,75,2,0,W 2,
3,305,10:30p ET,Phoenix Suns,1,0,116,98,3,0,W 3,
4,307,10:30p ET,Oklahoma City Thunder,0,0,83,85,3,1,L 1,
7,312,10:30p ET,Detroit Pistons,1,0,114,82,6,1,W 3,
8,314,10:30p ET,Portland Trail Blazers,1,0,111,80,7,1,W 4,
11,319,10:30p ET,Brooklyn Nets,1,0,127,95,10,1,W 7,
12,321,10:30p ET,Memphis Grizzlies,0,0,107,111,10,2,L 1,
14,324,10:30p ET,Chicago Bulls,1,0,102,95,12,2,W 2,
15,326,10:30p ET,Toronto Raptors,1,0,123,115,13,2,W 3,
22,339,9:30p ET,Indiana Pacers,0,0,102,111,16,6,L 1,
23,342,10:30p ET,Golden State Warriors,0,0,98,115,16,7,L 2,
24,345,10:30p ET,New Orleans Pelicans,1,0,133,105,17,7,W 1,
25,347,10:30p ET,Portland Trail Blazers,1,0,121,120,18,7,W 2,
29,355,10:30p ET,Denver Nuggets,1,0,119,102,21,8,W 1,
30,357,10:30p ET,San Antonio Spurs,1,0,106,101,22,8,W 2,
31,358,10:30p ET,Dallas Mavericks,0,0,88,90,22,9,L 1,
33,361,10:30p ET,Denver Nuggets,0,0,102,106,22,11,L 3,
37,2,10:30p ET,Phoenix Suns,1,0,109,98,23,14,W 1,
38,4,10:30p ET,Memphis Grizzlies,1,0,115,106,24,14,W 2,
40,8,3:30p ET,Miami Heat,1,0,98,86,26,14,W 4,
41,11,10:30p ET,Orlando Magic,1,0,105,96,27,14,W 5,
42,14,3:30p ET,Los Angeles Lakers,1,0,113,97,28,14,W 6,
43,16,10:30p ET,Oklahoma City Thunder,1,0,120,98,29,14,W 7,
44,19,10:30p ET,Minnesota Timberwolves,0,0,101,104,29,15,L 1,
50,33,10:30p ET,Golden State Warriors,0,0,120,133,31,19,L 1,
56,46,10:30p ET,Atlanta Hawks,1,0,99,84,35,21,W 4,
58,55,10:30p ET,San Antonio Spurs,0,0,97,105,35,23,L 2,
59,57,9:30p ET,Charlotte Hornets,1,1,124,121,36,23,W 1,
60,60,10:30p ET,Houston Rockets,0,0,103,122,36,24,L 1,
63,65,10:30p ET,Boston Celtics,1,0,116,102,38,25,W 2,
66,70,3:30p ET,Philadelphia 76ers,1,0,112,100,40,26,W 2,
68,74,10:30p ET,Milwaukee Bucks,0,0,96,97,40,28,L 2,
70,77,8:30p ET,Cleveland Cavaliers,1,0,108,78,41,29,W 1,
71,79,10:30p ET,New York Knicks,1,0,114,105,42,29,W 2,
74,84,3:30p ET,Utah Jazz,1,0,108,95,44,30,W 1,
75,85,3:30p ET,Sacramento Kings,0,0,97,98,44,31,L 1,
76,88,10:30p ET,Washington Wizards,1,0,133,124,45,31,W 1,
78,91,3:30p ET,Los Angeles Lakers,1,0,115,104,47,31,W 3,
79,95,10:30p ET,Dallas Mavericks,1,0,112,101,48,31,W 4,
81,100,10:30p ET,Houston Rockets,1,0,125,96,50,31,W 6,
82,102,10:30p ET,Sacramento Kings,1,0,115,95,51,31,W 7,
