G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,303,7:00p ET,Boston Celtics,1,0,93,87,1,0,W 1,
4,309,7:00p ET,Miami Heat,0,0,95,104,2,2,L 1,
7,313,7:00p ET,Utah Jazz,1,0,115,91,3,4,W 1,
10,319,7:00p ET,Chicago Bulls,0,0,80,96,4,6,L 1,
11,321,1:00p ET,Portland Trail Blazers,0,1,110,118,4,7,L 2,
13,326,7:00p ET,Washington Wizards,1,0,96,88,6,7,W 2,
14,330,7:00p ET,Brooklyn Nets,0,0,100,102,6,8,L 1,
15,333,7:00p ET,Miami Heat,0,0,83,90,6,9,L 2,
16,335,1:00p ET,Denver Nuggets,0,0,98,112,6,10,L 3,
20,344,7:00p ET,San Antonio Spurs,0,0,103,116,7,13,L 1,
21,347,7:00p ET,Philadelphia 76ers,1,0,108,100,8,13,W 1,
23,352,7:00p ET,Charlotte Bobcats,0,1,102,104,9,14,L 1,
28,362,7:00p ET,New York Knicks,1,0,115,100,13,15,W 2,
30,1,7:00p ET,Indiana Pacers,1,0,95,82,15,15,W 4,
34,8,7:00p ET,Detroit Pistons,1,0,112,91,17,17,W 1,
35,11,7:00p ET,Brooklyn Nets,1,0,96,80,18,17,W 2,
36,13,7:00p ET,Milwaukee Bucks,1,0,116,94,19,17,W 3,
38,17,7:00p ET,Minnesota Timberwolves,1,0,94,89,20,18,W 1,
39,19,1:00p ET,Los Angeles Lakers,0,0,106,112,20,19,L 1,
41,22,7:00p ET,Dallas Mavericks,1,0,93,85,21,20,W 1,
43,25,7:00p ET,Los Angeles Clippers,0,0,118,126,22,21,L 1,
45,29,7:00p ET,Orlando Magic,1,0,98,83,24,21,W 2,
51,41,7:00p ET,New Orleans Pelicans,1,0,108,101,27,24,W 1,
52,43,7:00p ET,Atlanta Hawks,1,0,104,83,28,24,W 2,
54,50,7:00p ET,Chicago Bulls,0,0,92,94,29,25,L 1,
55,52,7:00p ET,Cleveland Cavaliers,1,0,98,91,30,25,W 1,
56,54,6:00p ET,Orlando Magic,1,0,105,90,31,25,W 2,
58,58,7:00p ET,Washington Wizards,0,3,129,134,32,26,L 1,
59,61,4:00p ET,Golden State Warriors,1,0,104,98,33,26,W 1,
60,66,7:00p ET,Sacramento Kings,1,0,99,87,34,26,W 2,
63,71,7:00p ET,Detroit Pistons,1,0,101,87,36,27,W 1,
64,73,7:00p ET,Memphis Grizzlies,1,0,99,86,37,27,W 2,
65,75,1:00p ET,Phoenix Suns,0,0,113,121,37,28,L 1,
68,80,7:00p ET,Oklahoma City Thunder,0,2,118,119,38,30,L 1,
69,82,1:00p ET,Atlanta Hawks,1,0,96,86,39,30,W 1,
72,87,7:00p ET,Boston Celtics,1,0,105,103,41,31,W 2,
75,92,7:00p ET,Houston Rockets,1,0,107,103,43,32,W 1,
76,94,7:00p ET,Indiana Pacers,1,0,102,94,44,32,W 2,
78,99,7:00p ET,Philadelphia 76ers,1,0,125,114,46,32,W 4,
79,101,7:00p ET,New York Knicks,0,0,100,108,46,33,L 1,
81,104,7:00p ET,Milwaukee Bucks,1,0,110,100,48,33,W 2,
