G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,SHG_Opp,Notes
1,276,8:30 PM,Florida Panthers,0,0,2,4,0,1,0,L 1,27,38,0,1,39,26,0,0,
2,278,8:00 PM,Washington Capitals,2,0,2,1,1,1,0,W 1,21,6,0,0,26,4,1,0,
6,290,8:30 PM,San Jose Sharks,2,2,4,3,3,3,0,W 1,31,15,0,0,35,11,0,0,
9,297,8:30 PM,Calgary Flames,2,0,5,1,4,5,0,W 1,34,9,0,0,29,11,0,0,
10,299,7:00 PM,Winnipeg Jets,1,2,1,2,4,5,1,L 1,36,4,0,0,38,6,0,0,
13,305,8:30 PM,Colorado Avalanche,1,1,2,3,5,6,2,L 2,29,13,0,0,29,9,0,0,
17,313,8:00 PM,Chicago Blackhawks,0,0,2,5,8,7,2,L 1,33,4,0,0,31,12,1,1,
21,325,8:30 PM,New York Rangers,0,0,2,3,11,8,2,L 1,43,4,1,0,27,10,1,0,
23,330,8:00 PM,Anaheim Ducks,2,0,6,3,12,9,2,W 1,33,4,0,0,31,6,1,0,
24,333,8:30 PM,Chicago Blackhawks,1,2,1,2,12,9,3,L 1,29,4,0,0,26,4,0,0,
25,335,6:00 PM,Edmonton Oilers,1,2,2,3,12,9,4,L 2,45,8,0,1,32,8,0,0,
28,341,2:00 PM,Philadelphia Flyers,2,0,5,1,14,9,5,W 1,34,20,0,1,28,45,0,0,
29,344,8:30 PM,Chicago Blackhawks,0,0,2,6,14,10,5,L 1,29,24,0,0,33,22,1,0,
33,351,8:30 PM,Colorado Avalanche,2,0,3,2,16,12,5,W 1,28,19,1,0,27,17,1,0,
34,353,8:30 PM,Vancouver Canucks,2,0,4,1,17,12,5,W 2,26,6,0,0,28,18,0,0,
37,361,8:30 PM,Nashville Predators,2,0,4,1,19,12,6,W 2,34,12,0,0,34,10,0,0,
38,363,6:00 PM,St. Louis Blues,1,1,2,3,19,12,7,L 1,30,4,1,0,22,10,2,0,
39,365,8:00 PM,Los Angeles Kings,2,0,3,2,20,12,7,W 1,32,6,2,0,25,12,1,0,
40,2,8:30 PM,Montreal Canadiens,0,0,4,6,20,13,7,L 1,32,20,1,0,28,18,1,0,
41,4,8:00 PM,Detroit Red Wings,0,0,1,5,20,14,7,L 2,45,8,0,1,27,14,0,0,
45,12,6:00 PM,New York Islanders,0,0,2,4,20,18,7,L 6,31,4,0,0,31,4,0,0,
46,14,8:30 PM,Edmonton Oilers,2,0,5,2,21,18,7,W 1,30,9,1,0,33,7,1,0,
47,16,8:30 PM,Boston Bruins,0,0,2,4,21,19,7,L 1,34,12,1,0,41,14,1,0,
50,21,8:00 PM,Minnesota Wild,2,0,4,0,22,20,8,W 1,36,15,2,0,18,21,0,0,
51,23,8:00 PM,Toronto Maple Leafs,2,0,7,1,23,20,8,W 2,28,22,1,1,25,30,0,0,
52,25,8:00 PM,Pittsburgh Penguins,2,0,3,0,24,20,8,W 3,28,10,2,0,24,8,0,0,
53,27,8:30 PM,Colorado Avalanche,0,0,3,4,24,21,8,L 1,44,4,1,0,21,8,1,0,
54,30,8:30 PM,New Jersey Devils,1,1,2,3,24,21,9,L 2,16,10,0,0,24,10,2,0,
58,39,8:00 PM,Phoenix Coyotes,2,0,2,1,27,21,10,W 1,33,8,0,0,27,10,1,0,
59,58,8:30 PM,Carolina Hurricanes,2,0,4,1,28,21,10,W 2,34,30,0,2,30,33,0,0,
60,60,3:00 PM,Tampa Bay Lightning,0,0,2,4,28,22,10,L 1,41,6,0,0,21,6,0,0,
61,62,8:00 PM,Buffalo Sabres,2,0,3,2,29,22,10,W 1,39,2,1,0,23,10,0,0,
63,65,8:30 PM,Vancouver Canucks,2,0,6,1,30,23,10,W 1,22,12,2,0,33,23,1,0,
64,67,8:30 PM,Minnesota Wild,2,0,4,3,31,23,10,W 2,38,8,2,0,35,21,1,1,
67,73,8:30 PM,Calgary Flames,1,2,3,4,32,23,11,L 1,25,4,0,0,30,2,1,0,
71,81,3:00 PM,Ottawa Senators,2,0,3,1,33,26,11,W 1,44,28,0,0,27,28,0,0,
72,83,8:30 PM,Winnipeg Jets,2,0,2,1,34,26,11,W 2,27,8,2,0,33,8,1,0,
74,87,8:30 PM,Nashville Predators,2,0,7,3,35,27,11,W 1,29,2,1,0,28,2,0,0,
80,98,8:30 PM,Nashville Predators,2,2,3,2,39,29,11,W 1,30,2,0,0,29,4,0,0,
81,99,8:30 PM,Columbus Blue Jackets,0,0,1,3,39,30,11,L 1,34,6,1,0,25,8,1,0,Make-up game for postponed 2014-03-10 game
82,101,8:30 PM,St. Louis Blues,2,0,3,0,40,30,11,W 1,40,8,1,0,22,14,0,0,
