G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,302,10:30p ET,Los Angeles Clippers,1,0,116,103,1,0,W 1,
3,305,10:30p ET,San Antonio Spurs,0,0,85,91,1,2,L 2,
4,307,9:30p ET,Atlanta Hawks,1,0,105,103,2,2,W 1,
8,314,9:30p ET,Minnesota Timberwolves,0,0,90,113,3,5,L 2,
9,316,10:30p ET,New Orleans Pelicans,1,0,116,95,4,5,W 1,
11,319,10:30p ET,Memphis Grizzlies,0,0,86,89,4,7,L 2,
12,321,9:30p ET,Detroit Pistons,1,0,114,99,5,7,W 1,
13,326,10:30p ET,Golden State Warriors,1,0,102,95,6,7,W 2,
14,328,9:30p ET,Sacramento Kings,1,0,100,86,7,7,W 3,
18,335,9:30p ET,Portland Trail Blazers,0,0,108,114,9,9,L 1,
20,342,9:30p ET,Toronto Raptors,0,0,94,106,10,10,L 1,
21,344,10:30p ET,Phoenix Suns,0,0,108,114,10,11,L 2,
26,354,10:30p ET,Minnesota Timberwolves,1,0,104,91,13,13,W 2,
29,359,5:00p ET,Miami Heat,0,0,95,101,13,16,L 3,
31,363,9:30p ET,Philadelphia 76ers,0,0,104,111,13,18,L 5,
32,365,10:30p ET,Milwaukee Bucks,0,0,79,94,13,19,L 6,
33,3,10:30p ET,Utah Jazz,1,0,110,99,14,19,W 1,
34,5,9:30p ET,Denver Nuggets,0,0,115,137,14,20,L 1,
38,14,10:30p ET,Cleveland Cavaliers,0,0,118,120,14,24,L 5,
46,28,10:30p ET,Indiana Pacers,0,0,92,104,16,30,L 5,
47,31,10:30p ET,Charlotte Bobcats,0,0,100,110,16,31,L 6,
51,40,3:30p ET,Chicago Bulls,0,0,86,92,18,33,L 1,
52,42,10:30p ET,Utah Jazz,0,0,79,96,18,34,L 2,
53,44,10:30p ET,Oklahoma City Thunder,0,0,103,107,18,35,L 3,
54,50,10:30p ET,Houston Rockets,0,0,108,134,18,36,L 4,
55,52,10:30p ET,Boston Celtics,1,0,101,92,19,36,W 1,
56,54,9:00p ET,Brooklyn Nets,0,0,102,108,19,37,L 1,
59,59,10:30p ET,Sacramento Kings,1,0,126,122,20,39,W 1,
61,63,10:30p ET,New Orleans Pelicans,0,0,125,132,21,40,L 1,
62,65,10:30p ET,Los Angeles Clippers,0,0,94,142,21,41,L 2,
64,68,3:30p ET,Oklahoma City Thunder,1,0,114,110,22,42,W 1,
67,78,10:30p ET,San Antonio Spurs,0,0,109,125,22,45,L 3,
68,80,10:30p ET,Washington Wizards,0,0,107,117,22,46,L 4,
69,82,9:30p ET,Orlando Magic,1,0,103,94,23,46,W 1,
70,84,10:30p ET,New York Knicks,1,0,127,96,24,46,W 2,
73,89,9:30p ET,Phoenix Suns,1,0,115,99,25,48,W 1,
74,91,10:30p ET,Portland Trail Blazers,0,0,112,124,25,49,L 1,
76,94,10:30p ET,Dallas Mavericks,0,0,95,107,25,51,L 3,
78,98,10:30p ET,Houston Rockets,0,0,130,145,25,53,L 5,
79,101,10:30p ET,Golden State Warriors,0,0,95,112,25,54,L 6,
80,103,9:30p ET,Memphis Grizzlies,0,0,90,102,25,55,L 7,
