GP,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,OL,Streak,S_Tm,PIM_Tm,PPG_Tm,PPO_Tm,SHG_Tm,S_Opp,PIM_Opp,PPG_Opp,PPO_Opp,SHG_Opp,Att.,LOG,Notes
1,286,8:00 PM,St. Louis Blues,0,0,2,5,0,1,0,L 1,19,10,1,4,0,33,8,3,5,0,21729,2:29,
3,289,8:30 PM,Nashville Predators,2,0,5,3,1,2,0,W 1,27,4,2,3,0,36,6,1,2,0,21665,2:29,
4,292,8:30 PM,Philadelphia Flyers,2,0,7,4,2,2,0,W 2,28,8,2,3,0,27,6,2,4,0,21263,2:26,
6,296,7:00 PM,Toronto Maple Leafs,2,2,5,4,3,3,0,W 1,35,4,0,6,0,34,12,1,2,0,21735,2:51,
7,298,8:30 PM,Calgary Flames,1,2,2,3,3,3,1,L 1,33,10,0,2,0,31,4,2,5,0,21348,2:51,
9,304,7:00 PM,Los Angeles Kings,2,0,3,0,5,3,1,W 2,29,2,2,7,0,32,14,0,2,0,21329,2:23,
10,306,8:30 PM,Calgary Flames,2,0,5,1,6,3,1,W 3,22,8,1,4,0,34,8,0,4,1,21166,2:23,
11,308,8:30 PM,Colorado Avalanche,2,0,4,0,7,3,1,W 4,21,6,0,2,0,38,4,0,3,0,21580,2:25,
13,311,7:00 PM,Dallas Stars,2,1,4,3,9,3,1,W 6,33,8,0,4,0,35,8,1,4,1,21901,2:49,
15,316,8:30 PM,Washington Capitals,1,1,2,3,10,3,2,L 1,34,0,1,2,0,28,4,0,0,1,22075,2:32,
16,318,7:00 PM,Montreal Canadiens,2,0,3,2,11,3,2,W 1,35,6,0,2,0,23,6,1,2,0,21762,2:36,
24,334,8:30 PM,Florida Panthers,2,2,2,1,15,6,3,W 1,33,6,0,2,0,39,4,1,3,0,21475,2:46,
25,336,8:30 PM,New Jersey Devils,2,1,4,3,16,6,3,W 2,33,4,0,4,0,33,8,1,2,0,21351,2:33,
27,339,7:00 PM,Winnipeg Jets,0,0,1,2,16,8,3,L 2,26,9,0,3,0,32,11,1,2,0,21383,2:30,
28,341,8:30 PM,Arizona Coyotes,2,0,4,0,17,8,3,W 1,27,4,1,3,0,22,6,0,2,0,21327,2:26,
29,344,8:30 PM,New York Rangers,1,1,0,1,17,8,4,L 1,26,4,0,1,0,37,2,0,2,0,21770,2:31,
30,346,7:00 PM,Dallas Stars,2,0,3,1,18,8,4,W 1,27,4,1,3,0,24,6,0,2,0,21451,2:24,
34,353,7:00 PM,San Jose Sharks,2,0,4,1,22,8,4,W 5,26,4,0,2,0,34,4,0,2,0,22027,2:16,
35,355,8:30 PM,Ottawa Senators,0,0,3,4,22,9,4,L 1,26,10,1,3,0,30,6,1,5,0,21614,2:32,
36,358,8:30 PM,Colorado Avalanche,1,1,1,2,22,9,5,L 2,39,4,1,4,0,34,10,0,1,0,21918,2:32,
37,362,8:30 PM,Winnipeg Jets,0,0,1,3,22,10,5,L 3,35,2,0,3,0,34,6,0,1,0,22117,2:27,
41,5,8:30 PM,Buffalo Sabres,2,1,4,3,24,12,5,W 1,43,4,0,2,0,20,4,2,3,0,21824,2:21,
42,6,8:30 PM,Carolina Hurricanes,2,0,2,1,25,12,5,W 2,24,6,1,3,0,40,6,0,3,0,21822,2:29,
43,8,7:00 PM,Nashville Predators,2,0,5,2,26,12,5,W 3,31,4,0,1,0,27,2,0,3,0,21658,2:27,
44,10,8:30 PM,Detroit Red Wings,2,1,4,3,27,12,5,W 4,43,4,2,6,0,36,14,0,1,0,22019,2:39,
46,15,7:00 PM,Minnesota Wild,0,0,2,3,27,14,5,L 2,35,4,0,2,0,32,6,1,1,0,22051,2:26,
49,22,7:30 PM,Vancouver Canucks,2,0,4,2,30,14,5,W 3,35,6,0,1,0,28,2,1,3,0,21689,2:35,
50,24,8:30 PM,Tampa Bay Lightning,0,0,2,5,30,15,5,L 1,36,4,0,3,0,36,16,0,2,0,21617,2:30,
51,26,8:30 PM,Winnipeg Jets,0,0,3,5,30,16,5,L 2,41,10,1,5,0,33,10,1,5,0,21746,2:23,
