G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,302,8:00p ET,Chicago Bulls,0,0,80,104,0,1,L 1,
3,306,7:30p ET,Charlotte Hornets,1,0,96,93,2,1,W 2,
4,308,7:30p ET,Washington Wizards,0,0,83,98,2,2,L 1,
8,314,7:30p ET,Atlanta Hawks,0,0,85,91,2,6,L 5,
9,316,7:30p ET,Orlando Magic,0,0,95,97,2,7,L 6,
10,318,7:30p ET,Utah Jazz,0,0,100,102,2,8,L 7,
11,320,1:00p ET,Denver Nuggets,1,0,109,93,3,8,W 1,
14,326,7:30p ET,Philadelphia 76ers,1,0,91,83,4,10,W 1,
18,334,7:30p ET,Miami Heat,0,0,79,86,4,14,L 4,
19,336,7:30p ET,Brooklyn Nets,0,0,93,98,4,15,L 5,
20,338,8:00p ET,Cleveland Cavaliers,0,0,87,90,4,16,L 6,
22,341,7:30p ET,Portland Trail Blazers,0,0,99,103,4,18,L 8,
26,348,7:30p ET,Toronto Raptors,0,1,90,95,5,21,L 1,
27,350,8:00p ET,Dallas Mavericks,0,0,87,107,5,22,L 2,
29,354,1:00p ET,Phoenix Suns,0,0,90,99,5,24,L 4,
31,359,12:00p ET,Washington Wizards,0,0,91,102,5,26,L 6,
35,2,7:30p ET,Detroit Pistons,0,0,81,97,5,30,L 10,
36,4,7:30p ET,Milwaukee Bucks,0,0,82,95,5,31,L 11,
39,8,8:00p ET,Houston Rockets,0,0,96,120,5,34,L 14,
40,10,1:00p ET,Charlotte Hornets,0,0,82,110,5,35,L 15,
42,19,5:30p ET,New Orleans Pelicans,1,0,99,92,6,36,W 1,
44,23,7:30p ET,Orlando Magic,1,0,113,106,8,36,W 3,
46,28,8:00p ET,Oklahoma City Thunder,1,0,100,92,9,37,W 1,
48,32,2:00p ET,Los Angeles Lakers,1,0,92,80,10,38,W 1,
49,34,7:30p ET,Boston Celtics,0,0,97,108,10,39,L 1,
51,38,7:30p ET,Golden State Warriors,0,0,92,106,10,41,L 3,
54,51,7:30p ET,Miami Heat,0,0,87,111,10,44,L 6,
55,53,1:00p ET,Cleveland Cavaliers,0,0,83,101,10,45,L 7,
58,59,7:30p ET,Toronto Raptors,1,0,103,98,12,46,W 2,
59,62,7:00p ET,Sacramento Kings,0,0,86,124,12,47,L 1,
61,66,7:30p ET,Indiana Pacers,0,0,86,92,12,49,L 3,
67,76,7:30p ET,San Antonio Spurs,1,1,104,100,14,53,W 1,
68,78,7:30p ET,Minnesota Timberwolves,0,1,92,95,14,54,L 1,
71,82,7:30p ET,Memphis Grizzlies,0,0,82,103,14,57,L 4,
72,84,7:00p ET,Los Angeles Clippers,0,0,80,111,14,58,L 5,
73,86,7:30p ET,Boston Celtics,0,0,92,96,14,59,L 6,
75,91,7:30p ET,Brooklyn Nets,0,0,98,100,14,61,L 8,
77,95,7:30p ET,Philadelphia 76ers,1,0,101,91,15,62,W 1,
78,98,7:30p ET,Indiana Pacers,0,0,86,102,15,63,L 1,
79,100,7:30p ET,Milwaukee Bucks,0,0,91,99,15,64,L 2,
82,105,8:00p ET,Detroit Pistons,0,0,90,112,17,65,L 1,
