G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,302,7:30p ET,Brooklyn Nets,1,0,121,105,1,0,W 1,
4,309,7:30p ET,Toronto Raptors,0,0,107,110,1,3,L 3,
5,311,7:30p ET,Indiana Pacers,1,0,101,98,2,3,W 1,
7,316,7:30p ET,Oklahoma City Thunder,0,0,94,109,3,4,L 1,
8,318,7:30p ET,Cleveland Cavaliers,0,0,121,122,3,5,L 2,
9,321,7:30p ET,Phoenix Suns,0,0,114,118,3,6,L 3,
12,327,6:00p ET,Portland Trail Blazers,0,0,88,94,4,8,L 2,
13,332,1:00p ET,Chicago Bulls,0,0,102,109,4,9,L 3,
14,334,1:00p ET,San Antonio Spurs,0,0,89,111,4,10,L 4,
16,337,7:30p ET,Detroit Pistons,1,1,109,102,5,11,W 1,
17,339,7:30p ET,Los Angeles Lakers,1,0,113,96,6,11,W 2,
18,341,1:00p ET,Washington Wizards,1,0,101,93,7,11,W 3,
21,346,7:30p ET,New York Knicks,0,0,95,101,7,14,L 3,
23,351,7:30p ET,Orlando Magic,1,0,109,92,9,14,W 2,
24,353,7:30p ET,Minnesota Timberwolves,1,0,114,98,10,14,W 3,
27,360,1:00p ET,Brooklyn Nets,0,0,107,109,10,17,L 3,
29,365,1:00p ET,Sacramento Kings,1,0,106,84,11,18,W 1,
30,2,7:30p ET,Dallas Mavericks,0,0,101,119,11,19,L 1,
32,5,7:30p ET,Charlotte Hornets,0,0,95,104,11,21,L 3,
36,12,7:30p ET,New Orleans Pelicans,1,0,108,100,13,23,W 1,
37,14,8:00p ET,Atlanta Hawks,0,0,91,105,13,24,L 1,
38,16,7:30p ET,Chicago Bulls,0,0,103,119,13,25,L 2,
45,30,7:30p ET,Houston Rockets,0,0,87,93,16,29,L 2,
46,32,1:00p ET,Miami Heat,0,0,75,83,16,30,L 3,
48,35,7:30p ET,Denver Nuggets,1,0,104,100,18,30,W 2,
49,37,7:30p ET,Philadelphia 76ers,1,0,107,96,19,30,W 3,
51,42,7:30p ET,Atlanta Hawks,1,0,89,88,20,31,W 1,
55,56,7:30p ET,New York Knicks,1,0,115,94,22,33,W 2,
56,58,7:30p ET,Charlotte Hornets,1,0,106,98,23,33,W 3,
57,60,6:00p ET,Golden State Warriors,0,0,101,106,23,34,L 1,
59,63,7:30p ET,Utah Jazz,1,0,85,84,24,35,W 1,
63,70,7:30p ET,Memphis Grizzlies,1,0,95,92,27,36,W 2,
64,72,7:30p ET,Orlando Magic,1,0,95,88,28,36,W 3,
66,75,7:30p ET,Philadelphia 76ers,1,0,108,89,30,36,W 5,
69,81,6:00p ET,Detroit Pistons,0,1,97,105,30,39,L 3,
71,84,7:30p ET,Miami Heat,0,0,86,93,31,40,L 1,
73,88,6:00p ET,Los Angeles Clippers,0,0,106,119,32,41,L 1,
75,91,7:30p ET,Indiana Pacers,1,0,100,87,34,41,W 2,
76,93,7:30p ET,Milwaukee Bucks,0,0,101,110,34,42,L 1,
80,102,3:00p ET,Cleveland Cavaliers,1,0,117,78,38,42,W 4,
81,104,7:30p ET,Toronto Raptors,1,0,95,93,39,42,W 5,
