G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
1,300,7:30p ET,Brooklyn Nets,1,0,122,117,1,0,W 1,
4,307,8:00p ET,Chicago Bulls,1,0,107,100,3,1,W 2,
6,311,7:30p ET,Denver Nuggets,0,0,107,123,3,3,L 2,
8,316,7:30p ET,New York Knicks,1,0,115,87,4,4,W 1,
11,321,7:30p ET,Dallas Mavericks,1,0,90,83,6,5,W 1,
12,323,8:00p ET,Golden State Warriors,0,0,88,104,6,6,L 1,
16,330,1:00p ET,San Antonio Spurs,0,0,103,109,9,7,L 1,
18,335,7:30p ET,Detroit Pistons,0,0,114,121,10,8,L 1,
19,337,7:30p ET,Sacramento Kings,1,0,97,92,11,8,W 1,
23,344,7:30p ET,Toronto Raptors,0,0,94,101,13,10,L 1,
26,351,7:30p ET,Charlotte Hornets,1,0,96,88,14,12,W 1,
30,358,7:30p ET,Oklahoma City Thunder,0,0,112,117,17,13,L 1,
32,362,7:30p ET,Memphis Grizzlies,1,0,113,103,19,13,W 2,
34,365,7:30p ET,Miami Heat,1,0,117,114,20,14,W 1,
35,3,7:30p ET,Utah Jazz,1,0,115,104,21,14,W 2,
36,6,7:30p ET,Philadelphia 76ers,1,0,110,106,22,14,W 3,
37,7,7:30p ET,New Orleans Pelicans,1,0,117,108,23,14,W 4,
39,11,8:00p ET,Washington Wizards,1,0,117,108,24,15,W 1,
41,16,7:30p ET,Charlotte Hornets,1,0,108,98,26,15,W 3,
42,18,7:30p ET,New York Knicks,0,0,106,117,26,16,L 1,
43,21,5:00p ET,Portland Trail Blazers,0,1,123,127,26,17,L 2,
45,25,7:30p ET,Houston Rockets,1,0,120,109,27,18,W 1,
46,27,7:30p ET,Orlando Magic,1,0,128,98,28,18,W 2,
48,30,8:00p ET,Detroit Pistons,1,0,113,109,30,18,W 4,
49,32,7:30p ET,Toronto Raptors,1,0,109,104,31,18,W 5,
50,34,8:00p ET,Los Angeles Lakers,1,0,113,107,32,18,W 6,
51,36,2:00p ET,Los Angeles Clippers,1,0,107,102,33,18,W 7,
56,46,7:30p ET,Philadelphia 76ers,1,0,116,108,37,19,W 4,
60,58,7:30p ET,Atlanta Hawks,0,0,98,114,38,22,L 1,
61,60,8:00p ET,Cleveland Cavaliers,1,0,103,99,39,22,W 1,
67,71,3:30p ET,Chicago Bulls,1,0,100,80,42,25,W 1,
68,74,7:30p ET,Minnesota Timberwolves,1,0,117,104,43,25,W 2,
71,79,7:30p ET,Washington Wizards,1,0,110,102,45,26,W 1,
72,81,7:30p ET,Indiana Pacers,1,0,109,100,46,26,W 2,
73,83,7:30p ET,Phoenix Suns,1,0,130,120,47,26,W 3,
74,85,6:00p ET,Miami Heat,1,0,112,108,48,26,W 4,
75,88,7:30p ET,Milwaukee Bucks,0,0,100,103,48,27,L 1,
76,90,7:30p ET,Orlando Magic,1,0,117,116,49,27,W 1,
78,95,8:00p ET,Cleveland Cavaliers,0,0,91,114,50,28,L 1,
81,100,7:30p ET,Brooklyn Nets,1,0,114,105,52,29,W 2,
82,102,8:00p ET,Milwaukee Bucks,1,0,112,94,53,29,W 3,
