G,DOY,Time,Opponent,Result,Overtime,For,Against,W,L,Streak,Notes
2,302,8:00p ET,Atlanta Hawks,0,0,101,112,1,1,L 1,
4,306,7:30p ET,San Antonio Spurs,0,0,84,94,2,2,L 1,
6,310,7:30p ET,Milwaukee Bucks,0,0,92,99,2,4,L 3,
7,312,3:30p ET,Los Angeles Lakers,1,0,99,95,3,4,W 1,
10,317,7:30p ET,Cleveland Cavaliers,0,0,84,90,4,6,L 2,
11,319,12:00p ET,New Orleans Pelicans,1,0,95,87,5,6,W 1,
12,321,7:30p ET,Charlotte Hornets,1,0,102,94,6,6,W 2,
17,331,7:30p ET,Miami Heat,0,0,78,97,8,9,L 3,
18,333,7:30p ET,Houston Rockets,0,1,111,116,8,10,L 4,
19,336,7:30p ET,Philadelphia 76ers,1,0,99,87,9,10,W 1,
20,338,7:00p ET,Brooklyn Nets,1,0,108,91,10,10,W 2,
22,341,7:30p ET,Dallas Mavericks,0,0,97,104,10,12,L 2,
26,350,7:30p ET,Minnesota Timberwolves,1,0,107,102,12,14,W 2,
28,353,7:30p ET,Chicago Bulls,1,0,107,91,14,14,W 4,
29,355,7:30p ET,Orlando Magic,0,0,99,107,14,15,L 1,
33,363,7:30p ET,Detroit Pistons,1,0,108,96,15,18,W 1,
35,3,3:30p ET,Atlanta Hawks,1,0,111,97,16,19,W 1,
39,10,7:30p ET,Milwaukee Bucks,1,0,100,88,19,20,W 1,
40,12,7:30p ET,Boston Celtics,1,0,120,114,20,20,W 2,
43,18,1:00p ET,Philadelphia 76ers,1,2,119,113,21,22,W 1,
44,20,7:30p ET,Utah Jazz,1,1,118,111,22,22,W 2,
45,22,7:30p ET,Los Angeles Clippers,0,0,88,116,22,23,L 1,
47,26,7:30p ET,Oklahoma City Thunder,0,1,122,128,22,25,L 3,
49,29,7:30p ET,Phoenix Suns,1,0,102,84,23,26,W 1,
50,31,7:30p ET,Golden State Warriors,0,0,95,116,23,27,L 1,
51,33,7:30p ET,Boston Celtics,0,0,89,97,23,28,L 2,
53,36,7:30p ET,Memphis Grizzlies,0,0,85,91,23,30,L 4,
54,38,1:00p ET,Denver Nuggets,0,0,96,101,23,31,L 5,
55,40,8:00p ET,Washington Wizards,0,0,108,111,23,32,L 6,
58,53,7:30p ET,Toronto Raptors,0,0,95,122,24,34,L 1,
60,57,7:30p ET,Orlando Magic,1,0,108,95,25,35,W 1,
61,59,7:30p ET,Miami Heat,0,0,81,98,25,36,L 1,
62,61,7:30p ET,Portland Trail Blazers,0,0,85,104,25,37,L 2,
64,65,7:00p ET,Detroit Pistons,1,0,102,89,26,38,W 1,
71,80,7:30p ET,Sacramento Kings,0,0,80,88,28,43,L 3,
73,84,7:30p ET,Chicago Bulls,1,0,106,94,30,43,W 2,
74,86,7:30p ET,Cleveland Cavaliers,0,0,93,107,30,44,L 1,
77,92,7:30p ET,Brooklyn Nets,1,0,105,91,31,46,W 1,
78,94,7:30p ET,Indiana Pacers,0,0,87,92,31,47,L 1,
79,97,7:30p ET,Charlotte Hornets,0,0,97,111,31,48,L 2,
81,101,7:30p ET,Toronto Raptors,0,0,89,93,32,49,L 1,
