GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2013-10-01,8:00 PM,,Washington Capitals,6,4,W,,1,0,0,W 1,,34,12,1,0,,32,8,3,0,
2,2013-10-05,8:00 PM,,Tampa Bay Lightning,2,3,L,SO,1,0,1,L 1,,39,2,1,0,,16,10,1,0,
3,2013-10-09,8:00 PM,@,St. Louis Blues,2,3,L,,1,1,1,L 2,,28,13,2,0,,34,13,1,0,
4,2013-10-11,8:00 PM,,New York Islanders,3,2,W,,2,1,1,W 1,,28,6,0,0,,19,10,0,0,
5,2013-10-12,8:00 PM,,Buffalo Sabres,2,1,W,,3,1,1,W 2,,40,8,1,0,,29,12,0,0,
6,2013-10-15,7:00 PM,@,Carolina Hurricanes,3,2,W,SO,4,1,1,W 3,,36,8,0,0,,34,4,0,0,
7,2013-10-17,8:00 PM,,St. Louis Blues,2,3,L,SO,4,1,2,L 1,,29,23,0,0,,28,15,1,0,
8,2013-10-19,7:00 PM,,Toronto Maple Leafs,3,1,W,,5,1,2,W 1,,40,12,1,0,,20,8,1,0,
9,2013-10-22,7:30 PM,@,Florida Panthers,3,2,W,SO,6,1,2,W 2,,29,2,1,0,,22,4,0,0,
10,2013-10-24,7:30 PM,@,Tampa Bay Lightning,5,6,L,OT,6,1,3,L 1,,43,8,1,0,,25,10,2,1,
11,2013-10-26,8:00 PM,,Minnesota Wild,3,5,L,,6,2,3,L 2,,36,10,1,0,,25,14,1,0,
12,2013-10-28,8:00 PM,@,Minnesota Wild,5,1,W,,7,2,3,W 1,,28,20,1,0,,30,20,0,0,
13,2013-10-29,8:00 PM,,Ottawa Senators,6,5,W,,8,2,3,W 2,,40,4,1,0,,37,6,1,0,
14,2013-11-02,3:00 PM,@,Winnipeg Jets,5,1,W,,9,2,3,W 3,,25,2,0,0,,27,4,0,0,
15,2013-11-03,7:30 PM,,Calgary Flames,2,3,L,OT,9,2,4,L 1,,44,0,1,0,,30,6,0,0,
