GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
50,2015-01-31,10:30 PM,@,San Jose Sharks,0,2,L,,31,17,2,L 1,,31,6,0,0,,20,4,0,0,
51,2015-02-03,8:00 PM,@,Minnesota Wild,0,3,L,,31,18,2,L 2,,24,8,0,0,,43,6,0,0,
52,2015-02-06,8:00 PM,@,Winnipeg Jets,2,1,W,OT,32,18,2,W 1,,22,11,0,0,,21,11,0,0,
53,2015-02-08,12:30 PM,@,St. Louis Blues,4,2,W,,33,18,2,W 2,,28,7,1,0,,27,9,0,0,
54,2015-02-09,8:30 PM,,Arizona Coyotes,2,3,L,SO,33,18,3,L 1,,38,4,0,0,,29,8,1,0,
55,2015-02-11,8:00 PM,,Vancouver Canucks,4,5,L,OT,33,18,4,L 2,,41,2,2,0,,36,6,0,0,
56,2015-02-13,8:30 PM,,New Jersey Devils,3,1,W,,34,18,4,W 1,,35,4,1,0,,26,8,0,0,
57,2015-02-15,12:30 PM,,Pittsburgh Penguins,2,1,W,SO,35,18,4,W 2,,32,6,0,0,,37,6,0,0,
58,2015-02-18,7:30 PM,,Detroit Red Wings,2,3,L,SO,35,18,5,L 1,,34,2,0,0,,28,8,0,0,
59,2015-02-20,8:30 PM,,Colorado Avalanche,1,4,L,,35,19,5,L 2,,28,8,0,0,,30,6,2,0,
60,2015-02-22,3:30 PM,,Boston Bruins,2,6,L,,35,20,5,L 3,,28,15,1,0,,30,15,2,0,
61,2015-02-24,8:30 PM,,Florida Panthers,3,2,W,SO,36,20,5,W 1,,38,8,1,0,,36,10,0,0,
62,2015-02-26,7:30 PM,@,Florida Panthers,3,0,W,,37,20,5,W 2,,29,4,0,0,,20,10,0,0,
63,2015-02-27,7:30 PM,@,Tampa Bay Lightning,0,4,L,,37,21,5,L 1,,28,12,0,0,,29,4,2,0,
64,2015-03-02,8:30 PM,,Carolina Hurricanes,5,2,W,,38,21,5,W 1,,26,6,0,1,,29,0,0,0,
65,2015-03-06,8:30 PM,,Edmonton Oilers,2,1,W,SO,39,21,5,W 2,,39,2,0,0,,47,6,0,0,
66,2015-03-08,7:30 PM,,New York Rangers,0,1,L,OT,39,21,6,L 1,,29,2,0,0,,36,6,0,0,
67,2015-03-12,10:00 PM,@,Arizona Coyotes,2,1,W,,40,21,6,W 1,,44,4,2,0,,18,14,0,0,
