G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
59,Thu Feb 25 2016,7:30p ET,,Box Score,,Milwaukee Bucks,W,,112,107,34,25,W 1,
60,Sat Feb 27 2016,3:00p ET,,Box Score,,Miami Heat,W,,101,89,35,25,W 2,
61,Mon Feb 29 2016,7:30p ET,,Box Score,,Utah Jazz,W,,100,95,36,25,W 3,
62,Wed Mar 2 2016,7:30p ET,,Box Score,,Portland Trail Blazers,W,,116,93,37,25,W 4,
63,Fri Mar 4 2016,7:30p ET,,Box Score,,New York Knicks,W,,105,104,38,25,W 5,
64,Sat Mar 5 2016,7:00p ET,,Box Score,@,Cleveland Cavaliers,L,,103,120,38,26,L 1,
65,Wed Mar 9 2016,7:00p ET,,Box Score,,Memphis Grizzlies,W,,116,96,39,26,W 1,
66,Fri Mar 11 2016,7:30p ET,,Box Score,,Houston Rockets,L,,98,102,39,27,L 1,
67,Tue Mar 15 2016,7:00p ET,,Box Score,@,Indiana Pacers,L,,98,103,39,28,L 2,
68,Wed Mar 16 2016,7:00p ET,,Box Score,,Oklahoma City Thunder,L,,109,130,39,29,L 3,
69,Fri Mar 18 2016,7:30p ET,,Box Score,@,Toronto Raptors,L,,91,105,39,30,L 4,
70,Sun Mar 20 2016,6:00p ET,,Box Score,@,Philadelphia 76ers,W,,120,105,40,30,W 1,
71,Mon Mar 21 2016,7:30p ET,,Box Score,,Orlando Magic,W,,107,96,41,30,W 2,
72,Wed Mar 23 2016,7:30p ET,,Box Score,,Toronto Raptors,W,,91,79,42,30,W 3,
73,Sat Mar 26 2016,10:00p ET,,Box Score,@,Phoenix Suns,W,,102,99,43,30,W 4,
74,Mon Mar 28 2016,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,90,114,43,31,L 1,
75,Thu Mar 31 2016,10:00p ET,,Box Score,@,Portland Trail Blazers,L,,109,116,43,32,L 2,
76,Fri Apr 1 2016,10:30p ET,,Box Score,@,Golden State Warriors,W,,109,106,44,32,W 1,
77,Sun Apr 3 2016,9:30p ET,,Box Score,@,Los Angeles Lakers,W,,107,100,45,32,W 2,
78,Wed Apr 6 2016,7:30p ET,,Box Score,,New Orleans Pelicans,W,,104,97,46,32,W 3,
79,Fri Apr 8 2016,7:30p ET,,Box Score,,Milwaukee Bucks,W,,124,109,47,32,W 4,
80,Sat Apr 9 2016,7:30p ET,,Box Score,@,Atlanta Hawks,L,,107,118,47,33,L 1,
81,Mon Apr 11 2016,7:30p ET,,Box Score,,Charlotte Hornets,L,,100,114,47,34,L 2,
82,Wed Apr 13 2016,8:00p ET,,Box Score,,Miami Heat,W,,98,88,48,34,W 1,
