G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
59,Wed Feb 24 2016,7:00p ET,,Box Score,@,Indiana Pacers,L,,105,108,24,35,L 2,
60,Fri Feb 26 2016,7:30p ET,,Box Score,,Orlando Magic,W,,108,95,25,35,W 1,
61,Sun Feb 28 2016,7:30p ET,,Box Score,,Miami Heat,L,,81,98,25,36,L 1,
62,Tue Mar 1 2016,7:30p ET,,Box Score,,Portland Trail Blazers,L,,85,104,25,37,L 2,
63,Fri Mar 4 2016,7:30p ET,,Box Score,@,Boston Celtics,L,,104,105,25,38,L 3,
64,Sat Mar 5 2016,7:00p ET,,Box Score,,Detroit Pistons,W,,102,89,26,38,W 1,
65,Tue Mar 8 2016,9:00p ET,,Box Score,@,Denver Nuggets,L,,94,110,26,39,L 1,
66,Wed Mar 9 2016,9:00p ET,,Box Score,@,Phoenix Suns,W,,128,97,27,39,W 1,
67,Fri Mar 11 2016,10:30p ET,,Box Score,@,Los Angeles Clippers,L,,94,101,27,40,L 1,
68,Sun Mar 13 2016,9:30p ET,,Box Score,@,Los Angeles Lakers,W,,90,87,28,40,W 1,
69,Wed Mar 16 2016,10:30p ET,,Box Score,@,Golden State Warriors,L,,85,121,28,41,L 1,
70,Sat Mar 19 2016,7:00p ET,,Box Score,@,Washington Wizards,L,,89,99,28,42,L 2,
71,Sun Mar 20 2016,7:30p ET,,Box Score,,Sacramento Kings,L,,80,88,28,43,L 3,
72,Wed Mar 23 2016,8:00p ET,,Box Score,@,Chicago Bulls,W,,115,107,29,43,W 1,
73,Thu Mar 24 2016,7:30p ET,,Box Score,,Chicago Bulls,W,,106,94,30,43,W 2,
74,Sat Mar 26 2016,7:30p ET,,Box Score,,Cleveland Cavaliers,L,,93,107,30,44,L 1,
75,Mon Mar 28 2016,8:00p ET,,Box Score,@,New Orleans Pelicans,L,,91,99,30,45,L 2,
76,Wed Mar 30 2016,8:30p ET,,Box Score,@,Dallas Mavericks,L,,89,91,30,46,L 3,
77,Fri Apr 1 2016,7:30p ET,,Box Score,,Brooklyn Nets,W,,105,91,31,46,W 1,
78,Sun Apr 3 2016,7:30p ET,,Box Score,,Indiana Pacers,L,,87,92,31,47,L 1,
79,Wed Apr 6 2016,7:30p ET,,Box Score,,Charlotte Hornets,L,,97,111,31,48,L 2,
80,Fri Apr 8 2016,7:00p ET,,Box Score,@,Philadelphia 76ers,W,,109,102,32,48,W 1,
81,Sun Apr 10 2016,7:30p ET,,Box Score,,Toronto Raptors,L,,89,93,32,49,L 1,
82,Tue Apr 12 2016,7:00p ET,,Box Score,@,Indiana Pacers,L,,90,102,32,50,L 2,
