GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
55,2017-02-04,7:00 PM,,Toronto Maple Leafs,5,6,L,,26,23,6,L 2,,41,11,2,5,0,,26,17,1,2,0,17565,2:53,
56,2017-02-09,7:00 PM,,San Jose Sharks,6,3,W,,27,23,6,W 1,,33,4,2,3,0,,26,4,0,2,0,17565,2:31,
57,2017-02-11,1:00 PM,,Vancouver Canucks,4,3,W,,28,23,6,W 2,,30,6,1,2,0,,32,4,1,3,0,17565,2:29,
58,2017-02-12,7:30 PM,,Montreal Canadiens,4,0,W,,29,23,6,W 3,,36,20,1,7,1,,25,24,0,6,0,17565,2:36,
59,2017-02-19,8:30 PM,@,San Jose Sharks,2,1,W,OT,30,23,6,W 4,,28,4,0,1,0,,30,4,0,1,0,17562,2:36,
60,2017-02-22,10:30 PM,@,Anaheim Ducks,3,5,L,,30,24,6,L 1,,29,6,0,5,0,,25,10,0,3,0,15135,2:41,
61,2017-02-23,10:30 PM,@,Los Angeles Kings,4,1,W,,31,24,6,W 1,,25,8,1,1,0,,28,4,1,3,0,18230,2:36,
62,2017-02-26,12:30 PM,@,Dallas Stars,6,3,W,,32,24,6,W 2,,28,14,1,2,0,,36,14,1,2,0,18006,2:35,
63,2017-02-28,7:00 PM,,Arizona Coyotes,4,1,W,,33,24,6,W 3,,25,23,0,2,1,,23,8,1,4,0,17565,2:25,
64,2017-03-02,7:00 PM,,New York Rangers,1,2,L,,33,25,6,L 1,,33,8,0,2,0,,21,4,0,4,0,17565,2:30,
65,2017-03-04,7:00 PM,,New Jersey Devils,3,2,W,,34,25,6,W 1,,40,2,1,5,0,,17,10,0,1,0,17565,2:41,
66,2017-03-06,7:30 PM,@,Ottawa Senators,2,4,L,,34,26,6,L 1,,27,6,1,1,0,,29,4,1,2,0,17046,2:28,
67,2017-03-08,8:00 PM,,Detroit Red Wings,6,1,W,,35,26,6,W 1,,29,8,0,2,0,,27,8,0,3,0,17565,2:29,
68,2017-03-11,1:00 PM,,Philadelphia Flyers,2,1,W,,36,26,6,W 2,,27,9,1,3,0,,27,11,0,2,0,17565,2:39,
69,2017-03-13,10:00 PM,@,Vancouver Canucks,6,3,W,,37,26,6,W 3,,43,4,1,2,0,,29,4,0,2,0,18865,2:34,
70,2017-03-15,9:00 PM,@,Calgary Flames,5,2,W,,38,26,6,W 4,,32,6,0,2,0,,23,4,0,3,0,18892,2:27,
71,2017-03-16,9:00 PM,@,Edmonton Oilers,4,7,L,,38,27,6,L 1,,36,22,2,4,1,,36,20,3,6,0,18347,2:39,
72,2017-03-20,7:30 PM,@,Toronto Maple Leafs,2,4,L,,38,28,6,L 2,,34,10,0,1,0,,30,6,1,3,0,19347,2:38,
73,2017-03-21,7:00 PM,,Ottawa Senators,2,3,L,,38,29,6,L 3,,36,12,2,5,0,,22,10,1,5,0,17565,2:37,
74,2017-03-23,7:00 PM,,Tampa Bay Lightning,3,6,L,,38,30,6,L 4,,31,12,1,4,1,,29,12,2,5,0,17565,2:48,
75,2017-03-25,7:00 PM,@,New York Islanders,2,1,W,,39,30,6,W 1,,18,10,0,3,0,,19,6,0,6,0,15795,2:28,
76,2017-03-28,7:00 PM,,Nashville Predators,4,1,W,,40,30,6,W 2,,31,21,0,3,0,,25,45,0,3,0,17565,3:05,
77,2017-03-30,7:30 PM,,Dallas Stars,2,0,W,,41,30,6,W 3,,24,6,1,3,0,,27,6,0,3,0,17565,2:29,
78,2017-04-01,1:00 PM,,Florida Panthers,5,2,W,,42,30,6,W 4,,29,8,1,4,0,,26,8,1,4,0,17565,2:30,
79,2017-04-02,12:30 PM,@,Chicago Blackhawks,3,2,W,,43,30,6,W 5,,29,6,1,1,0,,43,2,0,3,0,22131,2:36,
80,2017-04-04,7:00 PM,,Tampa Bay Lightning,4,0,W,,44,30,6,W 6,,38,17,1,1,0,,28,4,0,1,0,17565,2:25,
81,2017-04-06,7:00 PM,,Ottawa Senators,1,2,L,SO,44,30,7,L 1,,29,8,1,1,0,,26,6,0,2,0,17565,2:38,
82,2017-04-08,3:00 PM,,Washington Capitals,1,3,L,,44,31,7,L 2,,22,10,0,2,0,,32,8,0,4,0,17565,2:34,
