GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2013-10-03,7:00 PM,,Tampa Bay Lightning,3,1,W,,1,0,0,W 1,,25,20,0,2,,33,16,0,0,
2,2013-10-05,7:00 PM,,Detroit Red Wings,4,1,W,,2,0,0,W 2,,37,4,2,0,,26,8,0,0,
3,2013-10-10,7:00 PM,,Colorado Avalanche,0,2,L,,2,1,0,L 1,,39,31,0,0,,30,19,1,0,
4,2013-10-12,2:00 PM,@,Columbus Blue Jackets,3,1,W,,3,1,0,W 1,,36,13,0,0,,27,13,1,0,
5,2013-10-14,1:00 PM,,Detroit Red Wings,2,3,L,,3,2,0,L 1,,30,2,0,0,,27,12,0,0,
6,2013-10-17,7:30 PM,@,Florida Panthers,3,2,W,,4,2,0,W 1,,40,2,1,0,,29,6,0,0,
7,2013-10-19,7:00 PM,@,Tampa Bay Lightning,5,0,W,,5,2,0,W 2,,22,25,0,0,,23,25,0,0,
8,2013-10-23,8:00 PM,@,Buffalo Sabres,5,2,W,,6,2,0,W 3,,34,23,1,0,,16,21,1,0,
9,2013-10-24,7:00 PM,,San Jose Sharks,2,1,W,,7,2,0,W 4,,17,2,0,0,,39,2,0,0,
10,2013-10-26,7:00 PM,,New Jersey Devils,3,4,L,,7,3,0,L 1,,28,14,1,0,,32,4,4,0,
11,2013-10-30,8:00 PM,@,Pittsburgh Penguins,2,3,L,,7,4,0,L 2,,23,13,0,0,,31,11,1,0,
12,2013-10-31,7:00 PM,,Anaheim Ducks,3,2,W,SO,8,4,0,W 1,,23,8,1,0,,23,4,0,0,
13,2013-11-02,7:00 PM,@,New York Islanders,1,3,L,,8,5,0,L 1,,27,8,1,0,,34,8,0,0,
14,2013-11-05,7:00 PM,,Dallas Stars,2,3,L,SO,8,5,1,L 2,,36,10,0,0,,36,12,0,0,
15,2013-11-07,7:00 PM,,Florida Panthers,4,1,W,,9,5,1,W 1,,30,18,0,0,,24,12,0,0,
16,2013-11-09,7:00 PM,,Toronto Maple Leafs,3,1,W,,10,5,1,W 2,,34,16,2,0,,34,16,0,0,
17,2013-11-11,1:00 PM,,Tampa Bay Lightning,3,0,W,,11,5,1,W 3,,26,8,0,0,,28,2,0,0,
18,2013-11-14,7:00 PM,,Columbus Blue Jackets,3,2,W,OT,12,5,1,W 4,,31,8,0,0,,34,2,0,0,
19,2013-11-15,7:30 PM,@,Ottawa Senators,2,4,L,,12,6,1,L 1,,32,4,0,0,,31,2,0,0,
20,2013-11-18,7:00 PM,@,Carolina Hurricanes,4,1,W,,13,6,1,W 1,,30,8,1,0,,24,4,0,0,
21,2013-11-19,7:30 PM,@,New York Rangers,2,1,W,,14,6,1,W 2,,22,11,0,1,,44,11,1,0,
22,2013-11-21,7:00 PM,,St. Louis Blues,2,3,L,SO,14,6,2,L 1,,31,2,0,0,,26,2,0,0,
23,2013-11-23,1:00 PM,,Carolina Hurricanes,3,2,W,OT,15,6,2,W 1,,38,4,1,0,,24,8,1,1,
24,2013-11-25,7:00 PM,,Pittsburgh Penguins,4,3,W,OT,16,6,2,W 2,,24,2,1,0,,31,2,0,0,
25,2013-11-27,7:30 PM,@,Detroit Red Wings,1,6,L,,16,7,2,L 1,,17,10,0,0,,28,8,1,0,
26,2013-11-29,1:00 PM,,New York Rangers,3,2,W,,17,7,2,W 1,,28,17,0,0,,19,13,0,0,
27,2013-11-30,7:00 PM,,Columbus Blue Jackets,3,1,W,,18,7,2,W 2,,36,11,1,0,,14,27,1,0,
28,2013-12-05,7:30 PM,@,Montreal Canadiens,1,2,L,,18,8,2,L 1,,33,13,0,0,,27,9,0,0,
29,2013-12-07,7:00 PM,,Pittsburgh Penguins,3,2,W,,19,8,2,W 1,,20,25,0,0,,30,15,2,0,
30,2013-12-08,7:00 PM,@,Toronto Maple Leafs,5,2,W,,20,8,2,W 2,,39,10,2,0,,32,8,0,0,
31,2013-12-10,9:30 PM,@,Calgary Flames,2,1,W,,21,8,2,W 3,,24,2,1,0,,27,6,0,0,
32,2013-12-12,9:30 PM,@,Edmonton Oilers,4,2,W,,22,8,2,W 4,,31,11,0,1,,41,7,0,0,
33,2013-12-14,10:00 PM,@,Vancouver Canucks,2,6,L,,22,9,2,L 1,,41,11,0,0,,30,13,1,1,
34,2013-12-17,7:00 PM,,Calgary Flames,2,0,W,,23,9,2,W 1,,31,6,2,0,,21,6,0,0,
35,2013-12-19,7:00 PM,@,Buffalo Sabres,2,4,L,,23,10,2,L 1,,36,15,0,1,,23,11,0,1,
36,2013-12-21,7:00 PM,,Buffalo Sabres,4,1,W,,24,10,2,W 1,,39,17,1,0,,35,11,0,0,
37,2013-12-23,8:00 PM,@,Nashville Predators,6,2,W,,25,10,2,W 2,,33,9,3,0,,34,9,1,0,
38,2013-12-27,7:00 PM,,Ottawa Senators,5,0,W,,26,10,2,W 3,,42,8,1,1,,33,6,0,0,
39,2013-12-28,7:00 PM,@,Ottawa Senators,3,4,L,,26,11,2,L 1,,32,9,0,0,,30,13,0,1,
40,2013-12-31,7:00 PM,,New York Islanders,3,5,L,,26,12,2,L 2,,38,28,1,0,,31,8,4,0,
41,2014-01-02,7:00 PM,,Nashville Predators,3,2,W,OT,27,12,2,W 1,,25,2,0,0,,35,4,0,0,
42,2014-01-04,1:00 PM,,Winnipeg Jets,4,1,W,,28,12,2,W 2,,29,21,0,0,,37,19,0,0,
43,2014-01-07,10:00 PM,@,Anaheim Ducks,2,5,L,,28,13,2,L 1,,32,11,0,0,,20,11,3,1,
44,2014-01-09,10:30 PM,@,Los Angeles Kings,2,4,L,,28,14,2,L 2,,22,17,0,0,,35,11,1,0,
45,2014-01-11,10:30 PM,@,San Jose Sharks,1,0,W,,29,14,2,W 1,,22,7,0,0,,26,11,0,0,
46,2014-01-14,7:00 PM,,Toronto Maple Leafs,3,4,L,,29,15,2,L 1,,41,15,0,0,,26,11,2,0,
47,2014-01-16,8:30 PM,@,Dallas Stars,4,2,W,,30,15,2,W 1,,41,14,1,0,,34,12,1,0,
48,2014-01-19,12:30 PM,@,Chicago Blackhawks,2,3,L,SO,30,15,3,L 1,,36,4,0,0,,37,16,0,0,
49,2014-01-20,3:00 PM,,Los Angeles Kings,3,2,W,,31,15,3,W 1,,23,15,1,1,,23,15,1,0,
50,2014-01-25,1:00 PM,@,Philadelphia Flyers,6,1,W,,32,15,3,W 2,,33,14,3,0,,26,20,1,0,
51,2014-01-27,7:00 PM,@,New York Islanders,6,3,W,,33,15,3,W 3,,37,10,0,0,,37,4,0,0,
52,2014-01-28,7:00 PM,,Florida Panthers,6,2,W,,34,15,3,W 4,,41,4,1,0,,30,10,1,0,
53,2014-01-30,7:00 PM,,Montreal Canadiens,1,4,L,,34,16,3,L 1,,35,10,0,0,,33,8,1,0,
54,2014-02-01,1:00 PM,,Edmonton Oilers,4,0,W,,35,16,3,W 1,,41,15,2,0,,22,17,0,0,
55,2014-02-04,7:00 PM,,Vancouver Canucks,3,1,W,,36,16,3,W 2,,32,4,1,0,,28,4,0,0,
56,2014-02-06,8:00 PM,@,St. Louis Blues,2,3,L,OT,36,16,4,L 1,,38,10,0,0,,27,12,0,0,
57,2014-02-08,3:00 PM,,Ottawa Senators,7,2,W,,37,16,4,W 1,,42,11,1,0,,28,13,1,0,
