GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
50,2017-01-31,9:00 PM,@,Arizona Coyotes,3,2,W,,25,21,4,W 3,,39,2,1,3,0,,32,6,0,1,0,11577,2:33,
51,2017-02-01,10:30 PM,,Colorado Avalanche,5,0,W,,26,21,4,W 4,,40,13,1,3,0,,22,21,0,4,0,18230,2:29,
52,2017-02-04,1:00 PM,@,Philadelphia Flyers,1,0,W,OT,27,21,4,W 5,,28,4,0,2,0,,17,2,0,2,0,19833,2:29,
53,2017-02-05,12:00 PM,@,Washington Capitals,0,5,L,,27,22,4,L 1,,38,4,0,4,0,,20,8,0,2,0,18506,2:19,
54,2017-02-07,7:30 PM,@,Tampa Bay Lightning,0,5,L,,27,23,4,L 2,,28,8,0,2,0,,21,8,0,2,0,19092,2:25,
55,2017-02-09,7:30 PM,@,Florida Panthers,6,3,W,,28,23,4,W 1,,26,12,1,3,0,,39,20,0,4,0,13451,2:34,
56,2017-02-16,10:30 PM,,Arizona Coyotes,3,5,L,,28,24,4,L 1,,44,8,1,3,0,,22,8,1,3,1,18230,2:44,
57,2017-02-18,10:00 PM,,Florida Panthers,2,3,L,,28,25,4,L 2,,35,4,0,3,0,,25,6,0,2,0,18230,2:28,
58,2017-02-19,9:00 PM,@,Anaheim Ducks,0,1,L,,28,26,4,L 3,,24,9,0,2,0,,29,7,0,2,0,17174,2:17,
59,2017-02-21,9:00 PM,@,Colorado Avalanche,2,1,W,,29,26,4,W 1,,32,6,0,1,0,,25,2,0,3,0,13768,2:14,
60,2017-02-23,10:30 PM,,Boston Bruins,1,4,L,,29,27,4,L 1,,28,4,1,3,0,,25,8,1,1,0,18230,2:36,
61,2017-02-25,4:00 PM,,Anaheim Ducks,4,1,W,,30,27,4,W 1,,33,20,0,4,0,,33,20,0,4,0,18230,2:56,
62,2017-02-27,8:00 PM,@,Minnesota Wild,4,5,L,OT,30,27,5,L 1,,30,4,0,1,0,,35,2,0,2,0,19118,2:44,
63,2017-02-28,9:00 PM,@,Calgary Flames,1,2,L,OT,30,27,6,L 2,,29,7,1,1,0,,30,7,0,2,0,19289,2:44,
64,2017-03-02,10:30 PM,,Toronto Maple Leafs,3,2,W,SO,31,27,6,W 1,,35,2,1,3,0,,31,6,0,1,0,18230,2:51,
65,2017-03-04,10:00 PM,,Vancouver Canucks,3,4,L,,31,28,6,L 1,,44,6,2,7,1,,21,14,0,2,0,18230,2:35,
66,2017-03-09,10:30 PM,,Nashville Predators,3,2,W,OT,32,28,6,W 1,,34,11,3,3,0,,23,11,0,2,0,18230,2:48,
67,2017-03-11,10:30 PM,,Washington Capitals,4,2,W,,33,28,6,W 2,,22,6,2,6,0,,19,12,1,3,0,18230,2:34,
68,2017-03-13,10:00 PM,,St. Louis Blues,1,3,L,,33,29,6,L 1,,39,8,0,3,0,,26,6,1,4,0,18230,2:37,
69,2017-03-14,10:30 PM,,Arizona Coyotes,2,3,L,SO,33,29,7,L 2,,46,6,1,3,0,,32,6,0,3,0,18230,3:02,
70,2017-03-16,10:30 PM,,Buffalo Sabres,2,0,W,,34,29,7,W 1,,36,9,0,2,0,,26,9,0,2,0,18230,2:26,
71,2017-03-19,9:30 PM,@,Calgary Flames,2,5,L,,34,30,7,L 1,,21,8,0,3,0,,24,8,0,3,0,19115,2:25,
72,2017-03-20,9:00 PM,@,Edmonton Oilers,0,2,L,,34,31,7,L 2,,35,13,0,2,0,,31,11,1,3,0,18347,2:27,
73,2017-03-23,10:30 PM,,Winnipeg Jets,5,2,W,,35,31,7,W 1,,36,11,3,4,1,,21,13,1,4,0,18230,2:31,
74,2017-03-25,10:30 PM,,New York Rangers,0,3,L,,35,32,7,L 1,,30,8,0,3,0,,20,8,1,2,0,18230,2:28,
75,2017-03-28,9:00 PM,@,Edmonton Oilers,1,2,L,,35,33,7,L 2,,35,11,0,1,0,,29,7,0,3,0,18347,2:31,
76,2017-03-29,9:00 PM,@,Calgary Flames,4,1,W,,36,33,7,W 1,,33,50,0,6,0,,26,22,0,6,0,19005,2:47,
77,2017-03-31,10:00 PM,@,Vancouver Canucks,2,0,W,,37,33,7,W 2,,26,4,1,1,0,,35,2,0,2,0,18865,2:21,
78,2017-04-02,10:30 PM,,Arizona Coyotes,1,2,L,,37,34,7,L 1,,35,2,1,6,0,,15,12,1,1,0,18230,2:36,
79,2017-04-04,10:30 PM,,Edmonton Oilers,6,4,W,,38,34,7,W 1,,27,6,0,3,0,,27,6,1,3,0,18230,2:28,
80,2017-04-06,10:30 PM,,Calgary Flames,1,4,L,,38,35,7,L 1,,28,4,0,3,0,,24,6,1,2,0,18230,2:28,
81,2017-04-08,6:00 PM,,Chicago Blackhawks,3,2,W,OT,39,35,7,W 1,,26,6,1,2,0,,27,4,0,3,0,18230,2:31,
82,2017-04-09,8:30 PM,@,Anaheim Ducks,3,4,L,OT,39,35,8,L 1,,18,8,1,4,0,,24,10,1,5,0,16564,2:38,
