GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2016-10-13,7:00 PM,,New York Islanders,5,3,W,,1,0,0,W 1,,39,6,1,5,0,,28,10,0,3,0,18200,2:29,
2,2016-10-15,8:00 PM,@,St. Louis Blues,2,3,L,,1,1,0,L 1,,35,8,0,2,0,,18,4,1,5,0,19197,2:24,
3,2016-10-17,7:00 PM,,San Jose Sharks,7,4,W,,2,1,0,W 1,,29,10,1,3,0,,31,8,1,4,0,18200,2:32,
4,2016-10-19,8:00 PM,,Detroit Red Wings,1,2,L,,2,2,0,L 1,,33,8,0,4,0,,18,6,1,4,0,18200,2:28,
5,2016-10-22,7:00 PM,@,Washington Capitals,4,2,W,,3,2,0,W 1,,26,4,1,3,0,,28,6,0,2,0,18506,2:20,
6,2016-10-23,7:00 PM,,Arizona Coyotes,3,2,W,,4,2,0,W 2,,26,2,1,2,0,,29,4,0,1,0,18006,2:26,
7,2016-10-26,8:00 PM,,Boston Bruins,5,2,W,,5,2,0,W 3,,31,4,2,6,0,,29,14,0,1,0,18006,2:31,
8,2016-10-28,7:30 PM,@,Carolina Hurricanes,2,3,L,,5,3,0,L 1,,30,2,1,2,0,,21,4,1,1,0,18680,2:21,
9,2016-10-30,7:00 PM,,Tampa Bay Lightning,6,1,W,,6,3,0,W 1,,37,8,0,5,0,,32,10,1,4,0,18006,2:36,
10,2016-11-01,7:00 PM,,St. Louis Blues,5,0,W,,7,3,0,W 2,,29,6,2,6,0,,35,14,0,2,0,18006,2:30,
11,2016-11-03,7:00 PM,,Edmonton Oilers,5,3,W,,8,3,0,W 3,,31,8,0,3,0,,24,6,1,4,0,18006,2:31,
12,2016-11-05,7:00 PM,@,Boston Bruins,5,2,W,,9,3,0,W 4,,24,6,1,3,2,,37,6,0,3,0,17565,2:24,
13,2016-11-06,7:00 PM,,Winnipeg Jets,5,2,W,,10,3,0,W 5,,18,4,0,0,0,,26,0,0,2,0,18006,2:23,
14,2016-11-08,7:00 PM,,Vancouver Canucks,3,5,L,,10,4,0,L 1,,26,4,1,5,0,,29,10,0,2,0,18006,2:26,
15,2016-11-12,10:00 PM,@,Calgary Flames,4,1,W,,11,4,0,W 1,,28,6,0,2,0,,36,2,1,3,0,18421,2:21,
16,2016-11-13,9:30 PM,@,Edmonton Oilers,3,1,W,,12,4,0,W 2,,27,4,0,0,0,,39,0,0,2,0,18347,2:27,
17,2016-11-15,10:00 PM,@,Vancouver Canucks,7,2,W,,13,4,0,W 3,,25,8,2,3,0,,38,4,0,4,0,17814,2:27,
18,2016-11-18,7:00 PM,@,Columbus Blue Jackets,2,4,L,,13,5,0,L 1,,27,4,0,2,0,,24,4,0,2,1,14541,2:27,
19,2016-11-20,7:00 PM,,Florida Panthers,2,3,L,SO,13,5,1,L 2,,35,8,0,3,0,,30,6,1,4,0,18006,2:49,
20,2016-11-21,7:00 PM,@,Pittsburgh Penguins,5,2,W,,14,5,1,W 1,,36,8,0,1,1,,31,6,0,2,0,18632,2:24,
21,2016-11-23,7:00 PM,,Pittsburgh Penguins,1,6,L,,14,6,1,L 1,,17,9,1,3,0,,38,8,0,3,0,18006,2:25,
22,2016-11-25,1:00 PM,@,Philadelphia Flyers,3,2,W,,15,6,1,W 1,,23,12,0,2,0,,42,26,0,0,0,19981,2:33,
23,2016-11-27,7:00 PM,,Ottawa Senators,0,2,L,,15,7,1,L 1,,33,6,0,4,0,,20,8,1,2,0,18006,2:27,
24,2016-11-29,7:00 PM,,Carolina Hurricanes,3,2,W,,16,7,1,W 1,,21,6,1,2,0,,28,8,0,2,0,18006,2:21,
25,2016-12-01,7:00 PM,@,Buffalo Sabres,3,4,L,,16,8,1,L 1,,25,4,2,2,0,,34,4,1,2,0,18047,2:25,
26,2016-12-03,1:00 PM,,Carolina Hurricanes,4,2,W,,17,8,1,W 1,,23,6,0,2,0,,28,4,0,3,0,18006,2:25,
27,2016-12-06,7:00 PM,@,New York Islanders,2,4,L,,17,9,1,L 1,,38,4,0,6,0,,32,10,1,2,0,15795,2:27,
28,2016-12-08,8:00 PM,@,Winnipeg Jets,2,1,W,,18,9,1,W 1,,24,6,2,4,0,,18,8,0,3,0,15294,2:17,
29,2016-12-09,8:30 PM,@,Chicago Blackhawks,1,0,W,OT,19,9,1,W 2,,37,2,0,2,0,,26,4,0,1,0,21770,2:31,
30,2016-12-11,7:00 PM,,New Jersey Devils,5,0,W,,20,9,1,W 3,,31,15,2,6,1,,19,17,0,5,0,18006,2:37,
