G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
59,Wed Mar 2 2016,7:30p ET,,Box Score,,Utah Jazz,W,,104,94,40,19,W 1,
60,Fri Mar 4 2016,7:30p ET,,Box Score,,Portland Trail Blazers,W,,117,115,41,19,W 2,
61,Sun Mar 6 2016,6:30p ET,,Box Score,,Houston Rockets,L,,107,113,41,20,L 1,
62,Tue Mar 8 2016,7:30p ET,,Box Score,,Brooklyn Nets,W,,104,99,42,20,W 1,
63,Thu Mar 10 2016,7:30p ET,,Box Score,,Atlanta Hawks,W,,104,96,43,20,W 2,
64,Sat Mar 12 2016,7:00p ET,,Box Score,,Miami Heat,W,OT,112,104,44,20,W 3,
65,Mon Mar 14 2016,7:30p ET,,Box Score,,Chicago Bulls,L,,107,109,44,21,L 1,
66,Tue Mar 15 2016,8:00p ET,,Box Score,@,Milwaukee Bucks,W,,107,89,45,21,W 1,
67,Thu Mar 17 2016,7:00p ET,,Box Score,@,Indiana Pacers,W,OT,101,94,46,21,W 2,
68,Fri Mar 18 2016,7:30p ET,,Box Score,,Boston Celtics,W,,105,91,47,21,W 3,
69,Sun Mar 20 2016,4:30p ET,,Box Score,,Orlando Magic,W,,105,100,48,21,W 4,
70,Wed Mar 23 2016,7:30p ET,,Box Score,@,Boston Celtics,L,,79,91,48,22,L 1,
71,Fri Mar 25 2016,8:00p ET,,Box Score,@,Houston Rockets,L,,109,112,48,23,L 2,
72,Sat Mar 26 2016,7:00p ET,,Box Score,@,New Orleans Pelicans,W,,115,91,49,23,W 1,
73,Mon Mar 28 2016,7:30p ET,,Box Score,,Oklahoma City Thunder,L,,100,119,49,24,L 1,
74,Wed Mar 30 2016,7:30p ET,,Box Score,,Atlanta Hawks,W,,105,97,50,24,W 1,
75,Fri Apr 1 2016,8:00p ET,,Box Score,@,Memphis Grizzlies,W,,99,95,51,24,W 2,
76,Sat Apr 2 2016,8:30p ET,,Box Score,@,San Antonio Spurs,L,,95,102,51,25,L 1,
77,Tue Apr 5 2016,7:30p ET,,Box Score,,Charlotte Hornets,W,,96,90,52,25,W 1,
78,Thu Apr 7 2016,8:00p ET,,Box Score,@,Atlanta Hawks,L,,87,95,52,26,L 1,
79,Fri Apr 8 2016,7:30p ET,,Box Score,,Indiana Pacers,W,,111,98,53,26,W 1,
80,Sun Apr 10 2016,7:30p ET,,Box Score,@,New York Knicks,W,,93,89,54,26,W 2,
81,Tue Apr 12 2016,7:30p ET,,Box Score,,Philadelphia 76ers,W,,122,98,55,26,W 3,
82,Wed Apr 13 2016,8:00p ET,,Box Score,@,Brooklyn Nets,W,,103,96,56,26,W 4,
