G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
1,Wed Oct 28 2015,7:30p ET,,Box Score,@,Boston Celtics,L,,95,112,0,1,L 1,
2,Fri Oct 30 2015,7:00p ET,,Box Score,,Utah Jazz,L,,71,99,0,2,L 2,
3,Mon Nov 2 2015,7:00p ET,,Box Score,,Cleveland Cavaliers,L,,100,107,0,3,L 3,
4,Wed Nov 4 2015,8:00p ET,,Box Score,@,Milwaukee Bucks,L,,87,91,0,4,L 4,
5,Fri Nov 6 2015,7:30p ET,,Box Score,@,Cleveland Cavaliers,L,,102,108,0,5,L 5,
6,Sat Nov 7 2015,7:00p ET,,Box Score,,Orlando Magic,L,,97,105,0,6,L 6,
7,Mon Nov 9 2015,7:00p ET,,Box Score,,Chicago Bulls,L,,88,111,0,7,L 7,
8,Wed Nov 11 2015,7:00p ET,,Box Score,,Toronto Raptors,L,,103,119,0,8,L 8,
9,Fri Nov 13 2015,8:00p ET,,Box Score,@,Oklahoma City Thunder,L,,85,102,0,9,L 9,
10,Sat Nov 14 2015,8:30p ET,,Box Score,@,San Antonio Spurs,L,,83,92,0,10,L 10,
11,Mon Nov 16 2015,7:00p ET,,Box Score,,Dallas Mavericks,L,,86,92,0,11,L 11,
12,Wed Nov 18 2015,7:00p ET,,Box Score,,Indiana Pacers,L,,85,112,0,12,L 12,
13,Fri Nov 20 2015,7:00p ET,,Box Score,@,Charlotte Hornets,L,,88,113,0,13,L 13,
14,Sat Nov 21 2015,8:00p ET,,Box Score,@,Miami Heat,L,,91,96,0,14,L 14,
15,Mon Nov 23 2015,8:00p ET,,Box Score,@,Minnesota Timberwolves,L,,95,100,0,15,L 15,
16,Wed Nov 25 2015,7:30p ET,,Box Score,@,Boston Celtics,L,,80,84,0,16,L 16,
17,Fri Nov 27 2015,8:00p ET,,Box Score,@,Houston Rockets,L,,114,116,0,17,L 17,
18,Sun Nov 29 2015,6:00p ET,,Box Score,@,Memphis Grizzlies,L,,84,92,0,18,L 18,
19,Tue Dec 1 2015,7:00p ET,,Box Score,,Los Angeles Lakers,W,,103,91,1,18,W 1,
