GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
1,2016-10-14,10:30 PM,@,Los Angeles Kings,4,2,W,,1,0,0,W 1,,30,6,0,2,0,,25,6,0,2,0,18453,2:31,
2,2016-10-15,9:00 PM,@,Arizona Coyotes,3,4,L,OT,1,0,1,L 1,,30,30,0,4,0,,35,6,1,6,1,17125,2:39,
3,2016-10-18,8:30 PM,@,Chicago Blackhawks,4,7,L,,1,1,1,L 2,,27,6,2,4,0,,28,8,2,3,0,21263,2:26,
4,2016-10-20,7:00 PM,,Anaheim Ducks,2,3,L,,1,2,1,L 3,,22,6,1,7,0,,26,16,0,2,0,19982,2:23,
5,2016-10-22,7:00 PM,,Carolina Hurricanes,6,3,W,,2,2,1,W 1,,27,12,1,4,0,,30,10,1,5,0,19668,2:36,
6,2016-10-24,7:30 PM,@,Montreal Canadiens,1,3,L,,2,3,1,L 1,,32,8,0,1,0,,33,2,1,4,0,21288,2:27,
7,2016-10-25,7:30 PM,,Buffalo Sabres,4,3,W,SO,3,3,1,W 1,,41,8,3,4,0,,25,8,2,4,0,19209,2:50,
8,2016-10-27,7:00 PM,,Arizona Coyotes,4,5,L,,3,4,1,L 1,,32,11,2,8,0,,25,31,0,3,1,19432,2:39,
9,2016-10-29,7:00 PM,,Pittsburgh Penguins,4,5,L,,3,5,1,L 2,,42,6,1,3,0,,27,8,1,2,0,19927,2:41,
10,2016-10-30,5:00 PM,@,Carolina Hurricanes,4,3,W,,4,5,1,W 1,,28,4,1,3,1,,29,4,0,2,0,10353,2:28,
11,2016-11-02,8:00 PM,,Detroit Red Wings,4,3,W,OT,5,5,1,W 2,,40,9,0,1,0,,25,9,0,1,0,19309,2:32,
12,2016-11-03,7:00 PM,@,New York Islanders,3,2,W,SO,6,5,1,W 3,,42,8,1,5,0,,27,12,1,3,0,11119,2:50,
13,2016-11-05,7:00 PM,@,Montreal Canadiens,4,5,L,,6,6,1,L 1,,38,6,2,5,0,,17,8,0,3,1,21288,2:32,
14,2016-11-08,7:00 PM,,Detroit Red Wings,2,3,L,SO,6,6,2,L 2,,25,11,1,2,0,,35,9,0,3,0,19598,2:35,
15,2016-11-11,7:00 PM,@,Toronto Maple Leafs,3,6,L,,6,7,2,L 3,,33,10,1,2,1,,23,4,2,5,1,19189,2:25,
16,2016-11-12,7:00 PM,,Minnesota Wild,3,2,W,,7,7,2,W 1,,36,4,1,3,0,,27,6,0,2,0,19591,2:30,
17,2016-11-15,7:00 PM,,Ottawa Senators,2,3,L,SO,7,7,3,L 1,,35,4,0,4,0,,26,6,0,2,0,19358,2:49,
