GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
49,2015-01-29,7:00 PM,@,New York Islanders,5,2,W,,26,16,7,W 1,,33,4,1,0,,45,2,0,0,
50,2015-01-31,7:00 PM,,Los Angeles Kings,3,1,W,,27,16,7,W 2,,33,2,0,0,,31,2,0,0,
51,2015-02-04,8:00 PM,@,New York Rangers,2,3,L,,27,17,7,L 1,,20,4,0,0,,25,4,0,0,
52,2015-02-07,7:00 PM,,New York Islanders,2,1,W,,28,17,7,W 1,,36,13,1,0,,40,11,1,0,
53,2015-02-08,7:30 PM,,Montreal Canadiens,1,3,L,,28,18,7,L 1,,35,6,0,0,,34,0,0,0,
54,2015-02-10,7:00 PM,,Dallas Stars,3,5,L,,28,19,7,L 2,,44,4,0,1,,32,21,0,2,
55,2015-02-13,10:00 PM,@,Vancouver Canucks,2,5,L,,28,20,7,L 3,,23,6,0,0,,25,6,0,0,
56,2015-02-16,9:00 PM,@,Calgary Flames,3,4,L,OT,28,20,8,L 4,,27,6,0,1,,27,6,1,0,
57,2015-02-18,10:00 PM,@,Edmonton Oilers,3,4,L,SO,28,20,9,L 5,,41,13,1,0,,30,7,2,0,
58,2015-02-20,8:00 PM,@,St. Louis Blues,1,5,L,,28,21,9,L 6,,27,13,0,0,,15,17,1,0,
59,2015-02-22,3:30 PM,@,Chicago Blackhawks,6,2,W,,29,21,9,W 1,,30,15,2,0,,28,15,1,0,
60,2015-02-24,7:00 PM,,Vancouver Canucks,1,2,L,,29,22,9,L 1,,41,6,0,0,,28,10,0,0,
61,2015-02-27,7:00 PM,@,New Jersey Devils,3,2,W,OT,30,22,9,W 1,,34,4,0,0,,31,4,1,0,
62,2015-02-28,5:30 PM,,Arizona Coyotes,4,1,W,,31,22,9,W 2,,34,2,1,0,,32,10,0,0,
63,2015-03-05,7:00 PM,,Calgary Flames,3,4,L,SO,31,22,10,L 1,,37,12,0,0,,32,4,2,0,
64,2015-03-07,1:00 PM,,Philadelphia Flyers,3,2,W,OT,32,22,10,W 1,,37,4,2,0,,31,8,1,0,
65,2015-03-08,12:30 PM,,Detroit Red Wings,5,3,W,,33,22,10,W 2,,30,10,2,2,,39,10,1,0,
66,2015-03-10,7:30 PM,@,Ottawa Senators,3,1,W,,34,22,10,W 3,,22,8,1,0,,40,8,0,0,
67,2015-03-12,7:00 PM,,Tampa Bay Lightning,3,2,W,SO,35,22,10,W 4,,30,6,0,0,,37,20,0,0,
68,2015-03-14,1:00 PM,@,Pittsburgh Penguins,2,0,W,,36,22,10,W 5,,30,6,0,0,,30,8,0,0,
69,2015-03-15,7:30 PM,@,Washington Capitals,0,2,L,,36,23,10,L 1,,32,2,0,0,,38,8,1,0,
70,2015-03-17,7:30 PM,,Buffalo Sabres,1,2,L,SO,36,23,11,L 2,,45,4,0,0,,24,4,1,0,
71,2015-03-19,7:30 PM,@,Ottawa Senators,4,6,L,,36,24,11,L 3,,35,6,1,0,,32,6,0,1,
