GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,PPO,SHG,,S,PIM,PPG,PPO,SHG,Att.,LOG,Notes
24,2016-11-29,8:30 PM,,Florida Panthers,2,1,W,SO,15,6,3,W 1,,33,6,0,2,0,,39,4,1,3,0,21475,2:46,
25,2016-12-01,8:30 PM,,New Jersey Devils,4,3,W,OT,16,6,3,W 2,,33,4,0,4,0,,33,8,1,2,0,21351,2:33,
26,2016-12-03,1:00 PM,@,Philadelphia Flyers,1,3,L,,16,7,3,L 1,,27,4,0,1,0,,30,0,0,3,0,19487,2:27,
27,2016-12-04,7:00 PM,,Winnipeg Jets,1,2,L,,16,8,3,L 2,,26,9,0,3,0,,32,11,1,2,0,21383,2:30,
28,2016-12-06,8:30 PM,,Arizona Coyotes,4,0,W,,17,8,3,W 1,,27,4,1,3,0,,22,6,0,2,0,21327,2:26,
29,2016-12-09,8:30 PM,,New York Rangers,0,1,L,OT,17,8,4,L 1,,26,4,0,1,0,,37,2,0,2,0,21770,2:31,
30,2016-12-11,7:00 PM,,Dallas Stars,3,1,W,,18,8,4,W 1,,27,4,1,3,0,,24,6,0,2,0,21451,2:24,
31,2016-12-13,7:00 PM,@,New York Rangers,2,1,W,,19,8,4,W 2,,26,0,0,1,0,,34,4,0,0,0,18006,2:19,
32,2016-12-15,7:00 PM,@,New York Islanders,5,4,W,,20,8,4,W 3,,32,4,3,3,0,,32,6,0,2,0,12504,2:22,
33,2016-12-17,8:00 PM,@,St. Louis Blues,6,4,W,,21,8,4,W 4,,36,2,0,3,0,,27,8,0,0,0,19197,2:28,
34,2016-12-18,7:00 PM,,San Jose Sharks,4,1,W,,22,8,4,W 5,,26,4,0,2,0,,34,4,0,2,0,22027,2:16,
35,2016-12-20,8:30 PM,,Ottawa Senators,3,4,L,,22,9,4,L 1,,26,10,1,3,0,,30,6,1,5,0,21614,2:32,
