GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2014-10-08,10:00 PM,,San Jose Sharks,0,4,L,,0,1,0,L 1,,34,13,0,0,,30,15,1,0,
2,2014-10-11,9:00 PM,@,Arizona Coyotes,2,3,L,OT,0,1,1,L 2,,26,14,0,0,,40,12,2,0,
3,2014-10-12,10:00 PM,,Winnipeg Jets,4,1,W,,1,1,1,W 1,,31,18,0,0,,30,30,0,0,
4,2014-10-14,10:30 PM,,Edmonton Oilers,6,1,W,,2,1,1,W 2,,26,11,1,1,,32,11,0,0,
5,2014-10-16,10:30 PM,,St. Louis Blues,1,0,W,SO,3,1,1,W 3,,18,8,0,0,,43,10,0,0,
6,2014-10-19,3:00 PM,,Minnesota Wild,2,1,W,,4,1,1,W 4,,16,23,1,0,,41,9,0,0,
7,2014-10-23,10:30 PM,,Buffalo Sabres,2,0,W,,5,1,1,W 5,,39,18,2,0,,29,28,0,0,
8,2014-10-26,4:00 PM,,Columbus Blue Jackets,5,2,W,,6,1,1,W 6,,27,21,1,0,,24,13,1,0,
9,2014-10-28,7:00 PM,@,Philadelphia Flyers,2,3,L,OT,6,1,2,L 1,,40,14,0,1,,43,4,0,0,
10,2014-10-30,7:00 PM,@,Pittsburgh Penguins,0,3,L,,6,2,2,L 2,,36,16,0,0,,23,12,2,0,
11,2014-10-31,7:30 PM,@,Detroit Red Wings,2,5,L,,6,3,2,L 3,,30,12,0,1,,35,6,2,0,
12,2014-11-02,5:00 PM,@,Carolina Hurricanes,2,3,L,,6,4,2,L 4,,32,8,1,0,,32,6,1,0,
13,2014-11-04,8:30 PM,@,Dallas Stars,3,1,W,,7,4,2,W 1,,30,10,0,1,,34,12,0,0,
14,2014-11-06,10:30 PM,,New York Islanders,1,2,L,SO,7,4,3,L 1,,29,10,0,0,,26,8,1,0,
15,2014-11-08,10:00 PM,,Vancouver Canucks,5,1,W,,8,4,3,W 1,,36,10,0,0,,19,6,0,0,
16,2014-11-12,10:30 PM,@,Anaheim Ducks,5,6,L,SO,8,4,4,L 1,,26,4,0,0,,49,4,0,0,
17,2014-11-13,10:30 PM,,Dallas Stars,0,2,L,,8,5,4,L 2,,27,13,0,0,,27,11,0,0,
18,2014-11-15,4:00 PM,,Anaheim Ducks,3,2,W,OT,9,5,4,W 1,,37,11,2,1,,29,11,0,0,
19,2014-11-18,10:30 PM,,Florida Panthers,5,2,W,,10,5,4,W 2,,27,10,3,0,,32,12,1,0,
20,2014-11-20,10:30 PM,,Carolina Hurricanes,3,2,W,,11,5,4,W 3,,39,13,1,0,,27,21,1,0,
