GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2013-10-02,9:30 PM,,Anaheim Ducks,6,1,W,,1,0,0,W 1,,29,18,2,0,,36,24,0,0,
2,2013-10-04,9:00 PM,,Nashville Predators,3,1,W,,2,0,0,W 2,,36,10,0,0,,27,16,0,0,
3,2013-10-08,7:00 PM,@,Toronto Maple Leafs,2,1,W,,3,0,0,W 3,,33,9,0,0,,28,11,0,0,
4,2013-10-10,7:00 PM,@,Boston Bruins,2,0,W,,4,0,0,W 4,,30,19,1,0,,39,31,0,0,
5,2013-10-12,7:00 PM,@,Washington Capitals,5,1,W,,5,0,0,W 5,,28,4,1,1,,41,4,0,0,
6,2013-10-15,9:00 PM,,Dallas Stars,3,2,W,,6,0,0,W 6,,26,10,0,0,,41,6,1,0,
7,2013-10-17,9:00 PM,,Detroit Red Wings,2,4,L,,6,1,0,L 1,,40,26,2,0,,28,17,2,0,
8,2013-10-19,7:00 PM,@,Buffalo Sabres,4,2,W,,7,1,0,W 1,,26,21,1,0,,30,11,0,0,
9,2013-10-21,7:30 PM,@,Pittsburgh Penguins,1,0,W,,8,1,0,W 2,,14,14,0,0,,34,8,0,0,
10,2013-10-25,9:00 PM,,Carolina Hurricanes,4,2,W,,9,1,0,W 3,,34,6,1,0,,30,6,0,0,
11,2013-10-27,8:00 PM,,Winnipeg Jets,3,2,W,,10,1,0,W 4,,36,12,0,0,,25,4,0,0,
12,2013-11-01,8:30 PM,@,Dallas Stars,3,2,W,OT,11,1,0,W 5,,29,9,0,0,,29,13,0,0,
13,2013-11-02,10:00 PM,,Montreal Canadiens,4,1,W,,12,1,0,W 6,,31,16,0,0,,30,14,1,0,
14,2013-11-06,9:30 PM,,Nashville Predators,4,6,L,,12,2,0,L 1,,31,16,0,0,,28,4,2,0,
15,2013-11-08,9:00 PM,,Calgary Flames,4,2,W,,13,2,0,W 1,,27,9,1,0,,32,11,0,0,
16,2013-11-10,8:00 PM,,Washington Capitals,4,1,W,,14,2,0,W 2,,37,6,0,0,,34,6,0,0,
17,2013-11-12,7:00 PM,@,Carolina Hurricanes,1,2,L,,14,3,0,L 1,,34,2,1,0,,28,4,0,0,
18,2013-11-14,8:00 PM,@,St. Louis Blues,3,7,L,,14,4,0,L 2,,24,55,1,0,,29,25,3,0,
19,2013-11-16,9:00 PM,,Florida Panthers,1,4,L,,14,5,0,L 3,,33,10,0,0,,33,2,1,0,
20,2013-11-19,9:00 PM,,Chicago Blackhawks,5,1,W,,15,5,0,W 1,,23,2,0,0,,37,2,0,0,
21,2013-11-21,9:00 PM,@,Phoenix Coyotes,4,3,W,OT,16,5,0,W 2,,30,6,2,0,,44,10,1,0,
22,2013-11-23,10:30 PM,@,Los Angeles Kings,1,0,W,OT,17,5,0,W 3,,33,8,0,0,,19,6,0,0,
23,2013-11-27,9:00 PM,,St. Louis Blues,1,4,L,,17,6,0,L 1,,26,4,0,0,,35,10,1,1,
24,2013-11-29,6:00 PM,@,Minnesota Wild,3,1,W,,18,6,0,W 1,,21,19,0,0,,28,6,0,0,
25,2013-11-30,9:00 PM,,Minnesota Wild,3,2,W,SO,19,6,0,W 2,,25,0,0,0,,37,0,0,0,
26,2013-12-05,9:30 PM,@,Edmonton Oilers,2,8,L,,19,7,0,L 1,,35,23,0,0,,28,21,3,0,
27,2013-12-06,9:00 PM,@,Calgary Flames,3,2,W,,20,7,0,W 1,,25,15,0,0,,28,15,1,0,
28,2013-12-08,8:00 PM,@,Vancouver Canucks,1,3,L,,20,8,0,L 1,,29,6,0,0,,21,2,0,0,
29,2013-12-10,9:00 PM,,Phoenix Coyotes,1,3,L,,20,9,0,L 2,,30,4,0,0,,25,4,1,0,
30,2013-12-12,8:00 PM,@,Winnipeg Jets,4,3,W,SO,21,9,0,W 1,,26,10,0,0,,38,4,2,0,
31,2013-12-14,9:00 PM,,Minnesota Wild,1,2,L,SO,21,9,1,L 1,,27,2,0,0,,27,4,0,0,
32,2013-12-16,9:00 PM,,Dallas Stars,6,2,W,,22,9,1,W 1,,48,10,0,0,,33,10,0,0,
33,2013-12-17,8:30 PM,@,Dallas Stars,2,3,L,,22,10,1,L 1,,27,17,1,0,,28,19,1,0,
34,2013-12-19,9:30 PM,,Edmonton Oilers,4,2,W,,23,10,1,W 1,,39,2,1,1,,29,17,0,0,
35,2013-12-21,4:00 PM,@,Los Angeles Kings,2,3,L,SO,23,10,2,L 1,,25,4,2,0,,39,8,0,0,
36,2013-12-23,10:30 PM,@,San Jose Sharks,4,5,L,SO,23,10,3,L 2,,33,16,1,0,,45,16,2,0,
37,2013-12-27,8:00 PM,@,Chicago Blackhawks,2,7,L,,23,11,3,L 3,,18,4,0,0,,37,4,1,0,
38,2013-12-29,8:00 PM,,Winnipeg Jets,1,2,L,OT,23,11,4,L 4,,34,4,0,0,,37,2,0,0,
39,2013-12-31,8:00 PM,,Columbus Blue Jackets,5,3,W,,24,11,4,W 1,,23,6,3,0,,38,6,0,0,
40,2014-01-02,9:00 PM,,Philadelphia Flyers,2,1,W,,25,11,4,W 2,,31,6,0,0,,30,4,0,0,
41,2014-01-04,3:00 PM,,San Jose Sharks,4,3,W,,26,11,4,W 3,,21,13,1,0,,33,13,1,0,
42,2014-01-06,9:00 PM,,Calgary Flames,3,4,L,,26,12,4,L 1,,25,4,2,0,,19,6,1,0,
43,2014-01-08,9:30 PM,,Ottawa Senators,4,3,W,OT,27,12,4,W 1,,31,6,1,0,,32,2,1,0,
44,2014-01-10,9:00 PM,,New York Islanders,1,2,L,OT,27,12,5,L 1,,31,4,0,0,,24,4,0,0,
45,2014-01-11,8:00 PM,@,Minnesota Wild,4,2,W,,28,12,5,W 1,,18,4,0,0,,27,6,0,0,
46,2014-01-14,8:00 PM,@,Chicago Blackhawks,3,2,W,OT,29,12,5,W 2,,26,10,2,0,,48,8,0,0,
47,2014-01-16,9:00 PM,,New Jersey Devils,2,1,W,SO,30,12,5,W 3,,38,4,0,0,,34,6,0,0,
48,2014-01-18,8:00 PM,@,Nashville Predators,5,4,W,,31,12,5,W 4,,29,18,1,0,,31,12,1,0,
49,2014-01-21,9:00 PM,,Toronto Maple Leafs,2,5,L,,31,13,5,L 1,,37,8,0,0,,31,8,1,0,
50,2014-01-24,7:30 PM,@,Florida Panthers,3,2,W,,32,13,5,W 1,,25,4,0,0,,36,4,0,0,
51,2014-01-25,7:00 PM,@,Tampa Bay Lightning,2,5,L,,32,14,5,L 1,,27,6,0,0,,29,6,0,0,
52,2014-01-27,8:30 PM,@,Dallas Stars,4,3,W,,33,14,5,W 1,,21,8,1,0,,44,4,1,0,
53,2014-01-30,9:00 PM,,Minnesota Wild,5,4,W,,34,14,5,W 2,,32,30,0,0,,35,32,1,0,
54,2014-02-01,3:00 PM,,Buffalo Sabres,7,1,W,,35,14,5,W 3,,39,15,2,0,,28,17,1,0,
55,2014-02-03,7:30 PM,@,New Jersey Devils,2,1,W,OT,36,14,5,W 4,,25,6,1,0,,28,10,0,0,
56,2014-02-04,7:00 PM,@,New York Rangers,1,5,L,,36,15,5,L 1,,28,6,1,0,,43,6,0,0,
57,2014-02-06,7:00 PM,@,Philadelphia Flyers,1,3,L,,36,16,5,L 2,,39,21,0,0,,35,8,1,0,
58,2014-02-08,7:00 PM,@,New York Islanders,5,2,W,,37,16,5,W 1,,25,12,0,0,,33,6,2,0,
59,2014-02-26,10:00 PM,,Los Angeles Kings,4,6,L,,37,17,5,L 1,,29,6,3,0,,28,10,1,0,
60,2014-02-28,9:00 PM,,Phoenix Coyotes,4,2,W,,38,17,5,W 1,,33,10,2,0,,42,18,2,0,
61,2014-03-02,8:00 PM,,Tampa Bay Lightning,6,3,W,,39,17,5,W 2,,35,4,1,0,,34,8,0,0,
62,2014-03-04,8:00 PM,@,Chicago Blackhawks,4,2,W,,40,17,5,W 3,,21,8,1,0,,38,4,1,0,
63,2014-03-06,8:00 PM,@,Detroit Red Wings,3,2,W,OT,41,17,5,W 4,,25,4,0,0,,37,4,1,0,
64,2014-03-08,3:00 PM,,St. Louis Blues,1,2,L,,41,18,5,L 1,,27,2,0,0,,25,6,0,0,
65,2014-03-10,9:00 PM,,Winnipeg Jets,3,2,W,OT,42,18,5,W 1,,34,6,0,0,,35,16,1,0,
66,2014-03-12,9:30 PM,,Chicago Blackhawks,3,2,W,,43,18,5,W 2,,29,11,1,0,,39,13,0,0,
67,2014-03-14,9:00 PM,,Anaheim Ducks,4,6,L,,43,19,5,L 1,,38,24,2,0,,33,24,0,0,
68,2014-03-16,5:00 PM,@,Ottawa Senators,3,1,W,,44,19,5,W 1,,22,2,1,0,,39,2,0,0,
69,2014-03-18,7:30 PM,@,Montreal Canadiens,3,6,L,,44,20,5,L 1,,28,11,0,0,,36,11,2,0,
70,2014-03-19,8:00 PM,@,Winnipeg Jets,4,5,L,OT,44,20,6,L 2,,27,9,0,0,,27,7,1,0,
71,2014-03-21,9:00 PM,,Boston Bruins,0,2,L,,44,21,6,L 3,,31,7,0,0,,28,11,1,0,
72,2014-03-25,8:00 PM,@,Nashville Predators,5,4,W,SO,45,21,6,W 1,,28,4,0,0,,33,0,0,0,
73,2014-03-27,9:00 PM,,Vancouver Canucks,3,2,W,OT,46,21,6,W 2,,28,15,0,0,,31,11,1,0,
74,2014-03-29,3:00 PM,,San Jose Sharks,3,2,W,,47,21,6,W 3,,22,10,1,1,,49,10,1,0,
75,2014-04-01,7:00 PM,@,Columbus Blue Jackets,3,2,W,OT,48,21,6,W 4,,28,9,1,0,,26,7,0,0,
76,2014-04-03,9:00 PM,,New York Rangers,3,2,W,SO,49,21,6,W 5,,37,10,0,0,,31,8,0,0,
77,2014-04-05,2:00 PM,@,St. Louis Blues,4,0,W,,50,21,6,W 6,,29,66,2,0,,31,99,0,0,
78,2014-04-06,8:00 PM,,Pittsburgh Penguins,2,3,L,SO,50,21,7,L 1,,41,4,0,0,,32,10,1,0,
79,2014-04-08,9:30 PM,@,Edmonton Oilers,4,1,W,,51,21,7,W 1,,33,6,1,0,,23,4,1,0,
80,2014-04-10,10:00 PM,@,Vancouver Canucks,4,2,W,,52,21,7,W 2,,28,4,1,0,,40,12,0,0,
81,2014-04-11,10:00 PM,@,San Jose Sharks,1,5,L,,52,22,7,L 1,,33,14,0,0,,30,4,0,0,
82,2014-04-13,8:00 PM,@,Anaheim Ducks,2,3,L,OT,52,22,8,L 2,,31,4,0,0,,36,2,0,0,
