GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
50,2015-01-29,7:30 PM,,Arizona Coyotes,1,3,L,,22,24,4,L 8,,25,8,0,0,,45,6,1,1,
51,2015-01-31,7:00 PM,@,Philadelphia Flyers,0,1,L,,22,25,4,L 9,,30,4,0,0,,18,2,0,0,
52,2015-02-03,8:00 PM,@,Nashville Predators,3,4,L,,22,26,4,L 10,,28,6,0,0,,32,8,1,1,
53,2015-02-06,7:00 PM,@,New Jersey Devils,1,4,L,,22,27,4,L 11,,34,4,1,0,,17,6,0,0,
54,2015-02-07,7:00 PM,,Edmonton Oilers,5,1,W,,23,27,4,W 1,,28,9,1,0,,32,11,0,0,
55,2015-02-10,7:30 PM,,New York Rangers,4,5,L,,23,28,4,L 1,,34,4,1,0,,39,4,0,1,
56,2015-02-12,7:00 PM,@,New York Islanders,2,3,L,,23,29,4,L 2,,34,6,0,0,,41,6,0,0,
57,2015-02-14,7:00 PM,@,Montreal Canadiens,1,2,L,SO,23,29,5,L 3,,29,33,0,0,,32,30,1,0,
58,2015-02-17,7:30 PM,,Florida Panthers,2,3,L,,23,30,5,L 4,,29,15,2,0,,17,9,2,0,
59,2015-02-20,7:00 PM,@,Carolina Hurricanes,1,2,L,,23,31,5,L 5,,24,4,0,0,,26,6,1,0,
60,2015-02-21,7:00 PM,,Winnipeg Jets,4,3,W,OT,24,31,5,W 1,,33,19,0,1,,34,17,2,0,
61,2015-02-26,7:30 PM,,Philadelphia Flyers,3,2,W,,25,31,5,W 2,,17,14,1,0,,49,10,2,0,
62,2015-02-28,7:00 PM,@,Montreal Canadiens,0,4,L,,25,32,5,L 1,,30,8,0,0,,23,8,0,0,
63,2015-03-01,7:00 PM,@,Washington Capitals,0,4,L,,25,33,5,L 2,,32,8,0,0,,32,12,1,0,
64,2015-03-03,7:30 PM,@,Florida Panthers,3,2,W,,26,33,5,W 1,,34,6,1,0,,42,2,1,0,
65,2015-03-05,7:30 PM,@,Tampa Bay Lightning,2,4,L,,26,34,5,L 1,,27,13,0,0,,31,13,1,0,
