G,Date,,,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
59,Mon Feb 29 2016,10:30p ET,,Box Score,,Brooklyn Nets,W,,105,95,39,20,W 2,
60,Wed Mar 2 2016,10:30p ET,,Box Score,,Oklahoma City Thunder,W,,103,98,40,20,W 3,
61,Sat Mar 5 2016,10:30p ET,,Box Score,,Atlanta Hawks,L,,97,107,40,21,L 1,
62,Mon Mar 7 2016,8:30p ET,,Box Score,@,Dallas Mavericks,W,,109,90,41,21,W 1,
63,Wed Mar 9 2016,9:30p ET,,Box Score,@,Oklahoma City Thunder,L,,108,120,41,22,L 1,
64,Fri Mar 11 2016,10:30p ET,,Box Score,,New York Knicks,W,,101,94,42,22,W 1,
65,Sun Mar 13 2016,3:30p ET,,Box Score,,Cleveland Cavaliers,L,,90,114,42,23,L 1,
66,Tue Mar 15 2016,8:30p ET,,Box Score,@,San Antonio Spurs,L,,87,108,42,24,L 2,
67,Wed Mar 16 2016,9:30p ET,,Box Score,@,Houston Rockets,W,,122,106,43,24,W 1,
68,Sat Mar 19 2016,8:00p ET,,Box Score,@,Memphis Grizzlies,L,,102,113,43,25,L 1,
69,Sun Mar 20 2016,6:00p ET,,Box Score,@,New Orleans Pelicans,L,,105,109,43,26,L 2,
70,Wed Mar 23 2016,10:30p ET,,Box Score,@,Golden State Warriors,L,,98,114,43,27,L 3,
71,Thu Mar 24 2016,10:30p ET,,Box Score,,Portland Trail Blazers,W,,96,94,44,27,W 1,
72,Sun Mar 27 2016,3:30p ET,,Box Score,,Denver Nuggets,W,,105,90,45,27,W 2,
73,Mon Mar 28 2016,10:30p ET,,Box Score,,Boston Celtics,W,,114,90,46,27,W 3,
74,Wed Mar 30 2016,8:00p ET,,Box Score,@,Minnesota Timberwolves,W,,99,79,47,27,W 4,
75,Thu Mar 31 2016,9:30p ET,,Box Score,@,Oklahoma City Thunder,L,,117,119,47,28,L 1,
76,Sun Apr 3 2016,3:30p ET,,Box Score,,Washington Wizards,W,,114,109,48,28,W 1,
77,Tue Apr 5 2016,10:30p ET,,Box Score,,Los Angeles Lakers,W,,103,81,49,28,W 2,
78,Wed Apr 6 2016,10:30p ET,,Box Score,@,Los Angeles Lakers,W,,91,81,50,28,W 3,
79,Fri Apr 8 2016,9:00p ET,,Box Score,@,Utah Jazz,W,OT,102,99,51,28,W 4,
80,Sun Apr 10 2016,3:30p ET,,Box Score,,Dallas Mavericks,W,,98,91,52,28,W 5,
81,Tue Apr 12 2016,10:30p ET,,Box Score,,Memphis Grizzlies,W,,110,84,53,28,W 6,
82,Wed Apr 13 2016,10:30p ET,,Box Score,@,Phoenix Suns,L,,105,114,53,29,L 1,
