GP,Date,Time,,Opponent,GF,GA,,,W,L,OL,Streak,,S,PIM,PPG,SHG,,S,PIM,PPG,SHG,Notes
1,2013-10-01,7:00 PM,@,Montreal Canadiens,4,3,W,,1,0,0,W 1,,38,47,1,1,,37,51,0,0,
2,2013-10-02,7:30 PM,@,Philadelphia Flyers,3,1,W,,2,0,0,W 2,,25,21,1,0,,32,11,1,0,
3,2013-10-05,7:00 PM,,Ottawa Senators,5,4,W,SO,3,0,0,W 3,,42,4,2,0,,36,14,0,0,
4,2013-10-08,7:00 PM,,Colorado Avalanche,1,2,L,,3,1,0,L 1,,28,11,0,0,,33,9,0,0,
5,2013-10-10,8:00 PM,@,Nashville Predators,4,0,W,,4,1,0,W 1,,26,11,2,0,,36,22,0,0,
6,2013-10-12,7:00 PM,,Edmonton Oilers,6,5,W,OT,5,1,0,W 2,,26,8,1,0,,31,6,1,0,
7,2013-10-15,7:00 PM,,Minnesota Wild,4,1,W,,6,1,0,W 3,,14,12,2,0,,37,8,1,0,
8,2013-10-17,7:00 PM,,Carolina Hurricanes,2,3,L,,6,2,0,L 1,,26,8,0,0,,38,8,1,0,
9,2013-10-19,7:00 PM,@,Chicago Blackhawks,1,3,L,,6,3,0,L 2,,20,8,1,0,,40,12,1,0,
10,2013-10-22,7:00 PM,,Anaheim Ducks,4,2,W,,7,3,0,W 1,,23,10,1,0,,25,8,0,0,
11,2013-10-25,7:00 PM,@,Columbus Blue Jackets,2,5,L,,7,4,0,L 1,,25,16,0,0,,36,10,1,1,
12,2013-10-26,7:00 PM,,Pittsburgh Penguins,4,1,W,,8,4,0,W 1,,30,13,1,1,,38,13,1,0,
13,2013-10-29,9:00 PM,@,Edmonton Oilers,4,0,W,,9,4,0,W 2,,26,14,0,0,,43,14,0,0,
14,2013-10-30,8:00 PM,@,Calgary Flames,4,2,W,,10,4,0,W 3,,22,22,0,2,,43,24,0,0,
15,2013-11-02,7:00 PM,@,Vancouver Canucks,0,4,L,,10,5,0,L 1,,21,52,0,0,,47,42,1,0,
16,2013-11-08,7:30 PM,,New Jersey Devils,2,1,W,SO,11,5,0,W 1,,28,6,1,0,,35,12,1,0,
17,2013-11-09,7:00 PM,@,Boston Bruins,1,3,L,,11,6,0,L 1,,34,16,0,0,,34,16,2,0,
18,2013-11-13,7:30 PM,@,Minnesota Wild,1,2,L,SO,11,6,1,L 2,,23,25,1,0,,34,13,0,0,
19,2013-11-15,7:00 PM,@,Buffalo Sabres,1,3,L,,11,7,1,L 3,,33,6,0,0,,27,6,1,0,
20,2013-11-16,7:00 PM,,Buffalo Sabres,4,2,W,,12,7,1,W 1,,22,39,2,0,,35,27,1,0,
21,2013-11-19,7:00 PM,,New York Islanders,5,2,W,,13,7,1,W 2,,24,14,1,0,,37,14,0,0,
22,2013-11-21,7:00 PM,,Nashville Predators,2,4,L,,13,8,1,L 1,,26,8,0,0,,28,4,2,0,
23,2013-11-23,7:00 PM,,Washington Capitals,2,1,W,SO,14,8,1,W 1,,28,6,1,0,,50,2,0,0,
24,2013-11-25,7:00 PM,,Columbus Blue Jackets,0,6,L,,14,9,1,L 1,,18,18,0,0,,22,12,2,0,
25,2013-11-27,7:30 PM,@,Pittsburgh Penguins,5,6,L,SO,14,9,2,L 2,,24,12,1,0,,48,8,3,0,
26,2013-11-29,7:30 PM,@,Buffalo Sabres,2,3,L,OT,14,9,3,L 3,,24,10,0,0,,29,4,1,0,
27,2013-11-30,7:00 PM,@,Montreal Canadiens,2,4,L,,14,10,3,L 4,,36,11,0,0,,39,15,1,1,
28,2013-12-03,7:00 PM,,San Jose Sharks,2,4,L,,14,11,3,L 5,,30,13,2,0,,41,11,1,0,
29,2013-12-05,7:00 PM,,Dallas Stars,3,2,W,OT,15,11,3,W 1,,24,10,1,0,,50,6,1,0,
30,2013-12-07,7:00 PM,@,Ottawa Senators,4,3,W,SO,16,11,3,W 2,,31,29,1,0,,50,37,2,0,
31,2013-12-08,7:00 PM,,Boston Bruins,2,5,L,,16,12,3,L 1,,32,8,0,0,,39,10,2,0,
32,2013-12-11,7:30 PM,,Los Angeles Kings,1,3,L,,16,13,3,L 2,,39,13,1,0,,23,15,1,0,
33,2013-12-12,8:00 PM,@,St. Louis Blues,3,6,L,,16,14,3,L 3,,22,11,0,0,,36,11,0,0,
34,2013-12-14,7:00 PM,,Chicago Blackhawks,7,3,W,,17,14,3,W 1,,32,4,2,0,,28,8,1,0,
35,2013-12-16,7:00 PM,@,Pittsburgh Penguins,1,3,L,,17,15,3,L 1,,26,14,1,0,,31,22,0,1,
36,2013-12-17,7:00 PM,,Florida Panthers,1,3,L,,17,16,3,L 2,,29,4,0,0,,23,4,0,0,
37,2013-12-19,7:00 PM,,Phoenix Coyotes,2,1,W,SO,18,16,3,W 1,,27,4,0,0,,35,6,0,0,
38,2013-12-21,7:00 PM,,Detroit Red Wings,4,5,L,SO,18,16,4,L 1,,23,2,1,0,,38,8,0,0,
39,2013-12-23,7:00 PM,@,New York Rangers,1,2,L,SO,18,16,5,L 2,,26,6,0,0,,43,8,0,0,
40,2013-12-27,7:30 PM,,Buffalo Sabres,4,3,W,SO,19,16,5,W 1,,42,12,1,0,,35,6,1,0,
41,2013-12-29,7:00 PM,,Carolina Hurricanes,5,2,W,,20,16,5,W 2,,27,6,0,0,,43,6,1,0,
42,2014-01-01,1:00 PM,@,Detroit Red Wings,3,2,W,SO,21,16,5,W 3,,26,8,0,0,,43,4,0,0,NHL Winter Classic
43,2014-01-04,7:00 PM,,New York Rangers,1,7,L,,21,17,5,L 1,,26,13,0,0,,50,9,1,0,
44,2014-01-07,7:00 PM,,New York Islanders,3,5,L,,21,18,5,L 2,,26,2,1,0,,25,10,1,0,
45,2014-01-09,7:00 PM,@,Carolina Hurricanes,1,6,L,,21,19,5,L 3,,26,17,0,0,,36,9,2,1,
46,2014-01-10,7:00 PM,@,Washington Capitals,2,3,L,,21,20,5,L 4,,34,20,1,0,,35,18,0,0,
47,2014-01-12,7:00 PM,,New Jersey Devils,3,2,W,SO,22,20,5,W 1,,25,8,1,0,,38,8,1,0,
48,2014-01-14,7:00 PM,@,Boston Bruins,4,3,W,,23,20,5,W 2,,26,11,2,0,,41,15,0,0,
49,2014-01-15,7:30 PM,,Buffalo Sabres,4,3,W,SO,24,20,5,W 3,,39,6,0,0,,30,6,1,0,
50,2014-01-18,7:00 PM,,Montreal Canadiens,5,3,W,,25,20,5,W 4,,29,8,1,0,,33,6,1,0,
51,2014-01-20,8:00 PM,@,Phoenix Coyotes,4,2,W,,26,20,5,W 5,,29,8,2,0,,41,12,1,1,
52,2014-01-21,9:00 PM,@,Colorado Avalanche,5,2,W,,27,20,5,W 6,,31,8,1,0,,37,8,0,0,
53,2014-01-23,8:00 PM,@,Dallas Stars,1,7,L,,27,21,5,L 1,,25,30,0,0,,28,22,1,1,
54,2014-01-25,7:00 PM,@,Winnipeg Jets,4,5,L,OT,27,21,6,L 2,,28,8,1,0,,32,12,2,0,
55,2014-01-28,7:00 PM,,Tampa Bay Lightning,3,2,W,,28,21,6,W 1,,26,6,0,0,,42,6,0,0,
56,2014-01-30,7:00 PM,,Florida Panthers,6,3,W,,29,21,6,W 2,,32,12,2,0,,38,8,0,0,
57,2014-02-01,7:00 PM,,Ottawa Senators,6,3,W,,30,21,6,W 3,,36,11,1,0,,26,17,0,0,
58,2014-02-04,7:30 PM,@,Florida Panthers,1,4,L,,30,22,6,L 1,,21,9,0,0,,48,5,1,0,
59,2014-02-06,7:30 PM,@,Tampa Bay Lightning,4,1,W,,31,22,6,W 1,,36,16,0,0,,34,16,0,0,
60,2014-02-08,6:00 PM,,Vancouver Canucks,3,1,W,,32,22,6,W 2,,24,8,0,0,,33,8,0,0,
61,2014-02-27,7:00 PM,@,New York Islanders,4,5,L,OT,32,22,7,L 1,,22,13,0,0,,35,13,1,2,
62,2014-03-01,7:00 PM,@,Montreal Canadiens,3,4,L,OT,32,22,8,L 2,,25,12,0,1,,30,8,2,0,
63,2014-03-03,7:00 PM,,Columbus Blue Jackets,1,2,L,,32,23,8,L 3,,29,2,0,0,,33,4,0,0,
64,2014-03-05,7:00 PM,@,New York Rangers,3,2,W,OT,33,23,8,W 1,,29,4,0,0,,37,6,0,2,
65,2014-03-08,7:00 PM,,Philadelphia Flyers,4,3,W,OT,34,23,8,W 2,,36,9,0,0,,31,11,0,0,
66,2014-03-10,10:00 PM,@,Anaheim Ducks,3,1,W,,35,23,8,W 3,,23,25,1,0,,44,23,0,0,
67,2014-03-11,10:30 PM,@,San Jose Sharks,2,6,L,,35,24,8,L 1,,21,42,0,1,,48,24,0,0,
68,2014-03-13,10:30 PM,@,Los Angeles Kings,3,2,W,,36,24,8,W 1,,29,8,1,1,,41,6,1,0,
69,2014-03-16,3:00 PM,@,Washington Capitals,2,4,L,,36,25,8,L 1,,29,8,0,0,,33,6,2,0,
70,2014-03-18,7:30 PM,@,Detroit Red Wings,2,3,L,,36,26,8,L 2,,33,8,1,0,,31,8,0,0,
71,2014-03-19,7:00 PM,,Tampa Bay Lightning,3,5,L,,36,27,8,L 3,,39,17,0,0,,30,22,2,0,
72,2014-03-22,7:00 PM,,Montreal Canadiens,3,4,L,,36,28,8,L 4,,36,2,1,0,,36,4,0,0,
73,2014-03-23,7:00 PM,@,New Jersey Devils,2,3,L,,36,29,8,L 5,,23,4,1,0,,24,8,0,0,
74,2014-03-25,7:00 PM,,St. Louis Blues,3,5,L,,36,30,8,L 6,,25,11,1,0,,49,11,1,0,
75,2014-03-28,7:00 PM,@,Philadelphia Flyers,2,4,L,,36,31,8,L 7,,34,14,0,0,,29,10,2,0,
76,2014-03-29,7:00 PM,,Detroit Red Wings,2,4,L,,36,32,8,L 8,,27,10,0,0,,28,8,0,1,
77,2014-04-01,7:00 PM,,Calgary Flames,3,2,W,,37,32,8,W 1,,22,26,0,0,,24,2,0,0,
78,2014-04-03,7:30 PM,,Boston Bruins,4,3,W,OT,38,32,8,W 2,,31,9,1,0,,38,11,0,0,
79,2014-04-05,7:00 PM,,Winnipeg Jets,2,4,L,,38,33,8,L 1,,25,4,1,0,,41,8,1,0,
